# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: Dreamcast CodeView members for every probed class (plus every class named in struct_calibration.csv, so the anchors the engine cannot reach are still documented), flagged where the recovered x86 layout touches the same offset. dc_type is RESOLVED from the cvdump type records - array extents and bitfield bit ranges included. DC offsets are SH4: cross-architecture, a lead, never an x86 claim
class,dc_offset,dc_name,dc_type,x86_offset_touched
LossConditionStruct,0x6,HeroZ,T_RCHAR,no
LossConditionStruct,0x7,HeroID,T_RCHAR,no
LossConditionStruct,0x8,NumDays,T_SHORT,yes
LossConditionStruct,0xa,GameLost,T_UCHAR,no
LossConditionStruct,0xb,playerLoser,T_RCHAR,no
NewSMapHeader,0x15c,Name,"std::basic_string<char,std::char_traits<char>,std::allocator<char>",no
NewSMapHeader,0x168,Description,"std::basic_string<char,std::char_traits<char>,std::allocator<char>",no
NewfullMap,0x0,ObjectTypes,"std::vector<CObjectType,std::allocator<CObjectType>",yes
NewfullMap,0xc,Objects,"std::vector<CObject,std::allocator<CObject>",yes
NewfullMap,0x18,Sprites,std::vector<CSprite,yes
NewfullMap,0x24,CustomTreasureList,"std::vector<TreasureData,std::allocator<TreasureData>",yes
NewfullMap,0x30,CustomMonsterList,"std::vector<MonsterData,std::allocator<MonsterData>",yes
NewfullMap,0x3c,BlackBoxList,"std::vector<BlackBoxData,std::allocator<BlackBoxData>",yes
NewfullMap,0x48,SeerHutList,"std::vector<TSeerHut,std::allocator<TSeerHut>",yes
NewfullMap,0x54,TimedEventList,"std::vector<TTimedEvent,std::allocator<TTimedEvent>",yes
NewfullMap,0x60,TownEventList,"std::vector<TTownEvent,std::allocator<TTownEvent>",yes
NewfullMap,0x6c,cellData,NewmapCell*,yes
NewfullMap,0x70,Size,T_INT4,yes
NewfullMap,0x74,HasTwoLevels,T_UCHAR,yes
NewmapCell,0x4,GroundIndex,T_INT4:8 @bit 8,yes
NewmapCell,0x4,GroundSet,"std::_Vector_base<boat,std::allocator<boat> >*:8 @bit 0",yes
NewmapCell,0x4,RiverIndex,T_INT4:8 @bit 24,yes
NewmapCell,0x4,RiverSet,"std::reverse_iterator<boat const *,boat,boat const &,boat const *,int>:8 @bit 16",yes
NewmapCell,0x8,RoadIndex,T_INT4:8 @bit 8,yes
NewmapCell,0x8,RoadSet,0x3641:8 @bit 0,yes
NewmapCell,0xc,Animated,T_USHORT:1 @bit 7,yes
NewmapCell,0xc,GroundFlippedHorizontal,T_USHORT:1 @bit 0,yes
NewmapCell,0xc,GroundFlippedVertical,T_USHORT:1 @bit 1,yes
NewmapCell,0xc,IsBeachBorder,T_USHORT:1 @bit 9,yes
NewmapCell,0xc,IsBlocked,T_USHORT:1 @bit 8,yes
NewmapCell,0xc,Passable,T_USHORT:1 @bit 6,yes
NewmapCell,0xc,RiverFlippedHorizontal,T_USHORT:1 @bit 2,yes
NewmapCell,0xc,RiverFlippedVertical,T_USHORT:1 @bit 3,yes
NewmapCell,0xc,RoadFlippedHorizontal,T_USHORT:1 @bit 4,yes
NewmapCell,0xc,RoadFlippedVertical,T_USHORT:1 @bit 5,yes
NewmapCell,0xc,can_build_ship,T_USHORT:1 @bit 11,yes
NewmapCell,0xc,cellFlags,T_USHORT,yes
NewmapCell,0xc,is_trigger,T_USHORT:1 @bit 12,yes
NewmapCell,0xc,unused_bit,T_USHORT:1 @bit 10,yes
NewmapCell,0x10,ObjectCellList,"std::vector<NewmapCell::TObjectCell,std::allocator<NewmapCell::TObjectCell>",no
NewmapCell,0x1c,type,TAdventureObjectType,no
NewmapCell,0x20,objectIndex,T_SHORT,no
NewmapCell,0x22,object_type_index,T_SHORT,yes
SCampaign,0x0,iCurMap,T_RCHAR,yes
SCampaign,0x1,iCurrentCampaign,T_RCHAR,yes
SCampaign,0x2,bIsCheater,T_UCHAR,yes
SCampaign,0x3,bSecretActive,T_UCHAR,no
SCampaign,0x4,bCustomCampaign,T_UCHAR,yes
SCampaign,0x8,NumMapRegions,T_INT4,yes
SCampaign,0xc,CampaignFilename,T_RCHAR[61],yes
SCampaign,0x49,bScenarioChoosable,T_UCHAR[8],no
SCampaign,0x51,bMapChoosable,T_UCHAR[32],no
SCampaign,0x71,bMapWon,T_UCHAR[32][256 bytes],no
SCampaign,0x172,iCurDays,T_SHORT[32][512 bytes],no
SCampaign,0x372,score,T_SHORT[32][512 bytes],no
SCampaign,0x572,bCampaignCompleted,T_UCHAR[8],no
SCampaign,0x57c,briefing_choice,T_INT4,no
SCampaign,0x580,map_traits,TCustomCampaignTraits[32][9216 bytes],no
SCampaign,0x2980,carryover_artifact,TArtifactRequirement,no
SCampaign,0x2988,carryover_pool,hero[8][18240 bytes],no
SCampaign,0x70c8,carryover_pool_size,T_RCHAR[2],no
SCampaign,0x70ca,assigned_carryover,T_RCHAR[8],no
SavedGameHeader,0x0,id,T_RCHAR[8],yes
SavedGameHeader,0x8,version,T_INT4,yes
SavedGameHeader,0xc,padding,T_RCHAR[32],no
TAdventureMapWindow,0x44,RadarWidget,const widget*,yes
TAdventureMapWindow,0x48,MapWidget,const widget*,yes
TAdventureMapWindow,0x4c,ChatTextWidget,textWidget*,yes
TAdventureMapWindow,0x50,chatEdit,CChatEdit*,yes
TAdventureMapWindow,0x54,ResourceDisplay,TResourceDisplay*,yes
TAdventureMapWindow,0x58,topHero,T_INT4,yes
TAdventureMapWindow,0x5c,topTown,T_INT4,yes
TAdventureMapWindow,0x60,RolloverWidget,bitmapBackedTextWidget*,yes
TAdventureMapWindow,0x64,animate_in_background,T_UCHAR,yes
TAdventureMapWindow,0x68,bottom_view,type_bottom_view_window*,yes
TAdventureOptionsWindow,0x58,RolloverWidget,textWidget*,yes
TCampaignBrief,0x44,zBuffer,T_32PUSHORT,yes
TCampaignBrief,0x48,oldVolume,T_INT4,yes
TCampaignBrief,0x4c,RolloverWidget,widget*,yes
TCampaignWindow,0x44,lastActive,T_INT4,no
TCampaignWindow,0x48,currentCampVideo,T_INT4,no
TCampaignWindow,0x4c,saveVideoFile,T_32PVOID,no
TCampaignWindow,0x50,CheckMark,Bitmap816*,no
TCampaignWindow,0x54,RolloverWidget,const widget*,no
TDialogBox,0x44,beginID,T_INT4,yes
TDialogBox,0x48,endID,T_INT4,yes
THighScoreWindow,0x44,Creatures,iconWidget*[11][88 bytes],no
THighScoreWindow,0x9c,CreatureFrames,T_INT4[11][88 bytes],no
THighScoreWindow,0xf4,m_h_index,T_INT4,no
THighScoreWindow,0xf8,bIsStandard,T_UCHAR,no
THighScoreWindow,0xfc,iCreatureFrame,T_INT4,no
THighScoreWindow,0x100,lLastServe,T_ULONG,no
THighScoreWindow,0x104,hiScoreBack,Bitmap816*[2],no
TPalette16,0x1c,Palette,T_USHORT[256],yes
TPalette16,0x21c,PaletteStored,T_USHORT[256],no
TPalette24,0x1c,Palette,T_UCHAR[768],yes
TPickANumber,0x0,Low,T_INT4,yes
TPickANumber,0x4,NumbersLeft,T_INT4,yes
TPickANumber,0x8,Available,"std::vector<bool,std::allocator<bool>",yes
TResourceDisplay,0x30,IsSmall,T_UCHAR,yes
TResourceDisplay,0x34,ResourceWidgets,textWidget*[7],yes
TResourceDisplay,0x50,ResourceIconWidgets,border*[7],no
TResourceDisplay,0x6c,BackgroundWidget,bitmapBorder*,no
