# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: Dreamcast CodeView members for every probed class (plus every class named in struct_calibration.csv, so the anchors the engine cannot reach are still documented), flagged where the recovered x86 layout touches the same offset. dc_type is RESOLVED from the cvdump type records - array extents and bitfield bit ranges included. DC offsets are SH4: cross-architecture, a lead, never an x86 claim
class,dc_offset,dc_name,dc_type,x86_offset_touched
army,0x458,mirthBonus,T_INT4,yes
army,0x45c,sorrowPenalty,T_INT4,yes
army,0x460,fortuneBonus,T_INT4,yes
army,0x464,misfortunePenalty,T_INT4,yes
army,0x468,slayerLevel,T_INT4,yes
army,0x46c,joustBonus,T_INT4,yes
army,0x470,counterstrokeBonus,T_INT4,yes
army,0x474,frenzyAdjust,T_REAL32,yes
army,0x478,blindFactor,T_REAL32,yes
army,0x47c,fire_shield_strength,T_REAL32,yes
army,0x480,poison_penalty,T_REAL32,yes
army,0x484,protectionFromAirFactor,T_REAL32,yes
army,0x488,protectionFromFireFactor,T_REAL32,yes
army,0x48c,protectionFromWaterFactor,T_REAL32,yes
army,0x490,protectionFromEarthFactor,T_REAL32,yes
army,0x494,shieldDamageFactor,T_REAL32,yes
army,0x498,airShieldDamageFactor,T_REAL32,yes
army,0x49c,residualBlindness,T_UCHAR,yes
army,0x49d,residualParalyze,T_UCHAR,no
army,0x4a0,backlash_chance,T_LONG,yes
army,0x4a4,forgetfulness_level,TSkillMastery,yes
army,0x4a8,slowPenalty,T_REAL32,yes
army,0x4ac,tailwindBonus,T_INT4,yes
army,0x4b0,diseaseDefensePenalty,T_INT4,yes
army,0x4b4,diseaseAttackPenalty,T_INT4,yes
army,0x4b8,OnNativeTerrain,T_UCHAR,yes
army,0x4bc,DefendBonus,T_INT4,yes
army,0x4c0,iMorale,T_INT4,yes
army,0x4c4,iLuck,T_INT4,yes
army,0x4c8,reset_this_round,T_UCHAR,yes
army,0x4c9,is_area_effect_target,T_UCHAR,no
army,0x4cc,bound_armies,std::vector<army,yes
army,0x4d8,binders,std::vector<army,yes
army,0x4e4,aura_clients,std::vector<army,yes
army,0x4f0,aura_sources,std::vector<army,yes
army,0x4fc,AI_expected_damage,T_LONG,yes
army,0x500,AI_target,const army*,yes
army,0x504,AI_target_value,T_LONG,yes
army,0x508,AI_target_distance,T_LONG,yes
army,0x50c,AI_possible_targets,T_LONG,yes
armyGroup,0x0,armies,TCreatureType[7],yes
armyGroup,0x1c,numTroops,T_INT4[7],yes
baseManager,0x4,nextManager,baseManager*,yes
baseManager,0x8,prevManager,baseManager*,yes
baseManager,0xc,id,T_INT4,yes
baseManager,0x10,priority,T_INT4,yes
baseManager,0x14,cMgrName,T_RCHAR[30],yes
baseManager,0x34,status,T_INT4,yes
bitmapBackedTextWidget,0x50,Background,Bitmap816*,yes
bitmapBorder,0x34,borderBitmap,Bitmap816*,no
bitmapBorder16,0x34,borderBitmap16,Bitmap16Bit*,no
boat,0x18,allocated,T_UCHAR,no
boat,0x19,id,T_UCHAR,no
boat,0x1a,type,T_CHAR,no
boat,0x1b,facing,T_CHAR,yes
boat,0x1c,playerOwner,T_CHAR,no
boat,0x20,occupying_hero,THeroID,no
boat,0x24,occupied,T_UCHAR,no
button,0x34,buttonIcon,CSprite*,yes
button,0x38,normalFrame,T_INT4,yes
button,0x3c,selectedFrame,T_INT4,yes
button,0x40,disabled_frame,T_INT4,yes
button,0x44,endDialog,T_UCHAR,yes
button,0x48,hotKeyCodes,"std::vector<int,std::allocator<int>",yes
button,0x54,Text,"std::basic_string<char,std::char_traits<char>,std::allocator<char>",yes
coloredBorderFrame,0x34,color,T_INT4,yes
coloredBorderFrame,0x38,colorize,T_UCHAR,no
executive,0x0,headManager,baseManager*,yes
executive,0x4,tailManager,baseManager*,yes
executive,0x8,currentManager,baseManager*,yes
executive,0xc,dialogReturn,T_LONG,yes
font,0x1c,fs,font::TFontSpec,yes
font,0x103c,Palette,TPalette16,no
font,0x1458,Data,T_32PUCHAR,no
generator,0x0,genClass,T_CHAR,yes
generator,0x1,genType,T_CHAR,yes
generator,0x4,type,TCreatureType[4],yes
generator,0x14,population,T_SHORT[4],yes
generator,0x1c,guards,armyGroup,no
generator,0x54,mapX,T_UCHAR,yes
generator,0x55,mapY,T_UCHAR,yes
generator,0x56,mapZ,T_UCHAR,yes
generator,0x57,playerOwner,T_CHAR,yes
generator,0x58,town_id,T_CHAR,yes
hero,0x18,mana,T_SHORT,yes
hero,0x1c,id,THeroID,no
hero,0x20,playerOwner,T_CHAR,no
hero,0x21,name,T_RCHAR[13],no
hero,0x30,hero_class,THeroClass,yes
hero,0x34,portrait,T_UCHAR,yes
hero,0x38,targetX,T_INT4,no
hero,0x3c,targetY,T_INT4,no
hero,0x40,targetZ,T_SHORT,no
hero,0x42,last_magic_school_level,T_SHORT,no
hero,0x44,target_distance,T_USHORT,yes
hero,0x46,target_is_critical,T_UCHAR,yes
hero,0x47,patrolX,T_UCHAR,yes
hero,0x48,patrolY,T_UCHAR,yes
hero,0x49,patrolRadius,T_CHAR,yes
hero,0x4a,facing,T_UCHAR,no
hero,0x4b,formation,T_UCHAR,no
hero,0x4c,maxMobility,T_INT4,no
hero,0x50,currMobility,T_INT4,no
hero,0x54,experience,T_INT4,no
hero,0x58,Level,T_SHORT,no
hero,0x5c,TrainingGroundFlags,T_ULONG,no
hero,0x60,DefenseTowerFlags,T_ULONG,no
hero,0x64,GardenOfRevelationFlags,T_ULONG,no
hero,0x68,MercCampFlags,T_ULONG,no
hero,0x6c,PowerSchoolFlags,T_ULONG,no
hero,0x70,TreeOfKnowledgeFlags,T_ULONG,no
hero,0x74,LibraryFlags,T_ULONG,no
hero,0x78,ArenaFlags,T_ULONG,no
hero,0x7c,MagicSchoolFlags,T_ULONG,no
hero,0x80,WarSchoolFlags,T_ULONG,no
hero,0x84,UniversityFlags,T_ULONG,no
hero,0x88,Shrine1Flags,T_ULONG,no
hero,0x8c,Shrine2Flags,T_ULONG,no
hero,0x90,Shrine3Flags,T_ULONG,yes
hero,0x94,iLevelSeed,T_UCHAR,no
hero,0x95,lastWisdom,T_UCHAR,no
hero,0x98,heroArmy,armyGroup,no
hero,0xd0,SSLevel,T_CHAR[28],no
hero,0xec,SSOrder,T_UCHAR[28],no
hero,0x108,numSSs,T_INT4,no
hero,0x10c,flags,T_ULONG,no
hero,0x110,turnExperienceToRVRatio,T_REAL32,no
hero,0x114,dWalkSpellsCast,T_RCHAR,no
hero,0x118,disguiseLevel,TSkillMastery,no
hero,0x11c,flightLevel,TSkillMastery,yes
hero,0x120,waterWalkLevel,TSkillMastery,no
hero,0x124,identifyLevel,TSkillMastery,no
hero,0x128,moraleBonus,T_CHAR,no
hero,0x129,luckBonus,T_CHAR,yes
hero,0x12a,IsSleeping,T_UCHAR,no
hero,0x12c,bounty,T_LONG,no
hero,0x130,TownSpecialGrantedMask,"std::bitset<48,unsigned",no
hero,0x138,equipped,type_artifact[18],no
hero,0x1c8,backpack,type_artifact[64],no
hero,0x3c8,backpack_count,T_CHAR,no
hero,0x3c9,in_spellbook,T_UCHAR[70],no
hero,0x40f,available_spells,T_UCHAR[70],no
hero,0x455,stats,T_CHAR[4],no
hero,0x45c,aggression,T_REAL32,no
hero,0x460,value_of_power,T_LONG,no
hero,0x464,value_of_duration,T_LONG,no
hero,0x468,value_of_knowledge,T_LONG,no
hero,0x46c,value_of_spring,T_LONG,no
hero,0x470,value_of_well,T_LONG,no
heroWindow,0x4,priority,T_INT4,yes
heroWindow,0x8,nextWindow,heroWindow*,yes
heroWindow,0xc,prevWindow,heroWindow*,yes
heroWindow,0x10,type,T_UINT4,yes
heroWindow,0x14,status,heroWindow::TStatus,yes
heroWindow,0x18,x,T_INT4,yes
heroWindow,0x1c,y,T_INT4,yes
heroWindow,0x20,width,T_INT4,yes
heroWindow,0x24,height,T_INT4,yes
heroWindow,0x28,headWidget,widget*,yes
heroWindow,0x2c,tailWidget,widget*,yes
heroWindow,0x30,Widgets,std::vector<widget,yes
heroWindow,0x3c,focusId,T_INT4,yes
heroWindow,0x40,background,Bitmap16Bit*,yes
heroWindowManager,0x38,dialogReturn,T_INT4,yes
heroWindowManager,0x3c,lastHover,T_INT4,yes
heroWindowManager,0x40,lastHoverAK,T_INT4,no
heroWindowManager,0x44,screenBitmap,Bitmap16Bit*,no
heroWindowManager,0x48,colorCyclingOn,T_INT4,yes
heroWindowManager,0x4c,isWaitingForFadeIn,T_UCHAR,no
heroWindowManager,0x50,activeWindow,heroWindow*,yes
heroWindowManager,0x54,lastActive,heroWindow*,yes
heroWindowManager,0x58,windowSwap,T_UCHAR,yes
heroWindowManager,0x59,CacheCleared,T_UCHAR,no
heroWindowManager,0x5c,bmpFizzleSource,Bitmap16Bit*,yes
heroWindowManager,0x60,headWindow,heroWindow*,no
heroWindowManager,0x64,tailWindow,heroWindow*,no
hexcell,0x0,refX,T_SHORT,no
hexcell,0x2,refY,T_SHORT,no
hexcell,0x4,hexULX,T_SHORT,no
hexcell,0x6,hexULY,T_SHORT,no
hexcell,0x8,hexBRX,T_SHORT,no
hexcell,0xa,hexBRY,T_SHORT,no
hexcell,0xc,fullHexBRY,T_SHORT,no
hexcell,0x10,attributes,T_UINT4,yes
hexcell,0x14,obstacleIndex,T_INT4,yes
hexcell,0x18,armyGroup,T_CHAR,yes
hexcell,0x19,armyIndex,T_CHAR,yes
hexcell,0x1a,partOfDouble,T_CHAR,yes
hexcell,0x1c,iBodiesInHex,T_INT4,yes
hexcell,0x20,deadArmyGroup,T_CHAR[14],no
hexcell,0x2e,deadArmyIndex,T_CHAR[14],no
hexcell,0x3c,deadPartOfDouble,T_CHAR[14],no
hexcell,0x4a,bValidMove,T_UCHAR,no
hexcell,0x4b,front_move,T_UCHAR,no
hexcell,0x4c,mouse_shaded,T_UCHAR,yes
hexcell,0x4d,background_offset,T_CHAR,yes
hexcell,0x50,obstacleLimitData,SLimitData,no
hexcell,0x60,cloudLimitData,SLimitData,no
iconWidget,0x34,Sprite,CSprite*,yes
iconWidget,0x38,Frame,T_INT4,yes
iconWidget,0x3c,seqId,T_INT4,yes
iconWidget,0x40,IsFlipped,T_UCHAR,yes
iconWidget,0x44,PostPostWalkSequence,T_INT4,yes
iconWidget,0x48,BackColor,T_USHORT,no
inputManager,0x38,iBuffer,message[64],yes
inputManager,0xa38,iHead,T_INT4,no
inputManager,0xa3c,iTail,T_INT4,no
inputManager,0xa40,bufferBusy,T_INT4,no
inputManager,0xa44,mouseInstalled,T_INT4,no
inputManager,0xa48,scanCodeTable,T_SHORT[128],no
inputManager,0xb48,keyboardInstalled,T_INT4,no
inputManager,0xb4c,keyboardFilter,T_INT4,no
inputManager,0xb50,keyCodeType,T_INT4,no
inputManager,0xb54,extendFlag,T_INT4,no
inputManager,0xb58,currWidgetID,T_INT4,no
inputManager,0xb5c,prevDialog,heroWindow*,no
inputManager,0xb60,possibleWidgetID,T_INT4,no
inputManager,0xb64,map_x_pos,T_INT4,no
inputManager,0xb68,map_y_pos,T_INT4,no
inputManager,0xb6c,hotspot_timer,T_INT4,no
inputManager,0xb70,captureHandle,T_INT4,no
inputManager,0xb74,playbackEnabled,T_INT4,no
inputManager,0xb78,lastHoverAK,T_INT4,no
inputManager,0xb7c,lastDialog,heroWindow*,no
mouseManager,0x38,bNoChangePointer,T_INT4,yes
mouseManager,0x3c,CurrentX,T_INT4,yes
mouseManager,0x40,CurrentY,T_INT4,yes
mouseManager,0x44,LastDraw,tagRECT,yes
mouseManager,0x54,Set,mouseManager::EPointerSet,yes
mouseManager,0x58,Frame,T_INT4,yes
mouseManager,0x5c,Sprite,CSprite*,yes
mouseManager,0x60,ImageX,T_INT4,yes
mouseManager,0x64,ImageY,T_INT4,yes
mouseManager,0x68,DisableCount,T_INT4,yes
mouseManager,0x6c,SystemPointerIsOn,T_UCHAR,yes
mouseManager,0x70,iHideCount,T_INT4,yes
mouseManager,0x74,Busy,T_INT4,yes
mouseManager,0x78,CriticalSection,CRITICAL_SECTION,no
pathCell,0x4,bIsTrigger,T_UINT4:1 @bit 1,no
pathCell,0x4,can_stop,T_UINT4:1 @bit 9,no
pathCell,0x4,castle_gate,T_UINT4:1 @bit 8,no
pathCell,0x4,delta_x,T_INT4:5 @bit 15,no
pathCell,0x4,delta_y,T_INT4:5 @bit 20,no
pathCell,0x4,dimension_door,T_UINT4:1 @bit 7,no
pathCell,0x4,direction,T_UINT4:4 @bit 11,no
pathCell,0x4,flight_cost,T_UINT4:6 @bit 25,no
pathCell,0x4,flying,T_UINT4:1 @bit 4,no
pathCell,0x4,in_boat,T_UINT4:1 @bit 2,no
pathCell,0x4,last_can_stop,T_UINT4:1 @bit 10,no
pathCell,0x4,magic_forbidden,T_UINT4:1 @bit 3,no
pathCell,0x4,town_portal,T_UINT4:1 @bit 6,no
pathCell,0x4,visited,T_UINT4:1 @bit 0,no
pathCell,0x4,water_walking,T_UINT4:1 @bit 5,no
pathCell,0x8,last_point,type_point,no
pathCell,0xc,monster,type_point,no
pathCell,0x10,barrier_value,T_LONG,no
pathCell,0x14,danger_value,T_LONG,no
pathCell,0x18,cost,T_USHORT,no
pathCell,0x1a,adjusted_cost,T_USHORT,no
pathCell,0x1c,move_left,T_USHORT,no
playerData,0x0,color,T_CHAR,yes
playerData,0x1,numHeroes,T_CHAR,yes
playerData,0x2,currHero,T_CHAR,no
playerData,0x4,heroes,THeroID[8],yes
playerData,0x24,recruits,THeroID[2],no
playerData,0x2c,startingNumHeroes,T_UCHAR,yes
playerData,0x30,personality,T_INT4,yes
playerData,0x34,extraPuzzlePieces,T_CHAR,yes
playerData,0x36,puzzle_guess,type_point,no
playerData,0x3a,iDeathCountDown,T_CHAR,no
playerData,0x3b,numTowns,T_CHAR,yes
playerData,0x3c,currTown,T_CHAR,no
playerData,0x3d,towns,T_CHAR[72],yes
playerData,0x85,placement_help_enabled,T_UCHAR,no
playerData,0x88,shipyards,"std::vector<type_point,std::allocator<type_point>",yes
playerData,0x94,resources,T_LONG[7],yes
playerData,0xb0,MysticalGardenFlags,T_ULONG,no
playerData,0xb4,MagicSpringFlags,T_ULONG,no
playerData,0xb8,DeadGuyFlags,T_ULONG,yes
playerData,0xbc,LeanToFlags,T_ULONG,yes
playerData,0xc0,dpid,T_ULONG,yes
playerData,0xc4,cName,T_RCHAR[21],yes
playerData,0xd9,isLocal,T_UCHAR,no
playerData,0xda,isHuman,T_UCHAR,no
playerData,0xdc,quickCombat,T_INT4,no
playerData,0xe0,ai,AI,no
recruitUnit,0x38,CurrentSpriteFrame,T_INT4[4],no
recruitUnit,0x48,type,T_INT4,yes
recruitUnit,0x4c,view_only,T_UCHAR,yes
recruitUnit,0x50,monsterType,TCreatureType,yes
recruitUnit,0x54,numAvail,T_32PSHORT,yes
recruitUnit,0x58,selectedPosition,T_INT4,yes
recruitUnit,0x5c,MonType1,TCreatureType,yes
recruitUnit,0x60,MonType2,TCreatureType,yes
recruitUnit,0x64,MonType3,TCreatureType,yes
recruitUnit,0x68,MonType4,TCreatureType,yes
recruitUnit,0x6c,available,T_32PSHORT[16 bytes],yes
recruitUnit,0x7c,thisHero,hero*,yes
recruitUnit,0x80,availSource,T_32PINT4,no
recruitUnit,0x84,goldPerTroop,T_LONG,yes
recruitUnit,0x88,altResource,T_INT4,yes
recruitUnit,0x8c,resourcesPerTroop,T_INT4,yes
recruitUnit,0x90,bInTownMainScreen,T_INT4,yes
recruitUnit,0x94,errorWin,heroWindow*,no
recruitUnit,0x98,currArmyGroup,armyGroup*,yes
recruitUnit,0x9c,bCurrArmyGroupIsTownGarrison,T_UCHAR,yes
recruitUnit,0xa0,addIndex,T_INT4,no
recruitUnit,0xa4,updateNeeded,T_INT4,no
recruitUnit,0xa8,errorExit,T_INT4,no
recruitUnit,0xac,maxAvail,T_INT4,yes
recruitUnit,0xb0,totalGold,T_LONG,yes
recruitUnit,0xb4,totalResources,T_INT4,yes
recruitUnit,0xb8,numberToBuy,T_INT4,yes
resource,0x4,Name,T_RCHAR[13],yes
resource,0x14,resType,EResourceType,yes
resource,0x18,ReferenceCount,T_INT4,yes
sample,0x0,memSample,MemorySampleStructure,yes
searchArray,0x0,maxQueueCount,T_UINT4,yes
searchArray,0x4,pay_transition_costs,T_UCHAR,yes
searchArray,0x8,this_turns_movement,T_LONG,yes
searchArray,0xc,land_movement,T_LONG,yes
searchArray,0x10,sea_movement,T_LONG,yes
searchArray,0x14,can_summon_boat,T_UCHAR,yes
searchArray,0x15,can_cast_teleport,T_UCHAR,yes
searchArray,0x16,can_cast_flight,T_UCHAR,yes
searchArray,0x17,can_cast_water_walk,T_UCHAR,yes
searchArray,0x18,water_walk_level,TSkillMastery,yes
searchArray,0x1c,flight_level,TSkillMastery,yes
searchArray,0x20,limit_reached,T_UCHAR,yes
searchArray,0x24,cellData,pathCell*,yes
searchArray,0x28,valid_rectangle,tagRECT,no
searchArray,0x38,queue,"std::vector<pathCell,std::allocator<pathCell>",yes
searchArray,0x44,result,std::vector<pathCell,yes
searchArray,0x50,visited_points,std::vector<pathCell,yes
searchArray,0x5c,bIsMoatSlowed,T_32PUCHAR,yes
searchArray,0x60,danger_zones,T_32PLONG,yes
slider,0x34,knobPos,T_INT4,yes
slider,0x38,currentState,T_INT4,yes
slider,0x3c,pageSize,T_INT4,yes
slider,0x40,numStates,T_INT4,yes
slider,0x44,sliderSprite,CSprite*,yes
slider,0x48,sliderBitmap,Bitmap816*,yes
slider,0x4c,oldState,T_INT4,yes
slider,0x50,knobRange,T_INT4,yes
slider,0x54,length,T_INT4,yes
slider,0x58,knob_start,T_LONG,yes
slider,0x5c,clickX,T_SHORT,yes
slider,0x5e,clickY,T_SHORT,no
slider,0x60,hotKeys,T_UCHAR,no
slider,0x61,scrolling,T_UCHAR,no
slider,0x64,lastFocus,T_INT4,yes
slider,0x68,sliderFunction,0x1B44*,no
soundManager,0x38,ds,ds_engine,no
soundManager,0x44c,bChangeSounds,T_INT4,no
soundManager,0x450,MP3Playing,T_UCHAR,no
soundManager,0x454,section_sound_call,CRITICAL_SECTION,no
soundManager,0x468,section_MP3_change,CRITICAL_SECTION,no
soundManager,0x47c,section_MP3_name_change,CRITICAL_SECTION,no
textButton,0x60,Font,font*,yes
textButton,0x64,textColor,font::TColor,yes
textEntryWidget,0x50,textBack,Bitmap816*,yes
textEntryWidget,0x54,saveBack,CTextEntrySave*,yes
textEntryWidget,0x58,cursorIndex,T_USHORT,yes
textEntryWidget,0x5a,bufferSize,T_USHORT,yes
textEntryWidget,0x5c,textWidth,T_SHORT,yes
textEntryWidget,0x5e,textHeight,T_SHORT,yes
textEntryWidget,0x60,textX,T_SHORT,yes
textEntryWidget,0x62,textY,T_SHORT,yes
textEntryWidget,0x64,textLines,T_SHORT,yes
textEntryWidget,0x66,attributes,T_SHORT,yes
textEntryWidget,0x68,type,T_SHORT,yes
textEntryWidget,0x6a,displayOffset,T_SHORT,yes
textEntryWidget,0x6c,cursorFlashOn,T_CHAR,yes
textEntryWidget,0x6d,focus,T_UCHAR,yes
textEntryWidget,0x6e,autoDraw,T_UCHAR,yes
textWidget,0x34,Text,"std::basic_string<char,std::char_traits<char>,std::allocator<char>",yes
textWidget,0x40,Font,font*,yes
textWidget,0x44,Color,font::TColor,yes
textWidget,0x48,BackColor,T_INT4,yes
textWidget,0x4c,Justify,T_UINT4,yes
town,0x0,id,T_CHAR,yes
town,0x1,playerOwner,T_CHAR,yes
town,0x2,builtThisTurn,T_UCHAR,yes
town,0x3,threatening_heroes,T_UCHAR,no
town,0x4,townType,T_CHAR,yes
town,0x5,mapX,T_UCHAR,yes
town,0x6,mapY,T_UCHAR,yes
town,0x7,mapZ,T_UCHAR,yes
town,0x8,boatX,T_UCHAR,yes
town,0x9,boatY,T_UCHAR,yes
town,0xa,garrisonHero,T_CHAR,no
town,0xb,occupyingHero,T_CHAR,no
town,0xc,mageLevel,T_CHAR,yes
town,0xe,population,T_SHORT[14],no
town,0x2a,bIsGrouped,T_CHAR,no
town,0x2b,ManaVortexFull,T_UCHAR,no
town,0x2c,pond_amount,T_UCHAR,no
town,0x30,pond_resource,EGameResource,no
town,0x34,summoningType,TCreatureType,yes
town,0x38,summoningPopulation,T_SHORT,yes
town,0x3c,townSpells,SpellID[6][120 bytes],yes
town,0xb4,maxTownSpellAvailable,T_CHAR[5],no
town,0xb9,cName,T_RCHAR[13],no
town,0xc8,SpellDisabledMask,"std::bitset<70,unsigned",yes
town,0xd4,town_army,armyGroup,no
town,0x10c,generator_bonus,T_LONG[14],no
town,0x148,populationMask,T_QUAD,no
town,0x150,full_building_mask,T_QUAD,yes
town,0x158,legal_buildings,T_QUAD,yes
type_AI_attack_hex_chooser,0x0,attacker,const army*,yes
type_AI_attack_hex_chooser,0x4,speed,T_LONG,yes
type_AI_attack_hex_chooser,0x8,enemy,const army*,yes
type_AI_attack_hex_chooser,0xc,search_array,const searchArray*,yes
type_AI_attack_hex_chooser,0x10,enemy_attacks,const T_LONG*,yes
type_AI_attack_hex_chooser,0x14,retaliation_strength,T_LONG,yes
type_AI_attack_hex_chooser,0x18,our_strength,T_LONG,yes
type_AI_attack_hex_chooser,0x1c,best_value,T_LONG,yes
type_AI_attack_hex_chooser,0x20,best_hex,T_LONG,yes
type_AI_attack_hex_chooser,0x24,best_attack_time,T_LONG,yes
type_AI_attack_hex_chooser,0x28,estimate,const type_AI_combat_parameters*,yes
type_AI_combat_data,0x0,creatures,"std::vector<type_monster_data,std::allocator<type_monster_data>",yes
type_AI_combat_data,0xc,on_magic_plains,T_UCHAR,yes
type_AI_combat_data,0x10,mana,T_LONG,yes
type_AI_combat_data,0x14,can_cast_spells,T_UCHAR,yes
type_AI_combat_data,0x18,total_combat_value,T_LONG,yes
type_AI_combat_data,0x1c,tactics_advantage,T_LONG,yes
type_AI_combat_data,0x20,current_hero,hero*,yes
type_AI_combat_data,0x24,current_army,armyGroup*,yes
type_AI_combat_data,0x28,enemy_hero,const hero*,yes
type_AI_combat_data,0x2c,wall_archery_penalty,T_UCHAR,yes
type_AI_combat_data,0x2e,wall_speed_limit,T_SHORT,no
type_AI_combat_parameters,0x0,lowest_attack,T_LONG,yes
type_AI_combat_parameters,0x4,lowest_defense,T_LONG,yes
type_AI_combat_parameters,0x8,kills_only,T_UCHAR,yes
type_AI_combat_parameters,0x9,simulated,T_UCHAR,yes
type_AI_combat_parameters,0xc,friendly_combat_value,T_LONG,yes
type_AI_combat_parameters,0x10,enemy_combat_value,T_LONG,yes
type_AI_combat_parameters,0x14,awake_friendly_value,T_LONG,yes
type_AI_combat_parameters,0x18,awake_enemy_value,T_LONG,yes
type_AI_combat_parameters,0x1c,rounds_left,T_LONG,yes
type_AI_combat_parameters,0x20,our_group,T_LONG,yes
type_AI_combat_parameters,0x24,enemy_group,T_LONG,yes
type_AI_player,0x0,team,T_SHORT,yes
type_AI_player,0x4,magus_hut_value,T_LONG,yes
type_AI_player,0x8,reserved_funds,T_LONG[7],yes
type_AI_player,0x24,resource_supply,T_LONG[7],yes
type_AI_player,0x40,resource_demand,T_LONG[7],yes
type_AI_player,0x60,resource_value,T_REAL64[7],no
type_AI_spellcaster,0x4,current_hero,hero*,yes
type_AI_spellcaster,0x8,enemy_hero,hero*,yes
type_AI_spellcaster,0xc,our_group,T_LONG,yes
type_AI_spellcaster,0x10,enemy_group,T_LONG,yes
type_AI_spellcaster,0x14,enemy_can_attack,T_LONG,yes
type_AI_spellcaster,0x18,can_be_attacked,T_LONG,yes
type_AI_spellcaster,0x1c,win_likely,T_UCHAR,yes
type_AI_spellcaster,0x1d,is_creature_spell,T_UCHAR,yes
type_AI_spellcaster,0x20,estimate,type_AI_combat_parameters,yes
type_AI_spellcaster,0x48,enemy_caster,type_AI_spellcaster*,yes
type_AI_spellcaster,0x4c,owns_enemy_caster,T_UCHAR,yes
type_AI_spellcaster,0x50,melee_enemies,type_AI_enemy_data[20],yes
type_AI_spellcaster,0x190,ranged_enemies,type_AI_enemy_data[20],yes
type_AI_spellcaster,0x2d0,worst_enemies,type_AI_enemy_data[20],yes
type_artifact,0x0,type,TArtifact,yes
type_artifact,0x4,spell,SpellID,no
type_enchant_data,0x0,spell,SpellID,yes
type_enchant_data,0x4,mastery,TSkillMastery,yes
type_enchant_data,0x8,power,T_LONG,no
type_enchant_data,0xc,duration,T_LONG,no
type_enchant_data,0x10,check_resistance,T_UCHAR,no
type_monster_data,0x0,index,T_LONG,no
type_monster_data,0x4,type,TCreatureType,yes
type_monster_data,0x8,number,T_LONG,yes
type_monster_data,0xc,original_number,T_LONG,yes
type_monster_data,0x10,speed,T_LONG,no
type_monster_data,0x18,melee_modifier,T_REAL64,no
type_monster_data,0x20,final_melee_modifier,T_REAL64,no
type_monster_data,0x28,ranged_modifier,T_REAL64,no
type_monster_data,0x30,combat_value_per_hit,T_REAL64,no
type_monster_data,0x38,catagory,type_speed_catagory,no
type_monster_data,0x3c,value,T_LONG,yes
type_monster_data,0x40,total_value,T_LONG,yes
type_obscuring_object,0x0,mapX,T_SHORT,yes
type_obscuring_object,0x2,mapY,T_SHORT,yes
type_obscuring_object,0x4,mapZ,T_SHORT,yes
type_obscuring_object,0x6,valid,T_UCHAR,yes
type_obscuring_object,0x8,obscured_location,type_point,no
type_obscuring_object,0xc,type,TAdventureObjectType,yes
type_obscuring_object,0x10,was_trigger,T_UCHAR,yes
type_obscuring_object,0x14,extra_info,T_ULONG,yes
type_point,0x0,x,T_SHORT:10 @bit 0,yes
type_point,0x2,y,T_SHORT:10 @bit 0,yes
type_point,0x2,z,T_SHORT:4 @bit 10,yes
type_spell_choice,0x14,target_hex,T_LONG,yes
type_spell_choice,0x18,second_target_hex,T_LONG,yes
type_spell_choice,0x1c,value,T_LONG,yes
type_spell_choice,0x20,cast_now,T_UCHAR,yes
type_spellvalue,0x0,our_hero,const hero*,yes
type_spellvalue,0x4,stack_value,T_LONG,yes
type_spellvalue,0x8,power,T_LONG,yes
type_spellvalue,0xc,duration,T_LONG,yes
type_spellvalue,0x10,mana,T_LONG,yes
type_spellvalue,0x14,list,"std::vector<type_creature_value,std::allocator<type_creature_value>",yes
type_town_threat_checker,0x4,current_player_id,T_LONG,no
widget,0x4,parentWindow,heroWindow*,yes
widget,0x8,prevWidget,widget*,yes
widget,0xc,nextWidget,widget*,yes
widget,0x10,id,T_SHORT,yes
widget,0x12,priority,T_SHORT,yes
widget,0x14,style,T_SHORT,yes
widget,0x16,status,T_SHORT,yes
widget,0x18,x,T_SHORT,yes
widget,0x1a,y,T_SHORT,yes
widget,0x1c,width,T_SHORT,yes
widget,0x1e,height,T_SHORT,yes
widget,0x20,focusable,T_INT4,yes
widget,0x24,on,T_UCHAR,yes
widget,0x28,RollOver,T_32PRCHAR,yes
widget,0x2c,RightClick,T_32PRCHAR,yes
widget,0x30,freeText,T_UCHAR,no
