# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: one row per recovered offset; kind r/w/rw, !union = >1 width seen
class,offset,width,n_methods,kind
CChatManager,0x1c,4,4,r
CChatManager,0x20,4,4,rw
CChatManager,0x24,1,2,w
CCombatChatEdit,0x0,4,4,r
CCombatChatEdit,0x4,4,4,r
CCombatChatEdit,0x10,2,1,r
CCombatChatEdit,0x18,2,2,r
CCombatChatEdit,0x1a,2,2,r
CCombatChatEdit,0x1c,2,2,r
CCombatChatEdit,0x1e,2,2,r
CCombatChatEdit,0x70,1,4,rw
CDPlay,0x0,4,5,rw
CDPlay,0x2c,4,38,rw
CDPlay,0x30,4,4,rw
CDPlay,0x34,4,4,rw
CDPlay,0x38,4,4,rw
CDPlay,0x3c,4,4,rw
CDPlay,0x40,4,37,rw
CDPlay,0x44,4,2,rw
CDPlay,0x48,4,2,rw
CDPlay,0x4c,4,2,rw
CDPlay,0x50,4,3,rw
CDPlay,0x56,1,5,rw
CDPlayLobby,0x0,4,1,r
CDPlayLobby,0x2c,4,7,rw
CDPlayLobby,0x40,4,9,w
CDPlayLobby,0x48,4,1,w
CDPlayLobby,0x4c,4,1,w
CDPlayLobby,0x50,4,2,w
CDPlayLobby,0x58,4,3,rw
CDPlayLobby,0x5c,4,2,rw
CHeroWindowEx,0x0,4,4,rw
CHeroWindowEx,0x4,4,1,w
CHeroWindowEx,0x8,4,1,w
CHeroWindowEx,0xc,4,1,w
CHeroWindowEx,0x10,4,1,w
CHeroWindowEx,0x14,4,1,w
CHeroWindowEx,0x18,4,2,rw
CHeroWindowEx,0x1c,4,2,rw
CHeroWindowEx,0x20,4,1,w
CHeroWindowEx,0x24,4,1,w
CHeroWindowEx,0x28,4,1,w
CHeroWindowEx,0x2c,4,3,rw
CHeroWindowEx,0x30,1,1,w
CHeroWindowEx,0x34,4,3,rw
CHeroWindowEx,0x38,4,3,rw
CHeroWindowEx,0x3c,4,2,w
CHeroWindowEx,0x40,4,1,w
CHeroWindowEx,0x44,4,2,rw
CHeroWindowEx,0x48,4,1,w
CHeroWindowEx,0x4c,4,2,rw
CHighScoreEdit,0x0,4,2,r
CHighScoreEdit,0x4,4,4,r
CHighScoreEdit,0x10,2,1,r
CHighScoreEdit,0x18,2,2,r
CHighScoreEdit,0x1a,2,2,r
CHighScoreEdit,0x1c,2,2,r
CHighScoreEdit,0x1e,2,2,r
CHighScoreEdit,0x34,4,1,r
CHighScoreEdit,0x38,4,1,w
CHighScoreEdit,0x3c,4,1,r
CHighScoreEdit,0x40,4,1,r
CHighScoreEdit,0x58,2,1,rw
CHighScoreEdit,0x5a,2,1,r
CHighScoreEdit,0x5c,2,1,r
CHighScoreEdit,0x64,2,1,r
CHighScoreEdit,0x68,2,1,r
CHighScoreEdit,0x6a,2,1,rw
CHighScoreEdit,0x6c,1,1,w
CHighScoreEdit,0x6d,1,2,rw
CHighScoreEdit,0x6e,1,2,r
CHighScoreEdit,0x70,4,1,r
CHighScoreEdit,0x74,4,1,r
CMCDeadHero,0x4,4,1,rw
CNetMsgHandler,0x0,4,1,rw
CNetMsgHandler,0x8,4,1,rw
CNetMsgHandler,0xc,4,1,w
CNetMsgHandler,0x10,4,1,rw
