# GENERATED (ONE-SHOT): python3 scripts/archive/ghidra_recover_structs/recover_structs.py (ONE-SHOT, not a pipeline stage)
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - Ghidra decompiler inference.
# Standing: lead-generator only. Same grade as the Dreamcast dump - a
# recovered offset still needs retail-byte proof before it is a claim.
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274 size=2732032
# contents: one row per recovered offset; kind r/w/rw, !union = >1 width seen
class,offset,width,n_methods,kind
TDialogBox,0x3de,4,1,rw
TDialogBox,0x3e2,4,1,rw
TDialogBox,0x3e6,4,1,rw
TDialogBox,0x3ea,1,1,w
TDialogBox,0x430,1,1,w
TDialogBox,0x476,1,1,w
TDialogBox,0x47a,4,1,w
TDialogBox,0x47e,4,1,w
TDialogBox,0x482,4,1,w
TDialogBox,0x486,4,1,w
TDialogBox,0x48a,4,1,w
TDialogBox,0x48e,4,1,w
TGzFile,0x0,4,2,w
TGzFile,0x4,4,1,w
TGzInflateBuf,0x0,4,4,rw
TGzInflateBuf,0xc,4,2,r
TGzInflateBuf,0x10,4,1,r
TGzInflateBuf,0x1c,4,4,r
TGzInflateBuf,0x20,4,2,r
TGzInflateBuf,0x2c,4,4,r
TGzInflateBuf,0x30,4,2,r
TGzInflateBuf,0x34,4,1,w
TGzInflateBuf,0x38,4,2,rw
TGzInflateBuf,0x3c,4,2,rw
TGzInflateBuf,0x40,4,2,rw
TGzInflateBuf,0x48,4,2,rw
TGzInflateBuf,0x4c,4,2,rw
TGzInflateBuf,0x5c,4,1,w
TGzInflateBuf,0x60,4,1,w
TGzInflateBuf,0x74,4,2,rw
TGzInflateBuf,0x78,4,2,rw
TGzInflateBuf,0x7c,4,2,w
TGzInflateBuf,0x80,1,2,rw
TGzInflateBuf,0x81,1,2,rw
TGzInflateBuf,0x82,1,2,rw
THeroScreenWindow,0x0,4,2,r
THeroScreenWindow,0x60,4,1,r
TPalette16,0x0,4,9,w
TPalette16,0x4,1,8,w
TPalette16,0x10,1,8,w
TPalette16,0x14,4,8,w
TPalette16,0x18,4,8,w
TPalette16,0x1c,4,7,w!union
TPalette16,0x30,2,3,rw
TPalette24,0x0,4,3,w
TPalette24,0x4,1,2,w
TPalette24,0x10,1,2,w
TPalette24,0x14,4,2,w
TPalette24,0x18,4,2,w
TPalette24,0x1c,4,3,w!union
TPalette24,0x1d,1,1,w
TPalette24,0x1e,1,1,w
TPalette24,0x3a,1,1,rw
TPalette24,0x3b,1,1,rw
TPalette24,0x3c,1,1,rw
TPickANumber,0x0,4,2,rw
TPickANumber,0x4,4,2,rw
TPickANumber,0x8,1,1,w
TPickANumber,0xc,4,2,rw
TPickANumber,0x10,4,1,w
TPickANumber,0x14,4,1,w
TPlayerSlotAttributes,0x0,1,1,w
TPlayerSlotAttributes,0x1,1,1,w
TPlayerSlotAttributes,0x4,4,1,w
TPlayerSlotAttributes,0x8,2,1,w
TPlayerSlotAttributes,0xa,1,1,w
TPlayerSlotAttributes,0xb,1,1,w
TPlayerSlotAttributes,0x18,1,1,w
TPlayerSlotAttributes,0x1c,4,1,w
TPlayerSlotAttributes,0x20,4,1,w
TPlayerSlotAttributes,0x24,1,1,w
TPlayerSlotAttributes,0x30,4,1,w
TPlayerSlotAttributes,0x34,1,1,w
TPlayerSlotAttributes,0x38,4,2,rw
TPlayerSlotAttributes,0x3c,4,2,rw
TPlayerSlotAttributes,0x40,4,2,w
TQuestGuard,0x0,4,5,rw
TQuestGuard,0x4,1,3,rw
TQuestGuard,0x5,4,1,w
TQuestGuard,0x11,1,1,w
TQuestGuard,0x12,1,1,w
TResourceDisplay,0x0,4,2,w
TResourceDisplay,0x4,4,3,rw!union
TResourceDisplay,0x8,4,3,rw!union
TResourceDisplay,0xc,4,3,rw
TResourceDisplay,0x10,4,3,rw
TResourceDisplay,0x18,4,1,rw
TResourceDisplay,0x1c,4,1,w
TResourceDisplay,0x20,4,1,w
TResourceDisplay,0x24,4,3,rw
TResourceDisplay,0x28,4,3,rw
TResourceDisplay,0x2c,4,3,rw
TResourceDisplay,0x30,4,1,r
TResourceDisplay,0x34,1,1,w
TResourceDisplay,0x38,4,4,rw
TResourceDisplay,0x54,4,2,rw
TResourceDisplay,0x70,4,4,rw
TResourceDisplay,0x74,4,4,rw
TSeerReward,0x0,4,3,r
TSeerReward,0x4,4,3,r
TSeerReward,0x8,4,3,r
TSkuttleBoatWindow,0x0,4,1,r
TSplitWindow,0x0,4,2,rw
TSplitWindow,0x18,4,1,r
TSplitWindow,0x1c,4,1,r
TSplitWindow,0x2c,4,1,r
TSplitWindow,0x34,4,1,r
TSplitWindow,0x38,4,1,r
TSplitWindow,0x40,4,1,r
TSplitWindow,0x5c,1,1,r
TSplitWindow,0x60,4,1,r
TSplitWindow,0x64,4,1,r
TSplitWindow,0x68,4,1,r
TSplitWindow,0x6c,4,1,r
TSplitWindow,0x70,4,1,rw
TSplitWindow,0x74,4,1,rw
TSplitWindow,0x7c,4,1,r
TSpreadsheetResource,0x0,4,3,rw
TSpreadsheetResource,0x4,4,3,rw!union
TSpreadsheetResource,0x10,2,2,rw!union
TSpreadsheetResource,0x14,4,1,w
TSpreadsheetResource,0x16,1,2,rw
TSpreadsheetResource,0x17,1,1,rw
TSpreadsheetResource,0x18,4,3,rw!union
TSpreadsheetResource,0x1a,2,2,rw
TSpreadsheetResource,0x1c,2,3,rw!union
TSpreadsheetResource,0x1e,2,2,r
TSpreadsheetResource,0x20,4,2,rw
TSpreadsheetResource,0x24,4,2,rw
TSpreadsheetResource,0x28,4,2,w
TSpreadsheetResource,0x2c,4,3,rw
TSpreadsheetResource,0x30,4,1,w
TSpreadsheetResource,0x34,4,2,rw
TSpreadsheetResource,0x38,4,1,w
TSpreadsheetResource,0x3c,4,1,rw
TSpreadsheetResource,0x40,4,1,r
TSpreadsheetResource,0x44,4,2,rw
TSpreadsheetResource,0x48,4,1,r
TSpreadsheetResource,0x4c,4,1,r
TStreamBufFile,0x4,4,2,r
TSubWindow,0x0,4,4,rw
TSubWindow,0x4,4,7,rw!union
TSubWindow,0x8,4,7,rw!union
TSubWindow,0xc,4,6,rw
TSubWindow,0x10,4,6,rw
TSubWindow,0x14,1,2,w
TSubWindow,0x18,4,3,rw
TSubWindow,0x1c,4,3,w
TSubWindow,0x20,4,3,w
TSubWindow,0x24,4,7,rw
TSubWindow,0x28,4,4,rw
TSubWindow,0x2c,4,4,rw
TSubWindow,0x30,4,5,rw
TTextResource,0x0,4,2,w
TTextResource,0x4,1,1,w
TTextResource,0x10,1,1,w
TTextResource,0x14,4,1,w
TTextResource,0x18,4,1,w
TTextResource,0x1c,1,1,w
TTextResource,0x20,4,2,rw
TTextResource,0x24,4,2,rw
TTextResource,0x28,4,2,w
TTextResource,0x2c,4,2,rw
TTextResource,0x30,4,1,r
VictoryConditionStruct,0x0,1,14,rw
VictoryConditionStruct,0x2,1,8,r
VictoryConditionStruct,0x4,4,2,r
VictoryConditionStruct,0x8,4,1,r
VictoryConditionStruct,0xc,4,1,r
VictoryConditionStruct,0x10,4,1,r
VictoryConditionStruct,0x14,4,1,r
VictoryConditionStruct,0x18,4,6,r!union
VictoryConditionStruct,0x1c,4,6,r!union
VictoryConditionStruct,0x20,4,6,r!union
VictoryConditionStruct,0x24,1,1,r
VictoryConditionStruct,0x25,1,1,r
VictoryConditionStruct,0x34,4,1,r
VictoryConditionStruct,0x38,2,1,r
VictoryConditionStruct,0x3c,2,1,r
VictoryConditionStruct,0x40,1,1,r
VictoryConditionStruct,0x44,4,1,r
VictoryConditionStruct,0x48,1,13,w
VictoryConditionStruct,0x49,1,12,w
_ResourceManager,0x0,1,1,r
advManager,0x0,4,3,rw!union
advManager,0x2,2,1,rw
advManager,0xc,4,1,w
advManager,0x10,4,1,w
advManager,0x14,1,1,w
advManager,0x34,4,6,rw
advManager,0x38,4,4,rw
advManager,0x3c,1,10,rw
advManager,0x3d,1,1,w
advManager,0x40,4,2,rw
advManager,0x44,4,32,rw
advManager,0x48,4,6,rw
advManager,0x4c,4,12,rw
advManager,0x50,4,6,rw
advManager,0x54,4,5,rw
advManager,0x58,4,6,rw
advManager,0x5c,4,21,rw!union
advManager,0x60,4,3,rw
advManager,0x8c,4,3,rw
advManager,0x90,4,1,w
advManager,0x91,4,1,r
advManager,0x94,4,1,w
advManager,0x98,4,1,w
advManager,0xa0,4,3,rw
advManager,0xa4,4,1,w
advManager,0xa8,4,1,w
advManager,0xac,4,3,rw
advManager,0xad,4,1,r
advManager,0xb0,4,3,rw
advManager,0xb4,4,5,rw
advManager,0xb8,4,5,rw
advManager,0xbc,4,5,rw
advManager,0xc0,4,5,rw
advManager,0xc4,4,2,w
advManager,0xc8,4,8,rw
advManager,0xcc,4,3,rw
advManager,0xd0,1,1,w
advManager,0xd4,4,4,rw
advManager,0xd8,4,4,rw
advManager,0xdc,4,4,rw
advManager,0xe0,4,3,rw
advManager,0xe4,4,23,rw!union
advManager,0xe6,2,19,rw
advManager,0xe8,4,2,r!union
advManager,0xea,2,1,r
advManager,0xec,4,8,rw!union
advManager,0xf0,4,3,rw!union
advManager,0xf4,4,2,w
advManager,0xf8,4,1,w
advManager,0xfc,4,1,w
advManager,0x100,4,14,rw
advManager,0x104,1,15,rw
advManager,0x108,4,1,w
advManager,0x10c,4,2,rw
advManager,0x154,4,2,rw
advManager,0x160,4,2,rw
advManager,0x16c,4,3,rw
advManager,0x18c,4,3,rw
advManager,0x1ec,1,16,rw
advManager,0x1f0,4,7,rw
advManager,0x1f4,4,9,rw!union
advManager,0x1fc,4,4,w
advManager,0x200,4,6,w
advManager,0x204,4,1,w
advManager,0x208,4,9,w
advManager,0x20c,1,10,rw
advManager,0x210,4,1,w
advManager,0x218,4,4,w
advManager,0x21c,4,4,w
advManager,0x220,4,3,w
advManager,0x224,4,8,rw
advManager,0x228,4,8,rw
advManager,0x22c,4,8,rw
advManager,0x248,4,3,rw
advManager,0x360,4,3,rw
advManager,0x388,4,1,r
advManager,0x38c,4,7,rw
advManager,0x390,1,5,rw
advManager,0x394,4,6,rw
advManager,0x398,4,10,rw
advManager,0x39c,4,10,rw
advManager,0x3a0,4,3,rw
advManager,0x3a4,4,3,rw
advManager,0x3a8,1,1,w
advManager,0x3ac,4,4,rw
advManager,0x3b0,4,4,w
advManager,0x3b4,4,4,rw
army,0x0,1,3,w
army,0x1,1,1,w
army,0x2,1,3,w
army,0x3,1,1,w
army,0x4,1,1,w
army,0x8,4,5,w
army,0xc,1,2,w
army,0x10,4,13,rw
army,0x14,4,10,rw
army,0x18,4,2,w
army,0x1c,4,7,rw
army,0x20,1,9,rw
army,0x24,4,1,w
army,0x28,4,1,w
army,0x2c,4,2,rw
army,0x30,1,7,rw
army,0x31,1,6,w
army,0x34,4,43,rw
army,0x38,4,37,rw
army,0x3c,4,15,rw
army,0x40,4,15,rw
army,0x44,4,42,rw
army,0x48,4,6,rw
army,0x4c,4,30,rw
army,0x50,4,6,rw
army,0x54,4,1,w
army,0x58,4,17,rw
army,0x5c,4,1,w
army,0x60,4,3,rw
army,0x64,4,1,w
army,0x68,4,9,rw
army,0x6c,4,9,rw
army,0x70,4,6,w
army,0x74,4,3,rw
army,0x78,4,5,r
army,0x84,4,54,rw!union
army,0xc0,4,16,rw
army,0xc4,4,14,rw
army,0xc8,4,12,rw
army,0xcc,4,11,rw
army,0xd0,4,9,r
army,0xd4,4,9,r
army,0xd8,4,10,rw
army,0xdc,4,4,rw
army,0xe8,1,1,w
army,0xe9,1,4,w
army,0xea,1,3,w
army,0xec,4,1,w
army,0xf0,1,1,w
army,0xf4,4,42,rw!union
army,0xf8,4,12,rw!union
army,0xfc,4,1,w
army,0x100,4,5,rw
army,0x104,4,5,rw
army,0x108,4,1,w
army,0x10c,4,4,w
army,0x110,4,1,w
army,0x14c,4,3,r
army,0x150,4,2,r
army,0x158,4,8,w
army,0x15c,4,3,r
army,0x164,4,17,rw
army,0x168,4,5,rw
army,0x16c,4,6,rw
army,0x170,4,5,rw
army,0x17c,4,4,r
army,0x188,4,2,r
army,0x18c,4,3,r
army,0x190,4,1,w
army,0x194,4,12,rw
army,0x198,4,5,rw
army,0x204,4,4,r
army,0x208,4,4,r
army,0x20c,4,1,r
army,0x228,4,1,r
army,0x23c,4,9,r
army,0x240,4,9,r
army,0x244,4,4,r
army,0x248,4,4,r
army,0x25c,4,1,r
army,0x260,4,1,r
army,0x264,4,1,r
army,0x268,4,1,r
army,0x270,4,6,r
army,0x274,4,4,r
army,0x278,4,6,rw
army,0x280,4,1,r
army,0x284,4,2,r
army,0x288,4,32,r
army,0x28c,4,12,r
army,0x290,4,3,r
army,0x2b0,4,10,r
army,0x2b4,4,1,r
army,0x2b8,4,4,r
army,0x2c0,4,3,r
army,0x2dc,4,1,w
army,0x420,1,2,w
army,0x424,4,10,rw
army,0x428,4,11,rw
army,0x42c,4,11,rw
army,0x430,4,10,rw
army,0x434,4,3,w
army,0x438,4,3,rw
army,0x43c,4,10,rw
army,0x440,4,3,rw
army,0x444,4,3,rw
army,0x448,4,3,rw
army,0x44c,4,4,rw
army,0x450,4,4,rw
army,0x454,4,4,rw
army,0x458,4,11,rw
army,0x45c,4,11,rw
army,0x460,4,2,rw
army,0x464,4,6,rw
army,0x468,4,6,rw
army,0x46c,4,9,rw
army,0x470,4,9,rw
army,0x474,4,1,w
army,0x478,4,9,rw
army,0x47c,4,3,rw
army,0x480,4,3,rw
army,0x484,4,3,rw
army,0x488,4,3,rw
army,0x48c,4,6,rw
army,0x490,4,9,rw
army,0x494,4,3,rw
army,0x498,4,2,w
army,0x49c,4,4,rw
army,0x4a0,4,3,rw
army,0x4a4,4,3,rw
army,0x4a8,4,2,w
army,0x4ac,4,2,w
army,0x4b0,4,2,w
army,0x4b4,4,2,w
army,0x4b8,4,6,rw
army,0x4bc,4,6,rw
army,0x4c0,1,3,rw
army,0x4c1,1,3,rw
army,0x4c4,4,10,rw
army,0x4c8,4,2,w
army,0x4cc,4,9,rw
army,0x4d0,4,9,rw
army,0x4d4,4,9,rw
army,0x4d8,1,1,w
army,0x4dc,4,2,rw
army,0x4e0,4,4,rw
army,0x4e4,4,3,rw
army,0x4e8,4,2,w
army,0x4ec,4,6,rw
army,0x4f0,1,3,rw
army,0x4f1,1,5,rw
army,0x4f4,1,2,w
army,0x4f8,4,7,rw
army,0x4fc,4,7,rw
army,0x500,4,3,w
army,0x504,1,2,w
army,0x508,4,13,rw
army,0x50c,4,13,rw
army,0x510,4,3,w
army,0x514,1,2,w
army,0x518,4,8,rw
army,0x51c,4,8,rw
army,0x520,4,3,w
army,0x524,1,2,w
army,0x528,4,15,rw
army,0x52c,4,15,rw
army,0x530,4,3,w
army,0x534,4,3,rw
army,0x538,4,1,w
army,0x53c,4,1,w
army,0x540,4,2,rw
army,0x544,4,1,w
armyGroup,0x0,4,16,rw
armyGroup,0x1c,4,6,rw
baseManager,0x0,4,1,w
baseManager,0x4,4,1,w
baseManager,0x8,4,1,w
baseManager,0xc,4,1,w
baseManager,0x10,4,1,w
baseManager,0x14,1,1,w
baseManager,0x34,4,1,w
bitmapBackedTextWidget,0x0,4,2,w
bitmapBackedTextWidget,0x4,4,1,r
bitmapBackedTextWidget,0x16,1,1,r
bitmapBackedTextWidget,0x18,2,1,r
bitmapBackedTextWidget,0x1a,2,1,r
bitmapBackedTextWidget,0x1c,2,1,r
bitmapBackedTextWidget,0x1e,2,1,r
bitmapBackedTextWidget,0x20,4,1,r
bitmapBackedTextWidget,0x24,4,1,r
bitmapBackedTextWidget,0x28,1,1,r
bitmapBackedTextWidget,0x30,1,1,w
bitmapBackedTextWidget,0x34,4,3,rw
bitmapBackedTextWidget,0x38,4,2,w
bitmapBackedTextWidget,0x3c,4,2,rw
bitmapBackedTextWidget,0x40,4,3,rw
bitmapBackedTextWidget,0x44,4,2,rw
bitmapBackedTextWidget,0x48,4,2,rw
bitmapBackedTextWidget,0x4c,4,2,rw
bitmapBackedTextWidget,0x50,4,2,rw
bitmapBorder,0x0,4,4,rw
bitmapBorder,0x4,4,4,rw
bitmapBorder,0x8,4,1,w
bitmapBorder,0xc,4,1,w
bitmapBorder,0x10,2,2,rw
bitmapBorder,0x12,2,1,w
bitmapBorder,0x14,2,1,w
bitmapBorder,0x16,2,2,rw
bitmapBorder,0x18,2,4,rw
bitmapBorder,0x1a,2,4,rw
bitmapBorder,0x1c,2,4,rw
bitmapBorder,0x1e,2,4,rw
bitmapBorder,0x20,4,1,r
bitmapBorder,0x24,4,1,r
bitmapBorder,0x28,1,1,r
bitmapBorder,0x2c,4,1,r
bitmapBorder,0x30,4,8,rw
bitmapBorder16,0x0,4,3,rw
bitmapBorder16,0x4,4,3,rw
bitmapBorder16,0x8,4,1,w
bitmapBorder16,0xc,4,1,w
bitmapBorder16,0x10,2,2,rw
bitmapBorder16,0x12,2,1,w
bitmapBorder16,0x14,2,1,w
bitmapBorder16,0x16,2,2,rw
bitmapBorder16,0x18,2,4,rw
bitmapBorder16,0x1a,2,4,rw
bitmapBorder16,0x1c,2,4,rw
bitmapBorder16,0x1e,2,4,rw
bitmapBorder16,0x20,4,1,r
bitmapBorder16,0x24,4,1,r
bitmapBorder16,0x28,1,1,r
bitmapBorder16,0x2c,4,1,r
bitmapBorder16,0x30,4,5,rw
boat,0x1b,1,1,r
border,0x0,4,4,rw
border,0x4,4,2,rw
border,0x8,4,1,w
border,0xc,4,1,w
border,0x10,2,2,rw
border,0x12,2,1,w
border,0x14,2,1,w
border,0x16,2,3,rw!union
border,0x17,1,1,rw
border,0x18,2,2,rw
border,0x1a,2,2,rw
border,0x1c,2,2,rw
border,0x1e,2,2,rw
border,0x20,4,2,w
border,0x24,4,2,w
border,0x28,1,2,w
border,0x2c,4,3,rw
button,0x0,4,4,rw
button,0x4,4,5,rw
button,0x8,4,2,rw
button,0xc,4,2,rw
button,0x10,2,3,rw
button,0x12,2,1,w
button,0x14,2,2,rw
button,0x16,2,4,rw
button,0x17,1,0,rw
button,0x18,2,4,rw
button,0x1a,2,4,rw
button,0x1c,2,3,rw
button,0x1e,2,3,rw
button,0x20,4,2,rw
button,0x24,4,2,rw
button,0x28,1,2,rw
button,0x2c,4,2,rw
button,0x30,4,6,rw
button,0x34,4,2,rw
button,0x38,4,2,rw
button,0x3c,4,2,rw
button,0x40,4,2,rw
button,0x44,1,2,rw
button,0x48,1,1,w
button,0x4c,4,3,rw
button,0x50,4,3,rw
button,0x54,4,2,rw
button,0x58,1,1,w
button,0x5c,4,3,rw
button,0x60,4,3,w
button,0x64,4,2,w
coloredBorderFrame,0x0,4,2,rw
coloredBorderFrame,0x4,4,3,rw
coloredBorderFrame,0x8,4,1,w
coloredBorderFrame,0xc,4,1,w
coloredBorderFrame,0x10,2,2,rw
coloredBorderFrame,0x12,2,1,w
coloredBorderFrame,0x14,2,1,w
coloredBorderFrame,0x16,2,2,rw
coloredBorderFrame,0x18,2,3,rw
coloredBorderFrame,0x1a,2,3,rw
coloredBorderFrame,0x1c,2,3,rw
coloredBorderFrame,0x1e,2,3,rw
coloredBorderFrame,0x2c,4,1,r
coloredBorderFrame,0x30,4,3,rw!union
coloredBorderFrame,0x34,1,3,rw
combatManager,0x0,4,1,w
combatManager,0xc,4,1,w
combatManager,0x10,4,1,w
combatManager,0x14,1,1,w
combatManager,0x34,4,2,w
combatManager,0x38,4,3,rw
combatManager,0x3c,4,5,rw
combatManager,0x40,4,2,w
combatManager,0x44,4,2,w
combatManager,0x48,4,1,w
combatManager,0x4c,2,3,rw!union
combatManager,0x4e,1,3,w
combatManager,0x107,2,3,rw!union
combatManager,0x109,1,3,rw
combatManager,0x1c8,2,2,r
combatManager,0x1ca,2,2,r
combatManager,0x1cc,2,2,r
combatManager,0x1d0,2,2,r
combatManager,0x1d4,1,2,r
combatManager,0x238,1,0,r
combatManager,0x23a,2,9,r
combatManager,0x244,1,9,r
combatManager,0x248,4,9,r
exception,0x0,4,4,w
exception,0x4,4,4,rw
exception,0x8,4,4,rw
exe_filebuf,0x0,4,1,r
exe_filebuf,0x8,4,1,w
exe_filebuf,0xc,4,2,rw
exe_filebuf,0x10,4,1,w
exe_filebuf,0x1c,4,4,rw
exe_filebuf,0x20,4,2,rw
exe_filebuf,0x2c,4,4,rw
exe_filebuf,0x30,4,2,rw
exe_filebuf,0x38,4,5,rw
exe_filebuf,0x3c,4,3,rw
exe_filebuf,0x40,4,5,rw
exe_filebuf,0x44,4,5,rw
exe_filebuf,0x48,1,1,rw
exe_filebuf,0x4c,4,2,rw
exe_filebuf,0x50,4,8,rw
exe_strstreambuf,0x0,4,2,w
exe_strstreambuf,0x8,4,2,w
exe_strstreambuf,0xc,4,2,rw
exe_strstreambuf,0x10,4,2,rw
exe_strstreambuf,0x1c,4,2,rw
exe_strstreambuf,0x20,4,2,rw
exe_strstreambuf,0x2c,4,2,rw
exe_strstreambuf,0x30,4,2,rw
exe_strstreambuf,0x34,4,2,w
exe_strstreambuf,0x38,4,2,w
exe_strstreambuf,0x3c,4,2,w
exe_strstreambuf,0x40,4,2,w
exe_strstreambuf,0x44,4,2,w
exe_strstreambuf,0x48,4,2,w
exe_strstreambuf,0x4c,4,2,w
executive,0x0,4,6,rw
executive,0x4,4,6,rw
executive,0x8,4,3,rw
executive,0xc,4,3,w
font,0x0,4,2,w
font,0x4,1,1,w
font,0x10,1,1,w
font,0x14,4,1,w
font,0x18,4,1,w
font,0x1c,4,1,w
font,0x21,1,2,r
font,0x1bc,4,2,r
font,0x1c0,4,2,r
font,0x1c4,4,2,r
game,0x90,1,1,w
game,0x94,1,1,w
game,0x98,4,1,w
game,0x9c,4,1,w
game,0xa0,4,1,w
generator,0x0,4,3,rw!union
generator,0x1,1,1,rw
generator,0x4,4,5,rw!union
generator,0x14,2,3,w
generator,0x54,1,1,w
generator,0x55,1,1,w
generator,0x56,1,1,w
generator,0x57,1,3,rw
generator,0x58,1,2,w
hero,0x0,4,12,rw!union
hero,0x2,2,11,rw
hero,0x4,4,12,rw!union
hero,0x6,1,3,rw
hero,0x7,4,2,rw
hero,0x8,4,1,r
hero,0xc,4,3,rw
hero,0x10,1,3,rw
hero,0x14,4,3,rw
hero,0x18,2,7,rw
hero,0x1a,4,30,rw!union
hero,0x1e,4,1,w
hero,0x22,2,18,rw!union
hero,0x23,1,2,w
hero,0x30,4,4,rw!union
hero,0x34,1,5,rw
hero,0x35,4,4,rw
hero,0x39,4,4,rw
hero,0x3d,2,3,rw
hero,0x3f,2,3,rw
hero,0x41,2,3,rw
hero,0x43,1,1,w
hero,0x44,1,4,rw
hero,0x45,1,4,rw
hero,0x46,1,4,rw
hero,0x47,1,6,rw
hero,0x48,1,3,rw
hero,0x49,4,4,rw
hero,0x4d,4,6,rw
hero,0x51,4,4,rw
hero,0x55,2,22,rw
hero,0x57,4,3,rw
hero,0x5b,4,3,rw
hero,0x5f,4,3,rw
hero,0x63,4,3,rw
hero,0x67,4,3,rw
hero,0x6b,4,3,rw
hero,0x6f,4,3,rw
hero,0x73,4,5,rw
hero,0x77,4,3,rw
hero,0x7b,4,3,rw
hero,0x7f,4,3,rw
hero,0x83,4,3,rw
hero,0x87,4,3,rw
hero,0x8b,4,3,rw
hero,0x8f,1,3,rw
hero,0x90,1,3,rw
hero,0x91,4,6,rw
hero,0xad,4,1,r
hero,0xc9,1,2,rw
hero,0xca,1,1,r
hero,0xcc,1,1,r
hero,0xcd,1,1,r
hero,0xce,1,3,r
hero,0xcf,1,2,r
hero,0xd1,1,1,r
hero,0xd2,1,2,r
hero,0xd4,1,1,r
hero,0xd5,1,2,r
hero,0xd6,1,1,r
hero,0xd7,1,5,r
hero,0xd8,1,5,r
hero,0xd9,1,5,r
hero,0xda,1,5,r
hero,0xde,1,1,r
hero,0xdf,1,1,r
hero,0xe0,1,1,r
hero,0xe1,1,1,r
hero,0xe3,1,1,r
hero,0xe4,1,1,r
hero,0xe5,1,3,rw
hero,0x101,4,6,rw
hero,0x105,4,13,rw
hero,0x109,4,1,w
hero,0x10d,1,3,rw
hero,0x10e,4,3,rw!union
hero,0x112,4,5,rw!union
hero,0x116,4,4,rw!union
hero,0x11a,1,4,rw
hero,0x11b,1,4,rw
hero,0x11c,1,4,rw
hero,0x11d,4,1,w
hero,0x121,4,2,w
hero,0x125,4,3,w
hero,0x129,4,5,rw!union
hero,0x12d,4,31,rw
hero,0x131,4,2,w
hero,0x1b5,4,24,r
hero,0x1bd,4,1,w
hero,0x1c1,4,1,w
hero,0x1c5,4,5,rw!union
hero,0x1c9,4,1,w
hero,0x1cd,4,1,w
hero,0x1d1,2,1,w
hero,0x1d3,1,1,w
hero,0x1d4,4,7,rw
hero,0x1d8,4,2,w
hero,0x3cc,4,5,r
hero,0x3d4,1,10,rw
hero,0x3d5,4,3,rw!union
hero,0x3d9,1,3,rw
hero,0x3da,1,1,w
hero,0x3de,4,3,rw
hero,0x3e2,4,3,rw
hero,0x3e6,4,2,rw
hero,0x3ea,1,1,w
hero,0x430,1,2,rw
hero,0x476,1,8,rw
hero,0x477,1,2,r
hero,0x478,1,1,r
hero,0x47a,4,1,w
hero,0x47e,4,1,w
hero,0x482,4,1,w
hero,0x486,4,1,w
hero,0x48a,4,1,w
hero,0x48e,4,1,w
heroWindow,0x0,4,5,rw
heroWindow,0x4,4,2,w
heroWindow,0x8,4,1,w
heroWindow,0xc,4,1,w
heroWindow,0x10,4,5,rw!union
heroWindow,0x14,4,3,rw!union
heroWindow,0x18,4,9,rw
heroWindow,0x1c,4,9,rw
heroWindow,0x20,4,5,rw
heroWindow,0x24,4,5,rw
heroWindow,0x28,4,5,rw
heroWindow,0x2c,4,10,rw
heroWindow,0x30,1,1,w
heroWindow,0x34,4,5,rw
heroWindow,0x38,4,5,rw
heroWindow,0x3c,4,2,w
heroWindow,0x40,4,6,rw
heroWindow,0x44,4,7,rw
heroWindow,0x48,4,2,rw
heroWindowManager,0x0,4,1,r
heroWindowManager,0x38,4,2,w
heroWindowManager,0x3c,4,2,w
heroWindowManager,0x48,1,2,rw
heroWindowManager,0x50,4,1,rw
heroWindowManager,0x54,4,4,rw
heroWindowManager,0x58,4,1,w
heroWindowManager,0x5c,4,1,rw
hexcell,0x10,4,1,w
hexcell,0x14,4,1,w
hexcell,0x18,1,2,rw
hexcell,0x19,1,2,rw
hexcell,0x1a,1,1,w
hexcell,0x1c,4,1,w
hexcell,0x4c,1,1,w
hexcell,0x4d,1,1,w
iconWidget,0x0,4,2,rw
iconWidget,0x4,4,2,r
iconWidget,0x10,2,1,r
iconWidget,0x14,2,1,r
iconWidget,0x16,1,1,rw
iconWidget,0x17,1,1,rw
iconWidget,0x18,2,2,rw
iconWidget,0x1a,2,2,rw
iconWidget,0x1c,2,2,rw
iconWidget,0x1e,2,2,r
iconWidget,0x20,4,1,r
iconWidget,0x24,4,1,r
iconWidget,0x28,1,1,r
iconWidget,0x2c,4,1,r
iconWidget,0x30,4,7,rw
iconWidget,0x34,4,5,rw
iconWidget,0x38,4,5,rw
iconWidget,0x3c,1,1,r
iconWidget,0x40,4,1,r
iconWidget,0x44,2,1,w
inputManager,0x0,4,1,w
inputManager,0xc,4,1,w
inputManager,0x10,4,1,w
inputManager,0x14,1,1,w
inputManager,0x34,4,5,rw
inputManager,0x38,4,2,w
inputManager,0x3c,4,1,w
inputManager,0x40,4,1,w
inputManager,0x44,4,1,w
inputManager,0x48,4,1,w
inputManager,0x4c,4,1,w
inputManager,0x50,4,1,w
inputManager,0x54,4,1,w
inputManager,0x838,4,6,rw
inputManager,0x83c,4,6,rw
inputManager,0x840,4,2,rw
inputManager,0x844,4,1,w
inputManager,0x848,2,2,w
inputManager,0x84a,2,2,w
inputManager,0x84c,2,2,w
