# GENERATED by `homm3 build` / `homm3 status update`. DO NOT HAND-EDIT.
# cur_fuzzy = current build; max_fuzzy = high-water checkpoint; hist_fuzzy =
# all-time high recovered across older accepted dips. Scores are observational:
# evidence/source gates, not a local percentage maximum, decide build validity.
# Retail RVA carries history across source-label promotion and same-body renames.
# src_hash fingerprints only the function's own source definition.  It lets
# `status check` distinguish an edit to that function from collateral codegen
# movement caused by another function, a header, or the delink generation.
# unit<TAB>fn<TAB>cur_fuzzy<TAB>max_fuzzy<TAB>hist_fuzzy<TAB>rva<TAB>src_hash
advmgr	??0type_point@@QAE@FFF@Z	100.0000	100.0000	100.0000	0x192b0	fe2581b3af47
advmgr	??1CAdvMgrNetMsgHandler@@UAE@XZ	100.0000	100.0000	100.0000	0x17d160	-
advmgr	??1CAdvPopup@@UAE@XZ	100.0000	100.0000	100.0000	0x1b120	37b468aec563
advmgr	??1CHeroWindowEx@@UAE@XZ	100.0000	100.0000	100.0000	0x1b110	-
advmgr	??1type_cell_adjuster@@QAE@XZ	100.0000	100.0000	100.0000	0xaf60	3397bd58fe51
advmgr	??4hero@@QAEAAV0@ABV0@@Z	100.0000	100.0000	100.0000	0x6480	-
advmgr	??_GCAdvMgrNetMsgHandler@@UAEPAXI@Z	100.0000	100.0000	100.0000	0x77b0	-
advmgr	??_GCAdvPopup@@UAEPAXI@Z	100.0000	100.0000	100.0000	0x1b0e0	-
advmgr	?AdvmgrFn_0040D670@@YIXPADPAVNewmapCell@@JPBDE@Z	97.3418	97.3418	97.3418	0xd670	9b6d27afe694
advmgr	?BVMessage@advManager@@QAEXPBD@Z	92.6829	92.6829	92.6829	0x16210	e1f9b9638a2c
advmgr	?BVResMsg@advManager@@QAEXPBDHH@Z	93.3333	93.3333	93.3333	0x16060	97cd46214a72
advmgr	?CheckDimNextHeroBut@advManager@@QAEXXZ	100.0000	100.0000	100.0000	0x19450	409e8b9f8302
advmgr	?CheckScreenScroll@advManager@@QAEXXZ	100.0000	100.0000	100.0000	0x19820	cff5885bae00
advmgr	?Close@advManager@@UAEXXZ	86.3656	86.3656	86.3656	0x77e0	f91a341c1a83
advmgr	?CompleteDraw@advManager@@QAEXE@Z	100.0000	100.0000	100.0000	0xf870	feb75d8baf7d
advmgr	?CompleteDraw@advManager@@QAEXHHHEE@Z	100.0000	100.0000	100.0000	0xf3f0	df3311ecb002
advmgr	?ComputeAdvNetControl@@YIXXZ	100.0000	100.0000	100.0000	0x1a660	86c2040053ef
advmgr	?DeactivateCurrHero@advManager@@QAEXE@Z	100.0000	100.0000	100.0000	0x175a0	48342cb41839
advmgr	?DeactivateCurrTown@advManager@@QAEXE@Z	100.0000	100.0000	100.0000	0x17570	65cf91ab93a3
advmgr	?DemobilizeCurrHero@advManager@@QAEXEE@Z	100.0000	100.0000	100.0000	0x17680	0e81b70808b2
