unit	va	dc	ours	dc_lines	ratio	score
hillfortwindow	0x4e7e90	0xd6bb0	3	4	0.750	100.0
hiscore	0x4e9070	0xd7acc	2	3	0.667	100.0
hiscore	0x4e9090	0xd7b08	1	2	0.500	100.0
hiscore	0x4e9740	0xd914c	2	3	0.667	100.0
hiscore	0x4e9790	0xd9190	7	6	1.167	100.0
hiscore	0x4e97f0	0xd9204	2	1	2.000	100.0
hiscore	0x4e9dc0	0xd8424	5	5	1.000	100.0
iconwdgt	0x4ea7b0	0xd9464	2	4	0.500	100.0
iconwdgt	0x4ea810	0xd94a4	58	56	1.036	95.2708
iconwdgt	0x4eab10	0xd96b8	2	2	1.000	100.0
iconwdgt	0x4eab20	0xd96bc	2	2	1.000	100.0
iconwdgt	0x4eab30	0xd96d0	2	2	1.000	100.0
iconwdgt	0x4eaff0	0xd9c7c	2	3	0.667	100.0
iconwdgt	0x4eb030	0xd9d64	3	5	0.600	100.0
iconwdgt	0x4eb060	0xd9d90	41	33	1.242	72.0056
iconwdgt	0x4eb250	0xd9ee8	23	16	1.438	86.4111
initialize	0x4eb730	0xdc614	3	5	0.600	100.0
inputmgr	0x4ec0e0	0xdc894	30	45	0.667	100.0
inputmgr	0x4ec290	0xdcaa0	49	33	1.485	100.0
inputmgr	0x4ec460	0xdd97c	9	10	0.900	100.0
inputmgr	0x4ec4d0	0xdd9e4	11	9	1.222	100.0
inputmgr	0x4ec540	0xdda30	6	7	0.857	100.0
inputmgr	0x4ec560	0xdda50	2	2	1.000	100.0
inputmgr	0x4ec570	0xdda54	4	4	1.000	100.0
inputmgr	0x4ec6f0	0xddd60	25	12	2.083	100.0
inputmgr	0x4ec8c0	0xdde74	91	92	0.989	100.0
inputmgr	0x4ecc00	0xde044	18	12	1.500	100.0
kbwin	0x4f7a30	0xe7c90	46	13	3.538	100.0
kbwin	0x4f7fa0	0xe7fb8	3	4	0.750	100.0
kbwin	0x4f7fb0	0xe7fd0	16	8	2.000	100.0
kbwin	0x4f8060	0xe8014	15	2	7.500	100.0
kbwin	0x4f8140	0xe8018	9	2	4.500	100.0
kbwin	0x4f8180	0xe801c	11	2	5.500	100.0
kbwin	0x4f81e0	0xe8020	6	7	0.857	100.0
kbwin	0x4f82e0	0xe8058	2	2	1.000	100.0
kbwin	0x4f82f0	0xe806c	4	5	0.800	100.0
kbwin	0x4f83c0	0xe8098	2	3	0.667	100.0
levelupwindow	0x4f8880	0xe8344	71	49	1.449	98.8241
levelupwindow	0x4f9730	0xe8c2c	2	3	0.667	100.0
levelupwindow	0x4f9780	0xe8c64	87	60	1.450	77.7273
lodfile	0x4fa610	0xe9154	5	5	1.000	100.0
mainmenu	0x4fb2a0	0xea2ec	20	20	1.000	100.0
mainmenu	0x4fb6e0	0xea5ec	3	4	0.750	100.0
mapcell	0x4fbf90	0xeb6a4	5	8	0.625	100.0
mapcell	0x4fc000	0xeb73c	1	12	0.083	0.0
mapcell	0x4fc1a0	0xeb7d0	1	25	0.040	0.0
mapcell	0x4fc390	0xeb9a0	6	12	0.500	100.0
mapcell	0x4fc440	0xeba38	9	21	0.429	100.0
mapcell	0x4fc500	0xebb0c	1	12	0.083	0.0
mapcell	0x4fc6a0	0xebbbc	13	21	0.619	100.0
mapcell	0x4fc770	0xebd24	10	12	0.833	100.0
mapcell	0x4fc870	0xebe3c	1	12	0.083	0.0
mapcell	0x4fcaa0	0xebf98	1	13	0.077	0.0
mapcell	0x4fcbd0	0xec098	10	9	1.111	93.4848
mapcell	0x4fcc30	0xec114	4	9	0.444	100.0
mapcell	0x4fcc80	0xec1c8	8	9	0.889	100.0
mapcell	0x4fccf0	0xec254	17	15	1.133	96.1585
mapcell	0x4fcdc0	0xec324	5	8	0.625	100.0
mapcell	0x4fce20	0xec3b4	12	15	0.800	79.0935
mapcell	0x4fd060	0xec4fc	1	2	0.500	0.0
mapcell	0x4fd1e0	0xec6a4	1	3	0.333	0.0
mapcell	0x4fd4c0	0xf4bdc	1	1	1.000	100.0
mapcell	0x4fd4f0	0xec80c	15	11	1.364	100.0
mapcell	0x4fd650	0xf49a4	14	13	1.077	100.0
mapcell	0x4fd690	0xec8f4	1	41	0.024	0.0
mapcell	0x4fdbc0	0xecb94	1	55	0.018	0.0
mapcell	0x4fdf40	0xecdf8	1	31	0.032	0.0
mapcell	0x4fe220	0xecf98	1	55	0.018	0.0
mapcell	0x4fe490	0xed384	1	62	0.016	0.0
mapcell	0x4fe920	0xed688	1	62	0.016	0.0
mapcell	0x4fec10	0xeda1c	2	3	0.667	100.0
mapcell	0x4fec30	0xedab8	12	17	0.706	100.0
mapcell	0x4fed40	0xedbf8	19	18	1.056	100.0
mapcell	0x4fee50	0xede58	20	22	0.909	100.0
mapcell	0x4fef10	0xee020	6	10	0.600	100.0
mapcell	0x4fef60	0xee090	12	12	1.000	100.0
mapcell	0x4ff120	0xee1a4	1	19	0.053	0.0
mapcell	0x4ff2f0	0xee2e0	1	25	0.040	0.0
mapcell	0x4ff4d0	0xee410	1	25	0.040	0.0
mapcell	0x4ff6b0	0xee56c	1	102	0.010	0.0
mapcell	0x4ffbf0	0xeea60	1	11	0.091	0.0
mapcell	0x4ffdf0	0xf4bfc	1	1	1.000	100.0
mapcell	0x4ffea0	0xeebdc	1	87	0.011	0.0
mapcell	0x500200	0xef0a0	1	12	0.083	0.0
mapcell	0x500430	0xef158	1	90	0.011	0.0
mapcell	0x5008b0	0xef5dc	1	26	0.038	0.0
mapcell	0x500b30	0xefbb8	1	39	0.026	0.0
mapcell	0x501020	0xeffec	19	21	0.905	100.0
mapcell	0x501130	0xf013c	30	31	0.968	100.0
mapcell	0x501270	0xf02a4	8	12	0.667	100.0
mapcell	0x5013b0	0xf0390	1	56	0.018	0.0
mapcell	0x501790	0xf0788	1	12	0.083	0.0
mapcell	0x501980	0xf0824	7	14	0.500	100.0
mapcell	0x5019f0	0xf094c	1	77	0.013	0.0
mapcell	0x5021c0	0xf0df4	1	135	0.007	0.0
mapcell	0x502a00	0xf151c	1	30	0.033	0.0
mapcell	0x502e00	0xf16c8	1	64	0.016	0.0
mapcell	0x503640	0xf1b1c	10	19	0.526	100.0
mapcell	0x5036d0	0xf1bf8	12	19	0.632	100.0
mapcell	0x503780	0xf1cd8	1	77	0.013	0.0
mapcell	0x503c40	0xf22cc	1	57	0.018	0.0
mapcell	0x503f00	0xf2784	1	48	0.021	0.0
mapcell	0x504470	0xf2c20	1	46	0.022	0.0
mapcell	0x504a40	0xf3018	11	21	0.524	100.0
mapcell	0x504b70	0xf318c	1	33	0.030	0.0
mapcell	0x505060	0xf33fc	1	16	0.062	0.0
mapcell	0x505230	0xf36b0	1	57	0.018	0.0
mapcell	0x505610	0xf3a24	1	72	0.014	0.0
mapcell	0x505a10	0xf42f0	18	22	0.818	93.6598
mapcell	0x505b20	0xf43e8	1	30	0.033	0.0
misc	0x50b1d0	0xfd81c	8	7	1.143	100.0
misc	0x50b230	0xfd868	4	5	0.800	100.0
misc	0x50b260	0xfd958	31	56	0.554	98.503
misc	0x50b4d0	0xfda8c	23	22	1.045	100.0
misc	0x50b700	0xfdb98	12	12	1.000	100.0
misc	0x50b750	0xfdbd0	7	8	0.875	100.0
misc	0x50be10	0xfdc4c	40	42	0.952	100.0
misc	0x50c1b0	0xfe050	2	3	0.667	100.0
misc	0x50c1c0	0xfe064	2	2	1.000	100.0
misc	0x50c5a0	0xfe068	8	9	0.889	100.0
misc	0x50c5f0	0xfe0b8	3	4	0.750	100.0
misc	0x50c6e0	0xfe150	1	2	0.500	100.0
misc	0x50c740	0xfe190	16	11	1.455	100.0
misc	0x50c7a0	0xfe248	7	2	3.500	100.0
monframeinfo	0x50c810	0xfe598	69	60	1.150	100.0
mousemgr	0x50cb50	0xfe9d4	10	10	1.000	100.0
mousemgr	0x50cbf0	0xfea80	9	7	1.286	100.0
mousemgr	0x50cc40	0xfeab4	9	10	0.900	100.0
mousemgr	0x50cc80	0xfeafc	9	9	1.000	100.0
mousemgr	0x50cca0	0xfeb1c	15	20	0.750	82.9333
mousemgr	0x50cd80	0xff800	1	3	0.333	100.0
mousemgr	0x50cd90	0xfec54	109	96	1.135	94.1675
mousemgr	0x50d500	0xff22c	7	7	1.000	100.0
mousemgr	0x50d540	0xff3a8	3	5	0.600	100.0
mousemgr	0x50d5b0	0xff3e0	15	10	1.500	100.0
mousemgr	0x50d680	0xff484	37	22	1.682	100.0
mousemgr	0x50d890	0xff7e0	1	2	0.500	100.0
mousemgr	0x50d8b0	0xff610	17	15	1.133	99.3103
mousemgr	0x50da20	0xff708	7	8	0.875	100.0
multiplayerwindow	0x5123d0	0x102c28	2	3	0.667	100.0
multiplayerwindow	0x512420	0x102c6c	10	9	1.111	100.0
multiplayerwindow	0x512470	0x102d88	5	6	0.833	100.0
multiplayerwindow	0x512530	0x102e1c	2	2	1.000	100.0
newgame	0x5132b0	0x103494	5	5	1.000	100.0
newgame	0x5132d0	0x1034b4	11	10	1.100	100.0
palette	0x522940	0x10a8e0	1	2	0.500	100.0
palette	0x522e80	0x10b904	2	3	0.667	100.0
palette	0x522eb0	0x10b94c	6	7	0.857	100.0
palette	0x522f00	0x10ba3c	2	3	0.667	100.0
path	0x5239d0	0x10c918	12	7	1.714	100.0
path	0x523a70	0x10c9a4	19	5	3.800	100.0
path	0x523b20	0x10c9ec	10	9	1.111	100.0
path	0x523bb0	0x10ca6c	36	30	1.200	81.0407
path	0x523d90	0x10cbf8	7	7	1.000	100.0
path	0x523df0	0x10cc80	7	8	0.875	100.0
path	0x523e80	0x10ccdc	7	7	1.000	100.0
path	0x523ec0	0x10cd28	3	5	0.600	100.0
puzzlewindow	0x52c1e0	0x114f40	24	27	0.889	100.0
puzzlewindow	0x52c5a0	0x115268	7	10	0.700	100.0
puzzlewindow	0x52c640	0x115328	16	17	0.941	100.0
puzzlewindow	0x52c6c0	0x1153a8	16	9	1.778	100.0
puzzlewindow	0x52c770	0x115538	16	15	1.067	98.8426
puzzlewindow	0x52c8b0	0x11577c	24	25	0.960	100.0
puzzlewindow	0x52c9b0	0x115f64	1	29	0.034	0.0
questlogwindow	0x52e410	0x116ca4	4	4	1.000	100.0
quickherowindow	0x52ead0	0x1170bc	59	59	1.000	90.5272
quickherowindow	0x52f3d0	0x1177b4	3	3	1.000	100.0
quickinfowindow	0x52f8c0	0x11787c	25	25	1.000	100.0
quickinfowindow	0x52fd20	0x117b5c	1	2	0.500	100.0
quicktownwindow	0x530120	0x117e48	44	53	0.830	98.8368
quicktownwindow	0x5307d0	0x1183b8	6	8	0.750	100.0
quicktownwindow	0x530920	0x1184c4	3	3	1.000	100.0
quicktownwindow	0x530990	0x118564	23	22	1.045	100.0
quicktownwindow	0x530ca0	0x118794	3	4	0.750	100.0
recruit	0x54e750	0x118adc	6	6	1.000	100.0
recruit	0x54e7c0	0x118b38	2	4	0.500	100.0
recruit	0x54fb20	0x1197bc	3	4	0.750	100.0
recruit	0x550360	0x119d98	7	7	1.000	100.0
recruit	0x5503a0	0x119dcc	103	105	0.981	90.8376
recruit	0x551350	0x11ad04	20	19	1.053	97.975
recruit	0x551460	0x11adb4	20	19	1.053	96.6709
recruit	0x5516e0	0x11af98	3	3	1.000	100.0
remote	0x553d00	0x11c6bc	12	10	1.200	100.0
remote	0x553db0	0x11c754	4	4	1.000	100.0
remote	0x553df0	0x11c7b0	21	19	1.105	96.6265
remote	0x553ee0	0x11c8d0	1	29	0.034	0.0
remote	0x554050	0x11c9fc	2	3	0.667	100.0
remote	0x554060	0x11ca14	7	7	1.000	100.0
remote	0x5540b0	0x11ca70	4	5	0.800	100.0
remote	0x5540d0	0x11cabc	6	9	0.667	100.0
remote	0x554170	0x11cb24	5	7	0.714	100.0
remote	0x557a80	0x11f070	4	4	1.000	100.0
remote	0x557aa0	0x11f090	5	6	0.833	100.0
remote	0x557af0	0x11f108	1	35	0.029	0.0
remote	0x557d00	0x11f2fc	6	6	1.000	100.0
remote	0x557d60	0x11f39c	2	4	0.500	100.0
remote	0x557d70	0x11f3a8	3	3	1.000	100.0
remote	0x557d90	0x11f3b0	6	10	0.600	100.0
remote	0x557dd0	0x11f3fc	2	4	0.500	100.0
remote	0x557df0	0x11f41c	7	5	1.400	100.0
resource	0x558720	0x120934	10	11	0.909	100.0
resource	0x5587a0	0x12099c	1	2	0.500	100.0
resourcedisplay	0x558ba0	0x120c54	31	31	1.000	99.3919
resourcedisplay	0x558e80	0x120ee8	8	13	0.615	100.0
resourcedisplay	0x558f20	0x120fa0	11	15	0.733	100.0
resourcedisplay	0x559020	0x1210b4	7	9	0.778	100.0
resourcemanager	0x5594b0	0x122984	3	4	0.750	86.6296
resourcemanager	0x55c0a0	0x122164	10	16	0.625	93.6111
sample	0x566da0	0x129b3c	8	6	1.333	100.0
sample	0x566e60	0x129b4c	5	2	2.500	100.0
scenarioinfo	0x569800	0x12aa70	9	10	0.900	100.0
scenarioinfo	0x5698a0	0x12ab00	3	4	0.750	100.0
scenarioinfo	0x5698c0	0x12ab20	22	16	1.375	100.0
search	0x56a0d0	0x12b2e0	26	20	1.300	86.3333
slider	0x596050	0x149a48	15	16	0.938	100.0
slider	0x5960d0	0x149ae8	11	17	0.647	100.0
slider	0x596180	0x149ba4	3	4	0.750	100.0
slider	0x5961e0	0x149bec	7	12	0.583	100.0
slider	0x596230	0x149c90	38	31	1.226	100.0
slider	0x5964e0	0x149f04	81	84	0.964	95.1901
slider	0x596980	0x14a380	32	39	0.821	100.0
slider	0x596af0	0x14a508	31	30	1.033	100.0
slider	0x596c40	0x14a6b0	23	24	0.958	100.0
slider	0x597020	0x14aaa0	10	15	0.667	88.4426
slider	0x5970b0	0x14ab4c	5	8	0.625	100.0
slider	0x5970f0	0x14ab7c	6	9	0.667	100.0
slider	0x597120	0x14aba0	2	2	1.000	100.0
slider	0x597130	0x14aba8	2	2	1.000	100.0
slider	0x597140	0x14abb0	7	8	0.875	100.0
smackmgr	0x5971b0	0x14ac30	3	2	1.500	100.0
smackmgr	0x5971f0	0x14ac34	8	2	4.000	88.9254
smackmgr	0x5972d0	0x14ac38	50	2	25.000	87.1912
smackmgr	0x597570	0x14ac3c	3	2	1.500	100.0
smackmgr	0x5975f0	0x14ac40	25	2	12.500	95.9231
smackmgr	0x5976e0	0x14ac44	8	2	4.000	100.0
smackmgr	0x597740	0x14ac48	5	2	2.500	100.0
smackmgr	0x5977a0	0x14ac4c	11	2	5.500	100.0
smackmgr	0x597850	0x14ac50	12	2	6.000	100.0
smackmgr	0x597900	0x14ac54	5	2	2.500	100.0
smackmgr	0x597930	0x14ac58	4	2	2.000	100.0
smackmgr	0x597990	0x14ac5c	4	2	2.000	100.0
smackmgr	0x5979d0	0x14ac60	59	2	29.500	89.6347
smackmgr	0x597c70	0x14ac64	15	2	7.500	100.0
soundmgr	0x5994b0	0x14b07c	20	18	1.111	100.0
soundmgr	0x5996c0	0x14b170	15	17	0.882	100.0
soundmgr	0x599760	0x14b1ec	10	4	2.500	100.0
soundmgr	0x599a90	0x14b270	24	7	3.429	100.0
soundmgr	0x599d90	0x14b2a8	9	3	3.000	100.0
soundmgr	0x599e80	0x14b2c0	7	4	1.750	100.0
soundmgr	0x599ec0	0x14b2d8	7	9	0.778	100.0
soundmgr	0x599f40	0x14b37c	16	12	1.333	100.0
soundmgr	0x59a0c0	0x14b42c	10	13	0.769	100.0
soundmgr	0x59a1b0	0x14b4d4	4	5	0.800	100.0
soundmgr	0x59a1e0	0x14b500	2	4	0.500	100.0
soundmgr	0x59a210	0x14b528	31	24	1.292	99.784
soundmgr	0x59a3f0	0x14b644	3	3	1.000	100.0
soundmgr	0x59a410	0x14b65c	5	6	0.833	100.0
soundmgr	0x59a470	0x14b698	9	8	1.125	100.0
soundmgr	0x59a4c0	0x14b6ec	8	11	0.727	100.0
soundmgr	0x59a590	0x14b780	17	10	1.700	100.0
soundmgr	0x59ac00	0x14b8e8	13	7	1.857	100.0
soundmgr	0x59acb0	0x14b924	28	10	2.800	100.0
soundmgr	0x59b010	0x14b974	9	3	3.000	100.0
spellbookwindow	0x59c8f0	0x14c864	4	5	0.800	100.0
spellbookwindow	0x59c970	0x14c8d4	2	3	0.667	100.0
spellbookwindow	0x59c990	0x14c8f0	2	3	0.667	100.0
spelldefs	0x59e060	0x14e278	6	3	2.000	100.0
spelldefs	0x59e090	0x14e2c8	23	25	0.920	100.0
spells	0x5a3700	0x152b7c	13	11	1.182	100.0
spells	0x5a9360	0x158090	7	7	1.000	100.0
strip	0x5a9d20	0x158880	12	12	1.000	100.0
strip	0x5a9d80	0x1588e8	3	4	0.750	100.0
strip	0x5a9db0	0x158910	18	24	0.750	100.0
strip	0x5aa060	0x158a80	60	54	1.111	93.3721
strip	0x5aa230	0x158c00	28	21	1.333	100.0
subwindow	0x5aa340	0x158d34	1	2	0.500	100.0
subwindow	0x5aa3c0	0x158dac	1	2	0.500	100.0
subwindow	0x5aa410	0x158e14	2	4	0.500	100.0
subwindow	0x5aa470	0x158e60	6	7	0.857	100.0
subwindow	0x5aa4a0	0x158e7c	6	9	0.667	100.0
subwindow	0x5aa4f0	0x158ed0	6	15	0.400	100.0
subwindow	0x5aa560	0x158f4c	6	5	1.200	100.0
subwindow	0x5aa610	0x158fa4	9	12	0.750	100.0
systemoptionswindow	0x5b1790	0x15f588	106	89	1.191	98.1326
systemoptionswindow	0x5b3040	0x160634	3	3	1.000	100.0
systemoptionswindow	0x5b30b0	0x160700	9	9	1.000	100.0
systemoptionswindow	0x5b3140	0x160770	115	94	1.223	91.9193
text	0x5b90f0	0x160ffc	3	3	1.000	100.0
textntry	0x5baae0	0x162af8	3	6	0.500	100.0
textntry	0x5bab50	0x162b50	5	6	0.833	100.0
textntry	0x5baba0	0x162bbc	20	10	2.000	100.0
textresource	0x5bbba0	0x163858	35	36	0.972	100.0
textresource	0x5bbdd0	0x1639a4	2	4	0.500	100.0
textresource	0x5bbe70	0x163a70	44	36	1.222	100.0
textresource	0x5bc170	0x163c30	5	6	0.833	100.0
textwdgt	0x5bc3b0	0x164d24	2	3	0.667	100.0
textwdgt	0x5bc6d0	0x1653b0	1	1	1.000	100.0
town	0x5bd700	0x165d5c	7	10	0.700	100.0
town	0x5bde80	0x166408	18	20	0.900	100.0
town	0x5bdf60	0x1664b0	16	14	1.143	99.7778
town	0x5bdfe0	0x16654c	7	2	3.500	100.0
town	0x5be030	0x1665a0	25	15	1.667	95.0327
town	0x5be210	0x166688	18	16	1.125	100.0
town	0x5be2d0	0x166720	12	16	0.750	100.0
town	0x5be390	0x16682c	12	7	1.714	100.0
town	0x5be450	0x166864	25	20	1.250	100.0
town	0x5be600	0x166950	39	22	1.773	89.8561
town	0x5be930	0x166c08	1	38	0.026	0.0
town	0x5bec60	0x166ed8	24	9	2.667	96.4595
town	0x5bede0	0x166fc8	1	33	0.030	0.0
town	0x5bf210	0x1671cc	17	10	1.700	100.0
town	0x5bf3c0	0x167274	13	10	1.300	100.0
town	0x5bf4e0	0x167378	2	2	1.000	100.0
town	0x5bf4f0	0x167388	6	9	0.667	100.0
town	0x5bf570	0x1673dc	4	4	1.000	100.0
town	0x5bf600	0x167458	8	14	0.571	100.0
town	0x5bf6d0	0x1674d4	6	8	0.750	100.0
town	0x5bf770	0x167544	7	8	0.875	100.0
town	0x5bf810	0x1675d4	9	39	0.231	81.7262
town	0x5bfb60	0x167748	26	17	1.529	100.0
town	0x5bfdd0	0x167848	8	11	0.727	100.0
town	0x5bfe50	0x167900	7	8	0.875	100.0
town	0x5bfeb0	0x167c3c	1	43	0.023	0.0
town	0x5c0670	0x16842c	1	10	0.100	0.0
town	0x5c0d20	0x168504	11	12	0.917	89.6018
town	0x5c0e60	0x16865c	7	7	1.000	100.0
town	0x5c0f20	0x168714	12	16	0.750	81.2143
town	0x5c1080	0x1688a0	4	4	1.000	100.0
town	0x5c10f0	0x1688f0	2	4	0.500	100.0
town	0x5c1180	0x168910	15	9	1.667	81.4912
town	0x5c1230	0x168970	6	5	1.200	100.0
town	0x5c1280	0x1689dc	2	2	1.000	100.0
town	0x5c12a0	0x1689ec	2	2	1.000	100.0
town	0x5c12e0	0x168a98	15	9	1.667	100.0
town	0x5c13b0	0x168b54	7	4	1.750	100.0
town	0x5c1440	0x168ba0	2	2	1.000	100.0
town	0x5c1450	0x168bb8	2	2	1.000	100.0
town	0x5c1460	0x168bf8	3	3	1.000	100.0
town	0x5c14a0	0x168c20	4	4	1.000	100.0
towngatewindow	0x5c2370	0x169824	3	3	1.000	100.0
townmgr	0x5d7e90	0x17b0e8	3	5	0.600	100.0
u2dvers	0x5eeda0	0x18e3b0	8	2	4.000	100.0
u2dvers	0x5eedf0	0x18e3b4	2	2	1.000	100.0
u2dvers	0x5eee00	0x18e3b8	15	2	7.500	100.0
university_window	0x5f1180	0x18faa4	5	4	1.250	100.0
victorylossconditions	0x5f15a0	0x18fdc4	10	2	5.000	100.0
victorylossconditions	0x5f1610	0x18fdf8	1	12	0.083	0.0
victorylossconditions	0x5f1b10	0x18fe98	1	18	0.056	0.0
victorylossconditions	0x5f1c80	0x18ff84	14	9	1.556	100.0
victorylossconditions	0x5f1d40	0x190038	1	23	0.043	0.0
victorylossconditions	0x5f1ef0	0x190124	1	19	0.053	0.0
victorylossconditions	0x5f2100	0x190244	6	8	0.750	100.0
victorylossconditions	0x5f2160	0x1902c4	6	6	1.000	92.5679
victorylossconditions	0x5f2260	0x190340	4	5	0.800	100.0
victorylossconditions	0x5f22a0	0x19037c	15	11	1.364	100.0
victorylossconditions	0x5f2390	0x19040c	1	8	0.125	0.0
victorylossconditions	0x5f2600	0x190488	15	10	1.500	100.0
victorylossconditions	0x5f2720	0x190538	15	10	1.500	100.0
victorylossconditions	0x5f2860	0x190620	1	11	0.091	0.0
victorylossconditions	0x5f2a40	0x1906d4	1	15	0.067	0.0
victorylossconditions	0x5f2e40	0x19074c	9	8	1.125	99.8429
victorylossconditions	0x5f2f20	0x1907bc	8	7	1.143	100.0
viewarmywindow	0x5f3360	0x190abc	1	45	0.022	0.0
viewarmywindow	0x5f45e0	0x191660	3	3	1.000	100.0
viewarmywindow	0x5f46c0	0x1916d4	29	6	4.833	100.0
viewarmywindow	0x5f47f0	0x1917a4	8	11	0.727	100.0
viewarmywindow	0x5f6870	0x192a28	6	7	0.857	100.0
viewarmywindow	0x5f6ae0	0x192ad8	5	5	1.000	89.8771
viewarmywindow	0x5f6d50	0x192b40	5	5	1.000	89.8771
viewwrld	0x5fbd60	0x195ac4	5	7	0.714	100.0
widget	0x5fe340	0x196b4c	15	17	0.882	100.0
widget	0x5fe410	0x196bd4	5	7	0.714	100.0
widget	0x5fe430	0x196c10	5	9	0.556	100.0
widget	0x5fe480	0x196c6c	12	13	0.923	100.0
widget	0x5fe4d0	0x196cbc	4	3	1.333	100.0
widget	0x5fe4f0	0x196cd0	51	58	0.879	100.0
widget	0x5fe7c0	0x196f88	11	8	1.375	100.0
widget	0x5fe800	0x196fc8	2	3	0.667	100.0
widget	0x5fe840	0x196ffc	19	22	0.864	100.0
widget	0x5fe930	0x1970a8	2	3	0.667	100.0
widget	0x5fe940	0x1970c0	23	6	3.833	100.0
window	0x5fe9f0	0x197138	12	13	0.923	100.0
window	0x5fea80	0x1971d0	2	4	0.500	100.0
window	0x5feae0	0x19721c	20	14	1.429	100.0
window	0x5fec60	0x1972e0	8	10	0.800	100.0
window	0x5fecb0	0x197324	22	27	0.815	100.0
window	0x5fed60	0x1973b4	22	23	0.957	100.0
window	0x5fede0	0x197480	14	25	0.560	100.0
window	0x5fee40	0x197530	11	6	1.833	100.0
window	0x5feed0	0x197570	11	2	5.500	100.0
window	0x5fef60	0x19758c	11	2	5.500	100.0
window	0x5feff0	0x1975a8	6	7	0.857	100.0
window	0x5ff020	0x1975d8	20	20	1.000	100.0
window	0x5ff100	0x19776c	5	7	0.714	100.0
window	0x5ff1c0	0x1977dc	6	9	0.667	100.0
window	0x5ff240	0x19797c	25	30	0.833	92.8767
window	0x5ff3b0	0x197ad0	4	4	1.000	100.0
window	0x5ff3e0	0x197aec	7	7	1.000	100.0
window	0x5ff460	0x197c08	2	3	0.667	100.0
window	0x5ff490	0x197c24	9	12	0.750	100.0
window	0x5ff510	0x197c8c	4	5	0.800	100.0
window	0x5ff570	0x197cd4	4	7	0.571	100.0
window	0x5ff640	0x197d48	2	4	0.500	100.0
window	0x5ff6e0	0x197d9c	20	21	0.952	100.0
window	0x5ff790	0x197e58	10	8	1.250	100.0
window	0x5ff820	0x197eb4	16	12	1.333	100.0
window	0x5ff8d0	0x197f4c	2	2	1.000	100.0
window	0x5ff8e0	0x197f50	4	6	0.667	100.0
winfile	0x5ffb20	0x198434	3	3	1.000	100.0
winfile	0x5ffb40	0x198468	2	4	0.500	100.0
winfile	0x5ffb60	0x19849c	2	2	1.000	100.0
winfile	0x5ffb70	0x1984a8	5	5	1.000	100.0
winfile	0x5ffb90	0x1984f0	5	4	1.250	100.0
winfile	0x5ffbc0	0x198568	13	10	1.300	100.0
winfile	0x5ffc50	0x1985b8	4	5	0.800	100.0
winfile	0x5ffc80	0x1985e4	4	4	1.000	100.0
winfile	0x5ffcb0	0x198610	3	3	1.000	100.0
winfile	0x5ffcd0	0x198630	3	3	1.000	100.0
winfile	0x5ffcf0	0x198650	3	3	1.000	100.0
winfile	0x5ffd20	0x198670	5	5	1.000	100.0
winfile	0x5ffd70	0x1986e4	3	3	1.000	100.0
winfile	0x5ffd90	0x198704	8	4	2.000	100.0
wingraph	0x6014c0	0x19a41c	2	2	1.000	100.0
wingraph	0x6014d0	0x19a424	2	2	1.000	100.0
wingraph	0x6014e0	0x19a42c	2	3	0.667	100.0
winmgr	0x602360	0x19aa08	2	2	1.000	100.0
winmgr	0x602370	0x19aa20	11	7	1.571	100.0
winmgr	0x6024a0	0x19ac14	17	30	0.567	100.0
winmgr	0x602520	0x19ad18	56	44	1.273	100.0
winmgr	0x6027a0	0x19aef4	63	46	1.370	100.0
winmgr	0x602a40	0x19b0fc	31	20	1.550	100.0
winmgr	0x602c50	0x19b428	9	13	0.692	100.0
