# generator: homm3.analysis.dc_bracket
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a `forced`
# row is a link-order proof proposal; it becomes
# evidence only when a supervised review promotes it
# into a VA() claim.
unit	dc_offset	dc_size	proposed_rva	proposed_size	grade	name	detail
advmgr	0x9614	1150		0	ambiguous	advManager::ProcessAdvMenu	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0x9a94	1748		0	ambiguous	advManager::ProcessDeSelect	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xa168	1826		0	ambiguous	advManager::ProcessRadarSelect	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xa88c	1710		0	ambiguous	advManager::ProcessMapSelect	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xaf3c	714		0	ambiguous	advManager::ProcessMapSelect2	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb208	80		0	ambiguous	set_town_help	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb258	96		0	ambiguous	set_hero_help	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb2b8	260		0	ambiguous	set_pyramid_help	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb3bc	972		0	ambiguous	get_creature_bank_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb788	424		0	ambiguous	SetShrineHelpText	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xb930	380		0	ambiguous	SetTreeHelpText	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbaac	150		0	ambiguous	set_wagon_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbb44	188		0	ambiguous	set_tomb_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbc00	172		0	ambiguous	set_water_wheel_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbcac	216		0	ambiguous	set_windmill_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbd84	296		0	ambiguous	set_witch_hut_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbeac	26		0	ambiguous	type_cell_adjuster::type_cell_adjuster	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbec8	84		0	ambiguous	type_cell_adjuster::~type_cell_adjuster	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbf1c	284		0	ambiguous	type_cell_adjuster::get_trigger_cell	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xc038	92		0	ambiguous	type_cell_adjuster::restore_cell	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xed7c	1216		0	ambiguous	advManager::ProcessWaitingHover	gap 2 dc vs 6 retail [0xb150..0xe280]
advmgr	0xf23c	132		0	ambiguous	advManager::get_garrison_cursor	gap 2 dc vs 6 retail [0xb150..0xe280]
advmgr	0xf3a8	2500		0	ambiguous	advManager::ProcessHover	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0xfd6c	22		0	ambiguous	advManager::Reseed	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0xfd84	1906		0	ambiguous	advManager::ProcessSearch	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0x104f8	22		0	ambiguous	$E496	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0x10510	16		0	ambiguous	$E497	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0x11424	1332		0	ambiguous	advManager::DrawHeroPart	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x11958	1356		0	ambiguous	advManager::DrawHeroPartShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x11ea4	584		0	ambiguous	advManager::DrawBoatPart	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x120ec	584		0	ambiguous	advManager::DrawBoatPartShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x12334	3224		0	ambiguous	advManager::DrawAdvObj	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x12fcc	2244		0	ambiguous	advManager::DrawAdvObjShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13890	468		0	ambiguous	advManager::DrawRiver	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13a64	516		0	ambiguous	advManager::DrawRoad	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13c68	448		0	ambiguous	advManager::DrawArrowShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13e28	414		0	ambiguous	advManager::DrawArrow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13fc8	790		0	ambiguous	advManager::DrawShroud	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x142e0	1252		0	ambiguous	advManager::DrawUnderlay	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x147c4	834		0	ambiguous	advManager::DrawGround	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x14b08	136		0	ambiguous	advManager::GetCell	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x14b90	90		0	ambiguous	advManager::GetCell	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x14bec	5008		0	ambiguous	advManager::UpdateRadar	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x15f7c	94		0	ambiguous	advManager::UpdateRadar	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x15fdc	11344		0	ambiguous	advManager::QuickInfo	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x18c2c	88		0	ambiguous	advManager::ClearBottomView	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x191d0	170		0	ambiguous	advManager::UpdBottomViewMessage	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x1927c	142		0	ambiguous	advManager::UpdBottomViewKingdom	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x1930c	124		0	ambiguous	advManager::UpdBottomViewHero	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19388	152		0	ambiguous	advManager::UpdBottomViewTown	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19420	156		0	ambiguous	get_identify_level	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x194bc	440		0	ambiguous	advManager::HeroQuickView	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19674	1640		0	ambiguous	advManager::TownQuickView	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19cdc	420		0	ambiguous	advManager::garrison_quick_view	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19e80	944		0	ambiguous	advManager::MonsterQuickView	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x1b520	136		0	ambiguous	advManager::CheckLoadSample	gap 1 dc vs 0 retail [0x183d0..0x18620]
advmgr	0x1c7e4	804		0	ambiguous	advManager::ScreenScroll	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1cb08	496		0	ambiguous	advManager::CheckScreenScroll	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1ccf8	110		0	ambiguous	advManager::MouseInScrollZone	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1cd68	850		0	ambiguous	advManager::SetInitialMapOrigin	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1d0bc	592		0	ambiguous	PopupPlayerTurnInfo	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1d30c	992		0	ambiguous	advManager::StartLocalPlayerTurn	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1d6ec	280		0	ambiguous	advManager::LoadRemote	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1dde4	406		0	ambiguous	ComputeAdvNetControl	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1df7c	236		0	ambiguous	MapExtraPosAndAdjacentsSet	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e068	760		0	ambiguous	advManager::ViewPuzzle	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e360	232		0	ambiguous	advManager::PuzzleDraw	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e448	336		0	ambiguous	advManager::DoAdventureOptions	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e598	78		0	ambiguous	advManager::DoAdvMenu	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e5e8	644		0	ambiguous	advManager::DoSystemOptions	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e86c	780		0	ambiguous	advManager::MoreTreesNear	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1eb78	64		0	ambiguous	advManager::GetRouteArray	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1ebb8	60		0	ambiguous	advManager::GetRouteArrayPtr	gap 10 dc vs 7 retail [0x1a460..0x1b040]
ai	0x2400c	216		0	ambiguous	get_area_attack_value	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x240e4	440		0	ambiguous	combatManager::choose_shooter_target	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x2429c	654		0	ambiguous	combatManager::choose_cyclops_action	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x2452c	216		0	ambiguous	combatManager::choose_shooter_action	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x24604	144		0	ambiguous	get_move_order	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x24ef4	492		0	ambiguous	combatManager::get_area_effect	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x250e0	66		0	ambiguous	get_enemy_attack_limit	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25124	484		0	ambiguous	combatManager::mark_friendly_armies	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25308	158		0	ambiguous	find_attack_hexes	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x253a8	164		0	ambiguous	find_attack_hexes	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x2544c	596		0	ambiguous	combatManager::mark_multiheaded_enemy	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x256a0	760		0	ambiguous	combatManager::mark_enemy_attacks	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25998	370		0	ambiguous	combatManager::choose_defense_hex	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25b0c	372		0	ambiguous	combatManager::attempt_shooter_defense	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25c80	376		0	ambiguous	combatManager::choose_to_run	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25df8	532		0	ambiguous	combatManager::has_ranged_advantage	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x2600c	306		0	ambiguous	combatManager::choose_creature_spell	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26140	804		0	ambiguous	combatManager::choose_resurrect_action	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26464	150		0	ambiguous	combatManager::choose_spell_action	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x264fc	258		0	ambiguous	combatManager::should_stay_in_castle	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26600	212		0	ambiguous	combatManager::mark_firewalls	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x266d4	2060		0	ambiguous	combatManager::choose_melee_target	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26ee0	198		0	ambiguous	combatManager::choose_melee_action	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x26fa8	398		0	ambiguous	combatManager::place_shooter	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x27138	200		0	ambiguous	combatManager::DoCompAI	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x27200	278		0	ambiguous	combatManager::berserk_attack	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai_combat	0x29a30	354		0	ambiguous	type_monster_data::cast_enchantment	gap 1 dc vs 0 retail [0x23c80..0x23d00]
ai_combat	0x29cac	50		0	ambiguous	type_monster_data::cast_resurrection	gap 1 dc vs 0 retail [0x23d00..0x23de0]
ai_combat	0x29f58	1304		0	ambiguous	type_AI_combat_data::initialize_creatures	gap 3 dc vs 2 retail [0x23ee0..0x24880]
ai_combat	0x2a470	186		0	ambiguous	type_AI_combat_data::check_wall_archery_penalty	gap 3 dc vs 2 retail [0x23ee0..0x24880]
ai_combat	0x2a52c	92		0	ambiguous	type_AI_combat_data::get_catagory	gap 3 dc vs 2 retail [0x23ee0..0x24880]
