# generator: homm3.analysis.dc_callgraph
# exe: HEROES3.EXE sha256=057c9d88e7206f6669a4615de2c6e02ab6c4e2d570a9e2badf07fe0bd6247274
# ANALYSIS OUTPUT, NOT RETAIL EVIDENCE - a
# `callgraph-unique` row needs retail-corroborated
# promotion into a VA() claim.
unit	dc_offset	proposed_rva	candidates	grade	name	detail
advmgr	0xbaac			no-signal	set_wagon_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbb44			no-signal	set_tomb_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbc00			no-signal	set_water_wheel_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbcac			no-signal	set_windmill_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbd84		0xafb0	callgraph-narrowed	set_witch_hut_help_text	gap 23 dc vs 10 retail [0x7b80..0xb0e0] [demoted: not an injective monotone map]
advmgr	0xbeac		0xafb0	callgraph-narrowed	type_cell_adjuster::type_cell_adjuster	gap 23 dc vs 10 retail [0x7b80..0xb0e0] [demoted: not an injective monotone map]
advmgr	0xbec8			no-signal	type_cell_adjuster::~type_cell_adjuster	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xbf1c		0xafb0	callgraph-narrowed	type_cell_adjuster::get_trigger_cell	gap 23 dc vs 10 retail [0x7b80..0xb0e0] [demoted: not an injective monotone map]
advmgr	0xc038			no-signal	type_cell_adjuster::restore_cell	gap 23 dc vs 10 retail [0x7b80..0xb0e0]
advmgr	0xed7c			no-signal	advManager::ProcessWaitingHover	gap 2 dc vs 6 retail [0xb150..0xe280]
advmgr	0xf23c			no-signal	advManager::get_garrison_cursor	gap 2 dc vs 6 retail [0xb150..0xe280]
advmgr	0xf3a8			no-signal	advManager::ProcessHover	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0xfd6c			no-signal	advManager::Reseed	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0xfd84			no-signal	advManager::ProcessSearch	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0x104f8			no-signal	$E496	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0x10510			no-signal	$E497	gap 5 dc vs 4 retail [0xe280..0xf270]
advmgr	0x11424			no-signal	advManager::DrawHeroPart	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x11958			no-signal	advManager::DrawHeroPartShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x11ea4			no-signal	advManager::DrawBoatPart	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x120ec			no-signal	advManager::DrawBoatPartShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x12334			no-signal	advManager::DrawAdvObj	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x12fcc			no-signal	advManager::DrawAdvObjShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13890			no-signal	advManager::DrawRiver	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13a64			no-signal	advManager::DrawRoad	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13c68			no-signal	advManager::DrawArrowShadow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13e28			no-signal	advManager::DrawArrow	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x13fc8			no-signal	advManager::DrawShroud	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x142e0			no-signal	advManager::DrawUnderlay	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x147c4			no-signal	advManager::DrawGround	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x14b08			no-signal	advManager::GetCell	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x14b90			no-signal	advManager::GetCell	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x14bec			no-signal	advManager::UpdateRadar	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x15f7c			no-signal	advManager::UpdateRadar	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x15fdc			no-signal	advManager::QuickInfo	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x18c2c			no-signal	advManager::ClearBottomView	gap 19 dc vs 17 retail [0xfd20..0x15d60]
advmgr	0x191d0	0x162f0	0x162f0	callgraph-unique	advManager::UpdBottomViewMessage	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x1927c	0x163a0	0x163a0	callgraph-unique	advManager::UpdBottomViewKingdom	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x1930c	0x16450	0x16450	callgraph-unique	advManager::UpdBottomViewHero	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19388	0x164f0	0x164f0	callgraph-unique	advManager::UpdBottomViewTown	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19420			no-signal	get_identify_level	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x194bc			no-signal	advManager::HeroQuickView	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19674			no-signal	advManager::TownQuickView	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19cdc			no-signal	advManager::garrison_quick_view	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x19e80			no-signal	advManager::MonsterQuickView	gap 9 dc vs 8 retail [0x16210..0x17420]
advmgr	0x1c7e4			no-signal	advManager::ScreenScroll	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1cb08			no-signal	advManager::CheckScreenScroll	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1ccf8			no-signal	advManager::MouseInScrollZone	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1cd68			no-signal	advManager::SetInitialMapOrigin	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1d0bc			no-signal	PopupPlayerTurnInfo	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1d30c			no-signal	advManager::StartLocalPlayerTurn	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1d6ec			no-signal	advManager::LoadRemote	gap 7 dc vs 6 retail [0x19570..0x1a1e0]
advmgr	0x1dde4			no-signal	ComputeAdvNetControl	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1df7c			no-signal	MapExtraPosAndAdjacentsSet	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e068			no-signal	advManager::ViewPuzzle	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e360			no-signal	advManager::PuzzleDraw	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e448			no-signal	advManager::DoAdventureOptions	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e598			no-signal	advManager::DoAdvMenu	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e5e8			no-signal	advManager::DoSystemOptions	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1e86c			no-signal	advManager::MoreTreesNear	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1eb78			no-signal	advManager::GetRouteArray	gap 10 dc vs 7 retail [0x1a460..0x1b040]
advmgr	0x1ebb8			no-signal	advManager::GetRouteArrayPtr	gap 10 dc vs 7 retail [0x1a460..0x1b040]
ai	0x2400c			no-signal	get_area_attack_value	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x240e4			no-signal	combatManager::choose_shooter_target	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x2429c			no-signal	combatManager::choose_cyclops_action	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x2452c			no-signal	combatManager::choose_shooter_action	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x24604			no-signal	get_move_order	gap 5 dc vs 4 retail [0x1eac0..0x1f140]
ai	0x24ef4			no-signal	combatManager::get_area_effect	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x250e0			no-signal	get_enemy_attack_limit	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25124			no-signal	combatManager::mark_friendly_armies	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x25308			no-signal	find_attack_hexes	gap 21 dc vs 22 retail [0x1f890..0x22440]
ai	0x253a8			no-signal	find_attack_hexes	gap 21 dc vs 22 retail [0x1f890..0x22440]
