# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
combatManager::AbleToSummonElemental,spells.obj,param,sp+0x1c,0x1B61,spell
combatManager::AbleToSummonElemental,spells.obj,param,sp+0x20,T_LONG(0012),side
combatManager::GetSpellWallHex,spells.obj,param,sp+0x20,0x1F08,this
combatManager::GetSpellWallHex,spells.obj,param,sp+0x24,T_INT4(0074),base_index
combatManager::GetSpellWallHex,spells.obj,param,sp+0x28,T_INT4(0074),row_offset
combatManager::GetSpellWallHex,spells.obj,param,sp+0x2c,T_INT4(0074),side
army::is_in_aura,spells.obj,param,sp+0x14,0x1ABE,this
hero::IsMale,spells.obj,param,sp+0x0,0x2072,this
combatManager::get_current_army,spells.obj,param,sp+0x0,0x1ED9,this
"std::set<enum SpellID,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert",spells.obj,param,sp+0x24,0x207F,this
"std::set<enum SpellID,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert",spells.obj,param,sp+0x28,T_NOTYPE(0000),__$ReturnUdt
"std::set<enum SpellID,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert",spells.obj,param,sp+0x2c,0x2081,__x
"std::set<enum SpellID,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert",spells.obj,local,sp+0x14,0x209B,__p
"std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >",spells.obj,param,sp+0x0,0x20A9,this
"std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >",spells.obj,param,sp+0x4,0x208C,__it
"std::pair<std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >,bool>::pair<std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >,bool>",spells.obj,param,sp+0x0,0x20A7,this
"std::pair<std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >,bool>::pair<std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >,bool>",spells.obj,param,sp+0x4,0x20AC,__a
"std::pair<std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >,bool>::pair<std::_Rb_tree_iterator<enum SpellID,std::_Const_traits<enum SpellID> >,bool>",spells.obj,param,sp+0x8,0x1436,__b
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert_unique",spells.obj,param,fp+0x38,0x20B0,this
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert_unique",spells.obj,param,fp+0x3c,T_NOTYPE(0000),__$ReturnUdt
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert_unique",spells.obj,param,fp+0x40,0x2081,__v
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::insert_unique",spells.obj,local,sp+0x1c,0x2086,__j
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_S_key",spells.obj,param,sp+0x18,0x2089,__x
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_S_key",spells.obj,param,sp+0x18,0x13C7,__x
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::begin",spells.obj,param,sp+0x18,0x20B0,this
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::begin",spells.obj,param,sp+0x1c,T_NOTYPE(0000),__$ReturnUdt
std::less<enum SpellID>::operator(),spells.obj,param,sp+0x0,0x20B7,this
std::less<enum SpellID>::operator(),spells.obj,param,sp+0x4,0x2081,__x
std::less<enum SpellID>::operator(),spells.obj,param,sp+0x8,0x2081,__y
"std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >",spells.obj,param,sp+0x0,0x208A,this
"std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >",spells.obj,param,sp+0x4,0x2089,__x
"std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >",spells.obj,param,sp+0x0,0x208A,this
"std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >",spells.obj,param,sp+0x4,0x208C,__it
"std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >::operator--",spells.obj,param,sp+0x18,0x208A,this
"std::pair<std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >,bool>::pair<std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >,bool>",spells.obj,param,sp+0x1c,0x209C,this
"std::pair<std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >,bool>::pair<std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >,bool>",spells.obj,param,sp+0x20,0x208C,__a
"std::pair<std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >,bool>::pair<std::_Rb_tree_iterator<enum SpellID,std::_Nonconst_traits<enum SpellID> >,bool>",spells.obj,param,sp+0x24,0x1436,__b
std::_Identity<enum SpellID>::operator(),spells.obj,param,sp+0x0,0x20BC,this
std::_Identity<enum SpellID>::operator(),spells.obj,param,sp+0x4,0x2081,__x
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_S_value",spells.obj,param,sp+0x0,0x2089,__x
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_M_insert",spells.obj,param,sp+0x30,0x20B0,this
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_M_insert",spells.obj,param,sp+0x34,T_NOTYPE(0000),__$ReturnUdt
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_M_insert",spells.obj,param,sp+0x38,0x13C7,__x_
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_M_insert",spells.obj,param,sp+0x3c,0x13C7,__y_
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_M_insert",spells.obj,param,sp+0x40,0x2081,__v
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_M_create_node",spells.obj,param,sp+0x1c,0x20B0,this
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_M_create_node",spells.obj,param,sp+0x20,0x2081,__x
"std::_Rb_tree<enum SpellID,enum SpellID,std::_Identity<enum SpellID>,std::less<enum SpellID>,std::allocator<enum SpellID> >::_S_parent",spells.obj,param,sp+0x0,0x2089,__x
SpellTargetsASingleArmy,spelldefs.obj,param,sp+0x0,T_INT4(0074),spell
SpellTargetsASingleArmy,spelldefs.obj,param,sp+0x4,T_INT4(0074),sslevel
InitializeSpellTraits,spelldefs.obj,param,sp+0x30,T_INT4(0074),id
InitializeSpellTraits,spelldefs.obj,param,sp+0x34,0x18F5,resource
InitializeSpellTraits,spelldefs.obj,local,sp+0x10,0x20C7,traits
`anonymous namespace'::TAutoStrPtr::TAutoStrPtr,spelldefs.obj,param,sp+0x0,0x20CC,this
`anonymous namespace'::TAutoStrPtr::~TAutoStrPtr,spelldefs.obj,param,sp+0x14,0x20CC,this
`anonymous namespace'::TAutoStrPtr::set,spelldefs.obj,param,sp+0x0,0x20CC,this
`anonymous namespace'::TAutoStrPtr::set,spelldefs.obj,param,sp+0x4,T_32PRCHAR(0470),pStr
`anonymous namespace'::TAutoStrPtr::get,spelldefs.obj,param,sp+0x0,0x20D0,this
get_level_string,spellbookwindow.obj,param,sp+0x24,0x1B61,spell
TSpellbookWindow::get_spell_description,spellbookwindow.obj,param,fp+0x34,0x1EDF,this
TSpellbookWindow::get_spell_description,spellbookwindow.obj,param,fp+0x38,T_NOTYPE(0000),__$ReturnUdt
TSpellbookWindow::get_spell_description,spellbookwindow.obj,param,fp+0x3c,0x1B61,spell
TSpellbookWindow::get_spell_description,spellbookwindow.obj,param,fp+0x40,0x1AA2,current_hero
TSpellbookWindow::get_spell_description,spellbookwindow.obj,param,fp+0x44,T_UCHAR(0020),rollover
TSpellbookWindow::get_spell_description,spellbookwindow.obj,local,sp+0x10,0x1329,result
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,param,fp+0x5c,0x1EDF,this
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,param,fp+0x60,0x1EE4,h
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,param,fp+0x64,0x1C0D,g
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,param,fp+0x68,0x1EDD,context
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,param,fp+0x6c,T_UCHAR(0020),on_magic_plains
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,local,sp+0x6c,T_INT4(0074),spell_name_widgets_index
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,local,sp+0x6c,0x20D4,background
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,local,sp+0x78,T_INT4(0074),spell_icon_widgets_index
TSpellbookWindow::TSpellbookWindow,spellbookwindow.obj,local,sp+0x84,T_INT4(0074),spell_level_widgets_index
TSpellbookWindow::~TSpellbookWindow,spellbookwindow.obj,param,sp+0x1c,0x1EDF,this
TSpellbookWindow::Open,spellbookwindow.obj,param,sp+0x14,0x1EDF,this
TSpellbookWindow::Open,spellbookwindow.obj,param,sp+0x18,T_INT4(0074),newPriority
TSpellbookWindow::Open,spellbookwindow.obj,param,sp+0x1c,T_UCHAR(0020),update
TSpellbookWindow::Close,spellbookwindow.obj,param,sp+0x14,0x1EDF,this
TSpellbookWindow::Close,spellbookwindow.obj,param,sp+0x18,T_UCHAR(0020),update
TSpellbookWindow::GotoPage,spellbookwindow.obj,param,fp+0x34,0x1EDF,this
TSpellbookWindow::GotoPage,spellbookwindow.obj,param,fp+0x38,T_INT4(0074),page
TSpellbookWindow::GotoPage,spellbookwindow.obj,local,sp+0x38,0x20DF,available_spells
TSpellbookWindow::GotoPage,spellbookwindow.obj,local,sp+0x30,0x1077,FIRST_SLOT_AFTER_HEADING
TSpellbookWindow::GotoPage,spellbookwindow.obj,local,sp+0x24,0x20DB,entry
TSpellbookWindow::DisplayNewSchool,spellbookwindow.obj,param,sp+0x20,0x1EDF,this
TSpellbookWindow::DisplayNewSchool,spellbookwindow.obj,param,sp+0x24,T_INT4(0074),position
TSpellbookWindow::convertID2HelpID,spellbookwindow.obj,param,sp+0x0,0x1EEF,this
TSpellbookWindow::convertID2HelpID,spellbookwindow.obj,param,sp+0x4,T_INT4(0074),id
TSpellbookWindow::WindowHandler,spellbookwindow.obj,param,sp+0x64,0x1EDF,this
TSpellbookWindow::WindowHandler,spellbookwindow.obj,param,sp+0x68,0x1017,msg
TSpellbookWindow::TSpellbookEntry::operator<,spellbookwindow.obj,param,sp+0x1c,0x2117,this
TSpellbookWindow::TSpellbookEntry::operator<,spellbookwindow.obj,param,sp+0x20,0x20DB,y
TSpellbookWindow::TSpellbookEntry::TSpellbookEntry,spellbookwindow.obj,param,sp+0x0,0x2119,this
TSpellbookWindow::TSpellbookEntry::TSpellbookEntry,spellbookwindow.obj,param,sp+0x4,0x1B61,id_
TSpellbookWindow::TSpellbookEntry::TSpellbookEntry,spellbookwindow.obj,param,sp+0x8,0x1EEC,school_
TSpellbookWindow::TSpellbookEntry::TSpellbookEntry,spellbookwindow.obj,param,sp+0xc,0x1A78,mastery_
TSpellbookWindow::SetSchool,spellbookwindow.obj,param,sp+0x0,0x1EDF,this
TSpellbookWindow::SetSchool,spellbookwindow.obj,param,sp+0x4,0x1EEC,school
TSpellbookWindow::GetSchool,spellbookwindow.obj,param,sp+0x0,0x1EEF,this
TSpellbookWindow::SetContext,spellbookwindow.obj,param,sp+0x0,0x1EDF,this
TSpellbookWindow::SetContext,spellbookwindow.obj,param,sp+0x4,0x1EDD,context
TSpellbookWindow::GetContextMask,spellbookwindow.obj,param,sp+0x0,0x1EEF,this
TSpellbookWindow::PreviousPage,spellbookwindow.obj,param,sp+0x14,0x1EDF,this
TSpellbookWindow::NextPage,spellbookwindow.obj,param,sp+0x14,0x1EDF,this
TSpellbookWindow::GetPositionFromSchool,spellbookwindow.obj,param,sp+0x0,T_UINT4(0075),school_mask
TSpellbookWindow::GetSchoolFromPosition,spellbookwindow.obj,param,sp+0x0,T_INT4(0074),j
TSpellbookWindow::`scalar deleting destructor',spellbookwindow.obj,param,sp+0x1c,0x1EDF,this
TSpellbookWindow::`scalar deleting destructor',spellbookwindow.obj,param,sp+0x20,T_UINT4(0075),__flags
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::begin",spellbookwindow.obj,param,sp+0x0,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::end",spellbookwindow.obj,param,sp+0x0,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::size",spellbookwindow.obj,param,sp+0x14,0x20E1,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::operator[]",spellbookwindow.obj,param,sp+0x18,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::operator[]",spellbookwindow.obj,param,sp+0x1c,T_UINT4(0075),__n
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >",spellbookwindow.obj,param,sp+0x18,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >",spellbookwindow.obj,param,sp+0x1c,0x20F6,__a
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::~vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >",spellbookwindow.obj,param,sp+0x18,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::push_back",spellbookwindow.obj,param,sp+0x18,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::push_back",spellbookwindow.obj,param,sp+0x1c,0x20DB,__x
std::allocator<TSpellbookWindow::TSpellbookEntry>::allocator<TSpellbookWindow::TSpellbookEntry>,spellbookwindow.obj,param,sp+0x0,0x211C,this
"std::_Vector_base<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_Vector_base<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >",spellbookwindow.obj,param,sp+0x1c,0x211E,this
"std::_Vector_base<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_Vector_base<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >",spellbookwindow.obj,param,sp+0x20,0x20F6,__a
"std::_Vector_base<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::~_Vector_base<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >",spellbookwindow.obj,param,sp+0x1c,0x211E,this
std::_STL_alloc_proxy<TSpell,spellbookwindow.obj,param,sp+0x14,0x2122,this
std::_STL_alloc_proxy<TSpel,spellbookwindow.obj,param,sp+0x0,0x2122,this
std::_STL_alloc_proxy<TSpel,spellbookwindow.obj,param,sp+0x4,0x20F6,__a
std::_STL_alloc_proxy<TSpel,spellbookwindow.obj,param,sp+0x8,0x2124,__p
"std::_STL_alloc_proxy<TSpellbookWindow::TSpellbookEntry *,TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::deallocate",spellbookwindow.obj,param,sp+0x1c,0x2122,this
"std::_STL_alloc_proxy<TSpellbookWindow::TSpellbookEntry *,TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::deallocate",spellbookwindow.obj,param,sp+0x20,0x20D7,__p
"std::_STL_alloc_proxy<TSpellbookWindow::TSpellbookEntry *,TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::deallocate",spellbookwindow.obj,param,sp+0x24,T_UINT4(0075),__n
std::allocator<TSpellbookWindow::TSpellbookEntry>::deallocate,spellbookwindow.obj,param,sp+0x14,0x20D7,__p
std::allocator<TSpellbookWindow::TSpellbookEntry>::deallocate,spellbookwindow.obj,param,sp+0x18,T_UINT4(0075),__n
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_insert_overflow",spellbookwindow.obj,param,sp+0x30,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_insert_overflow",spellbookwindow.obj,param,sp+0x34,0x20D7,__position
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_insert_overflow",spellbookwindow.obj,param,sp+0x38,0x20DB,__x
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_insert_overflow",spellbookwindow.obj,param,sp+0x3c,T_UINT4(0075),__fill_len
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_insert_overflow",spellbookwindow.obj,local,sp+0x10,0x1080,__old_size
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::reserve",spellbookwindow.obj,param,sp+0x28,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::reserve",spellbookwindow.obj,param,sp+0x2c,T_UINT4(0075),__n
std::sort,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::sort,spellbookwindow.obj,param,sp+0x24,0x20D7,__last
std::destroy,spellbookwindow.obj,param,sp+0x1c,0x20D7,__first
std::destroy,spellbookwindow.obj,param,sp+0x20,0x20D7,__last
std::construct,spellbookwindow.obj,param,sp+0x18,0x20D7,__p
std::construct,spellbookwindow.obj,param,sp+0x1c,0x20DB,__value
std::__stl_alloc_rebind,spellbookwindow.obj,param,sp+0x0,0x212C,__a
std::__stl_alloc_rebind,spellbookwindow.obj,param,sp+0x4,0x20D9,__formal
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::capacity",spellbookwindow.obj,param,sp+0x14,0x20E1,this
"std::_STL_alloc_proxy<TSpellbookWindow::TSpellbookEntry *,TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::allocate",spellbookwindow.obj,param,sp+0x18,0x2122,this
"std::_STL_alloc_proxy<TSpellbookWindow::TSpellbookEntry *,TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::allocate",spellbookwindow.obj,param,sp+0x1c,T_UINT4(0075),__n
std::allocator<TSpellbookWindow::TSpellbookEntry>::allocate,spellbookwindow.obj,param,sp+0x14,0x2130,this
std::allocator<TSpellbookWindow::TSpellbookEntry>::allocate,spellbookwindow.obj,param,sp+0x18,T_UINT4(0075),__n
std::allocator<TSpellbookWindow::TSpellbookEntry>::allocate,spellbookwindow.obj,param,sp+0x1c,0x117B,__formal
std::uninitialized_copy,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::uninitialized_copy,spellbookwindow.obj,param,sp+0x24,0x20D7,__last
std::uninitialized_copy,spellbookwindow.obj,param,sp+0x28,0x20D7,__result
std::uninitialized_fill_n,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::uninitialized_fill_n,spellbookwindow.obj,param,sp+0x24,T_UINT4(0075),__n
std::uninitialized_fill_n,spellbookwindow.obj,param,sp+0x28,0x20DB,__x
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_allocate_and_copy",spellbookwindow.obj,param,sp+0x20,0x20E3,this
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_allocate_and_copy",spellbookwindow.obj,param,sp+0x24,T_UINT4(0075),__n
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_allocate_and_copy",spellbookwindow.obj,param,sp+0x28,0x20D7,__first
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry> >::_M_allocate_and_copy",spellbookwindow.obj,param,sp+0x2c,0x20D7,__last
std::value_type,spellbookwindow.obj,param,sp+0x0,0x20D9,__formal
std::__introsort_loop,spellbookwindow.obj,param,sp+0x34,0x20D7,__first
std::__introsort_loop,spellbookwindow.obj,param,sp+0x38,0x20D7,__last
std::__introsort_loop,spellbookwindow.obj,param,sp+0x3c,0x20D7,__formal
std::__introsort_loop,spellbookwindow.obj,param,sp+0x40,T_INT4(0074),__depth_limit
std::__final_insertion_sort,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::__final_insertion_sort,spellbookwindow.obj,param,sp+0x24,0x20D7,__last
std::__destroy,spellbookwindow.obj,param,sp+0x18,0x20D7,__first
std::__destroy,spellbookwindow.obj,param,sp+0x1c,0x20D7,__last
std::__destroy,spellbookwindow.obj,param,sp+0x20,0x20D7,__formal
std::__uninitialized_copy,spellbookwindow.obj,param,sp+0x18,0x20D7,__first
std::__uninitialized_copy,spellbookwindow.obj,param,sp+0x1c,0x20D7,__last
std::__uninitialized_copy,spellbookwindow.obj,param,sp+0x20,0x20D7,__result
std::__uninitialized_copy,spellbookwindow.obj,param,sp+0x24,0x20D7,__formal
std::__uninitialized_fill_n,spellbookwindow.obj,param,sp+0x18,0x20D7,__first
std::__uninitialized_fill_n,spellbookwindow.obj,param,sp+0x1c,T_UINT4(0075),__n
std::__uninitialized_fill_n,spellbookwindow.obj,param,sp+0x20,0x20DB,__x
std::__uninitialized_fill_n,spellbookwindow.obj,param,sp+0x24,0x20D7,__formal
std::partial_sort,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::partial_sort,spellbookwindow.obj,param,sp+0x24,0x20D7,__middle
std::partial_sort,spellbookwindow.obj,param,sp+0x28,0x20D7,__last
std::__median,spellbookwindow.obj,param,sp+0x20,0x20DB,__a
std::__median,spellbookwindow.obj,param,sp+0x24,0x20DB,__b
std::__median,spellbookwindow.obj,param,sp+0x28,0x20DB,__c
std::__unguarded_partition,spellbookwindow.obj,param,sp+0x18,0x20D7,__first
std::__unguarded_partition,spellbookwindow.obj,param,sp+0x1c,0x20D7,__last
std::__unguarded_partition,spellbookwindow.obj,param,sp+0x20,0x1F05,__pivot
std::__insertion_sort,spellbookwindow.obj,param,sp+0x24,0x20D7,__first
std::__insertion_sort,spellbookwindow.obj,param,sp+0x28,0x20D7,__last
std::__unguarded_insertion_sort,spellbookwindow.obj,param,sp+0x1c,0x20D7,__first
std::__unguarded_insertion_sort,spellbookwindow.obj,param,sp+0x20,0x20D7,__last
std::__destroy_aux,spellbookwindow.obj,param,sp+0x1c,0x20D7,__first
std::__destroy_aux,spellbookwindow.obj,param,sp+0x20,0x20D7,__last
std::__destroy_aux,spellbookwindow.obj,param,sp+0x24,0x1310,__formal
std::__uninitialized_copy_aux,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::__uninitialized_copy_aux,spellbookwindow.obj,param,sp+0x24,0x20D7,__last
std::__uninitialized_copy_aux,spellbookwindow.obj,param,sp+0x28,0x20D7,__result
std::__uninitialized_copy_aux,spellbookwindow.obj,param,sp+0x2c,0x1310,__formal
std::__uninitialized_fill_n_aux,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::__uninitialized_fill_n_aux,spellbookwindow.obj,param,sp+0x24,T_UINT4(0075),__n
std::__uninitialized_fill_n_aux,spellbookwindow.obj,param,sp+0x28,0x20DB,__x
std::__uninitialized_fill_n_aux,spellbookwindow.obj,param,sp+0x2c,0x1310,__formal
std::__partial_sort,spellbookwindow.obj,param,sp+0x44,0x20D7,__first
std::__partial_sort,spellbookwindow.obj,param,sp+0x48,0x20D7,__middle
std::__partial_sort,spellbookwindow.obj,param,sp+0x4c,0x20D7,__last
std::__partial_sort,spellbookwindow.obj,param,sp+0x50,0x20D7,__formal
std::iter_swap,spellbookwindow.obj,param,sp+0x1c,0x20D7,__a
std::iter_swap,spellbookwindow.obj,param,sp+0x20,0x20D7,__b
std::__linear_insert,spellbookwindow.obj,param,sp+0x18,0x20D7,__first
std::__linear_insert,spellbookwindow.obj,param,sp+0x1c,0x20D7,__last
std::__linear_insert,spellbookwindow.obj,param,sp+0x20,0x1F05,__val
std::__unguarded_insertion_sort_aux,spellbookwindow.obj,param,sp+0x28,0x20D7,__first
std::__unguarded_insertion_sort_aux,spellbookwindow.obj,param,sp+0x2c,0x20D7,__last
std::__unguarded_insertion_sort_aux,spellbookwindow.obj,param,sp+0x30,0x20D7,__formal
std::destroy,spellbookwindow.obj,param,sp+0x18,0x20D7,__pointer
std::make_heap,spellbookwindow.obj,param,sp+0x20,0x20D7,__first
std::make_heap,spellbookwindow.obj,param,sp+0x24,0x20D7,__last
std::distance_type,spellbookwindow.obj,param,sp+0x0,0x20D9,__formal
std::__pop_heap,spellbookwindow.obj,param,sp+0x24,0x20D7,__first
std::__pop_heap,spellbookwindow.obj,param,sp+0x28,0x20D7,__last
std::__pop_heap,spellbookwindow.obj,param,sp+0x2c,0x20D7,__result
std::__pop_heap,spellbookwindow.obj,param,sp+0x30,0x1F05,__value
std::__pop_heap,spellbookwindow.obj,param,sp+0x3c,T_32PINT4(0474),__formal
std::sort_heap,spellbookwindow.obj,param,sp+0x1c,0x20D7,__first
std::sort_heap,spellbookwindow.obj,param,sp+0x20,0x20D7,__last
std::__iter_swap,spellbookwindow.obj,param,sp+0x14,0x20D7,__a
std::__iter_swap,spellbookwindow.obj,param,sp+0x18,0x20D7,__b
