# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
heroWindowManager::FadeScreen,winmgr.obj,param,sp+0x28,T_INT4(0074),speed
heroWindowManager::FadeScreen,winmgr.obj,param,sp+0x2c,T_UCHAR(0020),expect_fadein
heroWindowManager::ScreenShot,winmgr.obj,param,sp+0x28,0x1011,this
heroWindowManager::ScreenShot,winmgr.obj,local,sp+0x10,0x1033,name
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x28,0x1011,this
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x2c,T_INT4(0074),startX
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x30,T_INT4(0074),startY
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x34,T_INT4(0074),width
heroWindowManager::SaveFizzleSource,winmgr.obj,param,sp+0x38,T_INT4(0074),height
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x28,0x1011,this
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x2c,T_INT4(0074),startX
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x30,T_INT4(0074),startY
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x34,T_INT4(0074),width
heroWindowManager::SaveFizzleSourceX,winmgr.obj,param,sp+0x38,T_INT4(0074),height
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x100,0x1011,this
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x104,T_INT4(0074),startX
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x108,T_INT4(0074),startY
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x10c,T_INT4(0074),width
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x110,T_INT4(0074),height
heroWindowManager::FizzleForward,winmgr.obj,param,fp+0x114,T_INT4(0074),iFadeTime
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x6c,0x103A,bmpFizzleTarget
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x48,0x1077,DEFAULT_FADE_TIME
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x68,T_INT4(0074),iColorCyclingSave
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x60,T_ULONG(0022),next_frame_time
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x5c,0x1077,factor
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x30,T_32PUSHORT(0421),dst
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x3c,T_INT4(0074),y
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x38,0x103F,odst
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x2c,0x103F,src
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x24,0x103F,s
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x44,T_32PUSHORT(0421),d
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x34,0x103F,od
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x28,T_INT4(0074),x
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x58,0x1077,or
heroWindowManager::FizzleForward,winmgr.obj,local,sp+0x58,0x1077,og
heroWindowManager::FizzleForwardX,winmgr.obj,param,fp+0xfc,0x1011,this
heroWindowManager::FizzleForwardX,winmgr.obj,param,fp+0x100,T_INT4(0074),startX
heroWindowManager::FizzleForwardX,winmgr.obj,param,fp+0x104,T_INT4(0074),startY
heroWindowManager::FizzleForwardX,winmgr.obj,param,fp+0x108,T_INT4(0074),width
