# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
module,processor,version
mapcell.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
mainmenu.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
lodfile.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
levelupwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
kbwin.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
kb.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
inputmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
initialize.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
infutil.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
inftrees.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
inflate.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
inffast.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
infcodes.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
infblock.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
iconwdgt.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
hiscore.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
hillfortwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
hexcell.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
herodefs.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
hero.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
gzio.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
global.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
genericresource.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
gametypewindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
game.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
font.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
fly.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
findpath.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
exec.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
events.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
event_record.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
dxplay.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
ds_engine.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
drawing.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
dimensiondoorwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
diff.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
dialogbox.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
deflate.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
DC_precompiledheaders.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
DC_input.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
customcampaign.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
cursor.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
cspriteframe.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
csprite.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
csequence.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
creaturetype.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
creature_bank.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
compress.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
command.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
combatwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
combatresultswindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
combatoptionswindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
combatcontrolsubwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
cmbtmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
castle.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
campaignwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
campaignmap.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
campaignbrief.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
button.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
bottomviewsubwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
border.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
bitmap816.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
bitmap8.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
bitmap24.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
bitmap16.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
binkmanager.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
basemgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
artifact.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
armygrp.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
army.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
ai_tactical.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
ai_player.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
ai_combat.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
ai.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
advspells.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
advmgr.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
adventureoptionswindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
adventuremapwindow.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
adler32.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version MJ.MN.XXXX
adler32.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version 12.17.8370
adler32.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version 12.17.8370
adler32.obj,SH3,Microsoft (R) 32-bit C/C++ Optimizing Compiler Version 12.17.8370
