# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
name,size,members,statics,bases
std::hash<unsigned,1,0,0,
std::input_iterator_tag,1,0,0,
std::invalid_argument,260,0,0,std::logic_error
std::length_error,260,0,0,std::logic_error
std::less<enum,1,0,0,std::binary_function<enum
std::logic_error,260,0,0,std::__Named_exception
std::numeric_limits<double>,1,0,0,"std::_Floating_limits<double,53,15,-1021,1024,-307,308,2146435072,2146500608,2147024896,1,1>"
std::numeric_limits<float>,1,0,0,"std::_Floating_limits<float,24,6,-125,128,-37,38,2139095040,2139160576,2143354880,1,1>"
std::numeric_limits<long,1,0,0,std::_Floating_limits<long
std::out_of_range,260,0,0,std::logic_error
std::output_iterator,1,0,0,
std::output_iterator_tag,1,0,0,
std::overflow_error,260,0,0,std::runtime_error
std::pair<std::_Rb_tree_iterator<enum,8,2,0,
std::random_access_iterator_tag,1,0,0,std::bidirectional_iterator_tag
std::range_error,260,0,0,std::runtime_error
std::reverse_iterator<NewmapCell::TObjectCell,4,1,0,
"std::reverse_iterator<std::_Bit_iter<bool,bool",8,1,0,
"std::reverse_iterator<std::_Bit_iter<std::_Bit_reference,std::_Bit_reference",8,1,0,
std::reverse_iterator<widget,4,1,0,
std::runtime_error,260,0,0,std::__Named_exception
std::set<enum,12,1,0,
std::subtractive_rng,228,3,0,std::unary_function<unsigned
std::unary_function<unsigned,1,0,0,
std::underflow_error,260,0,0,std::runtime_error
"std::vector<BlackBoxData,std::allocator<BlackBoxData>",12,0,0,"std::_Vector_base<BlackBoxData,std::allocator<BlackBoxData>"
"std::vector<CObject,std::allocator<CObject>",12,0,0,"std::_Vector_base<CObject,std::allocator<CObject>"
"std::vector<CObjectType,std::allocator<CObjectType>",12,0,0,"std::_Vector_base<CObjectType,std::allocator<CObjectType>"
std::vector<CSprite,12,0,0,std::_Vector_base<CSprite
"std::vector<HeroDestination,std::allocator<HeroDestination>",12,0,0,"std::_Vector_base<HeroDestination,std::allocator<HeroDestination>"
"std::vector<LODEntry,std::allocator<LODEntry>",12,0,0,"std::_Vector_base<LODEntry,std::allocator<LODEntry>"
"std::vector<MonsterData,std::allocator<MonsterData>",12,0,0,"std::_Vector_base<MonsterData,std::allocator<MonsterData>"
"std::vector<NewmapCell::TObjectCell,std::allocator<NewmapCell::TObjectCell>",12,0,0,"std::_Vector_base<NewmapCell::TObjectCell,std::allocator<NewmapCell::TObjectCell>"
"std::vector<SecondarySkillData,std::allocator<SecondarySkillData>",12,0,0,"std::_Vector_base<SecondarySkillData,std::allocator<SecondarySkillData>"
"std::vector<Sign,std::allocator<Sign>",12,0,0,"std::_Vector_base<Sign,std::allocator<Sign>"
"std::vector<TBlackMarket,std::allocator<TBlackMarket>",12,0,0,"std::_Vector_base<TBlackMarket,std::allocator<TBlackMarket>"
"std::vector<TSeerHut,std::allocator<TSeerHut>",12,0,0,"std::_Vector_base<TSeerHut,std::allocator<TSeerHut>"
"std::vector<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry>",12,0,0,"std::_Vector_base<TSpellbookWindow::TSpellbookEntry,std::allocator<TSpellbookWindow::TSpellbookEntry>"
"std::vector<TTimedEvent,std::allocator<TTimedEvent>",12,0,0,"std::_Vector_base<TTimedEvent,std::allocator<TTimedEvent>"
"std::vector<TTownEvent,std::allocator<TTownEvent>",12,0,0,"std::_Vector_base<TTownEvent,std::allocator<TTownEvent>"
"std::vector<TownExtra,std::allocator<TownExtra>",12,0,0,"std::_Vector_base<TownExtra,std::allocator<TownExtra>"
"std::vector<TreasureData,std::allocator<TreasureData>",12,0,0,"std::_Vector_base<TreasureData,std::allocator<TreasureData>"
std::vector<army,12,0,0,std::_Vector_base<army
"std::vector<boat,std::allocator<boat>",12,0,0,"std::_Vector_base<boat,std::allocator<boat>"
"std::vector<bool,std::allocator<bool>",20,0,0,std::_Bvector_base<std::allocator<bool>
std::vector<char,12,0,0,std::_Vector_base<char
"std::vector<combatManager::TObstacle,std::allocator<combatManager::TObstacle>",12,0,0,"std::_Vector_base<combatManager::TObstacle,std::allocator<combatManager::TObstacle>"
std::vector<enum,12,0,0,std::_Vector_base<enum
"std::vector<game::TRumour,std::allocator<game::TRumour>",12,0,0,"std::_Vector_base<game::TRumour,std::allocator<game::TRumour>"
"std::vector<garrison,std::allocator<garrison>",12,0,0,"std::_Vector_base<garrison,std::allocator<garrison>"
"std::vector<generator,std::allocator<generator>",12,0,0,"std::_Vector_base<generator,std::allocator<generator>"
"std::vector<hero,std::allocator<hero>",12,0,0,"std::_Vector_base<hero,std::allocator<hero>"
"std::vector<int,std::allocator<int>",12,0,0,"std::_Vector_base<int,std::allocator<int>"
"std::vector<long,std::allocator<long>",12,0,0,"std::_Vector_base<long,std::allocator<long>"
"std::vector<mine,std::allocator<mine>",12,0,0,"std::_Vector_base<mine,std::allocator<mine>"
std::vector<pathCell,12,0,0,std::_Vector_base<pathCell
"std::vector<pathCell,std::allocator<pathCell>",12,0,0,"std::_Vector_base<pathCell,std::allocator<pathCell>"
std::vector<resource,12,0,0,std::_Vector_base<resource
"std::vector<std::basic_string<char,std::char_traits<char>,std::allocator<char>",12,0,0,"std::_Vector_base<std::basic_string<char,std::char_traits<char>,std::allocator<char>"
std::vector<std::vector<char,12,0,0,std::_Vector_base<std::vector<char
"std::vector<town,std::allocator<town>",12,0,0,"std::_Vector_base<town,std::allocator<town>"
"std::vector<type_artifact,std::allocator<type_artifact>",12,0,0,"std::_Vector_base<type_artifact,std::allocator<type_artifact>"
"std::vector<type_creature_bank,std::allocator<type_creature_bank>",12,0,0,"std::_Vector_base<type_creature_bank,std::allocator<type_creature_bank>"
"std::vector<type_creature_source,std::allocator<type_creature_source>",12,0,0,"std::_Vector_base<type_creature_source,std::allocator<type_creature_source>"
"std::vector<type_creature_value,std::allocator<type_creature_value>",12,0,0,"std::_Vector_base<type_creature_value,std::allocator<type_creature_value>"
"std::vector<type_dialog_resource,std::allocator<type_dialog_resource>",12,0,0,"std::_Vector_base<type_dialog_resource,std::allocator<type_dialog_resource>"
std::vector<type_event_record,12,0,0,std::_Vector_base<type_event_record
"std::vector<type_monster_data,std::allocator<type_monster_data>",12,0,0,"std::_Vector_base<type_monster_data,std::allocator<type_monster_data>"
"std::vector<type_point,std::allocator<type_point>",12,0,0,"std::_Vector_base<type_point,std::allocator<type_point>"
"std::vector<type_university,std::allocator<type_university>",12,0,0,"std::_Vector_base<type_university,std::allocator<type_university>"
std::vector<widget,12,0,0,std::_Vector_base<widget
tWAVEFORMATEX,18,7,0,
tagBITMAPINFOHEADER,40,11,0,
tagBLOB,8,2,0,
tagCABOOL,8,2,0,
tagCABSTR,8,2,0,
tagCACLIPDATA,8,2,0,
tagCACLSID,8,2,0,
tagCACY,8,2,0,
tagCADATE,8,2,0,
tagCADBL,8,2,0,
tagCAFILETIME,8,2,0,
tagCAFLT,8,2,0,
tagCAH,8,2,0,
tagCAI,8,2,0,
tagCAL,8,2,0,
tagCALPSTR,8,2,0,
tagCALPWSTR,8,2,0,
tagCAPROPVARIANT,8,2,0,
tagCASCODE,8,2,0,
tagCAUB,8,2,0,
tagCAUH,8,2,0,
tagCAUI,8,2,0,
tagCAUL,8,2,0,
tagCLIPDATA,12,3,0,
tagDDDEVICEIDENTIFIER,1064,8,0,
tagLOGFONTW,92,14,0,
tagMSG,28,6,0,
tagPALETTEENTRY,4,4,0,
tagPOINT,8,2,0,
tagPROPVARIANT,16,46,0,
tagRECT,16,4,0,
tagRGBQUAD,4,4,0,
tagSTATSTG,72,11,0,
tagTEXTMETRICW,60,20,0,
tagWNDCLASSW,40,10,0,
textButton,104,2,0,button
textEntryWidget,112,15,0,textWidget
textWidget,80,5,0,widget
town,352,29,5,
townManager,488,35,1,baseManager
townObject,48,12,0,
tree<ds_genericsample>,112,4,0,
tree<ds_memsample>,112,4,0,
tree<unsigned,112,4,0,
tree_desc_s,12,3,0,
type_AI_attack_hex_chooser,44,11,0,
type_AI_combat_data,48,11,0,
type_AI_combat_parameters,40,11,0,
type_AI_creature_purchaser,56,4,0,type_AI_creature_swapper
type_AI_creature_swapper,32,7,0,
type_AI_enemy_data,16,4,0,
type_AI_player,152,6,2,
type_AI_puzzle_tile,16,9,0,
type_AI_spellcaster,1040,14,0,
type_artifact,8,2,0,
type_artifact_offering,16,2,0,type_artifact
type_ballistics_traits,8,6,0,
type_bottom_view_window,48,0,0,TSubWindow
type_cell_adjuster,12,3,0,
type_creature_bank,104,5,0,
type_creature_bank_info,4,4,0,
type_creature_source,12,4,0,
type_creature_value,12,3,0,
type_dialog_resource,8,2,0,
type_doll_slot_definition,24,1,0,type_icon_definition
type_enchant_data,20,5,0,
type_garrison_base_window,104,4,0,CAdvPopup
type_garrison_purchaser,8,0,0,type_town_threat_checker
type_horde_effect,8,3,0,
type_monster_data,72,12,0,
type_monster_join_window,104,0,0,type_garrison_base_window
type_obscuring_object,24,8,0,
type_point,4,3,0,
type_pyramid_info,4,4,0,
type_record_shroud::type_shroud_change,8,2,0,type_point
type_sacrifice_window,532,32,0,CAdvPopup
type_skeleton_window,352,11,0,CAdvPopup
type_spell_choice,36,4,0,type_enchant_data
type_spellvalue,32,6,0,
type_town_threat_checker,8,1,0,
type_university,16,1,0,
type_university_info,4,3,0,
type_university_window,232,9,0,CAdvPopup
wavfile,292,7,0,
widget,52,16,1,
windowConfig,16,4,0,
z_stream_s,56,14,0,
