# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
offset,cb,kind,name,module,file,line,debug_start,debug_end,params,locals
0x19c3b8,560,global,heroWindowManager::FadeFromBlack,winmgr.obj,E:\gamedcs\winmgr.cpp,1866,26,502,2,9
0x19c5e8,8,global,Bitmap816::GetPalette,winmgr.obj,E:\gamedcs\Bitmap816.h,73,0,2,1,0
0x19c5f0,14,global,Bitmap816::GetMap,winmgr.obj,E:\gamedcs\Bitmap816.h,104,0,10,3,0
0x198870,40,static,$E471,wingraph.obj,E:\gamedcs\terrain.h,70,4,32,0,0
0x198898,16,static,$E472,wingraph.obj,E:\gamedcs\terrain.h,70,4,8,0,0
0x1988a8,40,static,$E474,wingraph.obj,E:\gamedcs\terrain.h,71,4,32,0,0
0x1988d0,16,static,$E475,wingraph.obj,E:\gamedcs\terrain.h,71,4,8,0,0
0x1988e0,40,static,$E477,wingraph.obj,E:\gamedcs\terrain.h,72,4,32,0,0
0x198908,16,static,$E478,wingraph.obj,E:\gamedcs\terrain.h,72,4,8,0,0
0x198918,40,static,$E480,wingraph.obj,E:\gamedcs\terrain.h,73,4,32,0,0
0x198940,16,static,$E481,wingraph.obj,E:\gamedcs\terrain.h,73,4,8,0,0
0x198950,40,static,$E483,wingraph.obj,E:\gamedcs\terrain.h,74,4,32,0,0
0x198978,16,static,$E484,wingraph.obj,E:\gamedcs\terrain.h,74,4,8,0,0
0x198988,40,static,$E486,wingraph.obj,E:\gamedcs\terrain.h,75,4,32,0,0
0x1989b0,16,static,$E487,wingraph.obj,E:\gamedcs\terrain.h,75,4,8,0,0
0x1989c0,40,static,$E489,wingraph.obj,E:\gamedcs\terrain.h,76,4,32,0,0
0x1989e8,16,static,$E490,wingraph.obj,E:\gamedcs\terrain.h,76,4,8,0,0
0x1989f8,40,static,$E492,wingraph.obj,E:\gamedcs\terrain.h,77,4,32,0,0
0x198a20,16,static,$E493,wingraph.obj,E:\gamedcs\terrain.h,77,4,8,0,0
0x198a30,40,static,$E495,wingraph.obj,E:\gamedcs\terrain.h,78,4,32,0,0
0x198a58,16,static,$E496,wingraph.obj,E:\gamedcs\terrain.h,78,4,8,0,0
0x198a68,40,static,$E498,wingraph.obj,E:\gamedcs\terrain.h,79,4,32,0,0
0x198a90,16,static,$E499,wingraph.obj,E:\gamedcs\terrain.h,79,4,8,0,0
0x198aa0,22,static,$E502,wingraph.obj,E:\gamedcs\wingraph.cpp,37,4,14,0,0
0x198ab8,20,static,$E503,wingraph.obj,E:\gamedcs\wingraph.cpp,37,4,12,0,0
0x198acc,20,static,$E504,wingraph.obj,E:\gamedcs\wingraph.cpp,37,4,12,0,0
0x198ae0,20,static,$E505,wingraph.obj,E:\gamedcs\wingraph.cpp,37,4,12,0,0
0x198af4,38,global,SetPlayerPaletteColors,wingraph.obj,E:\gamedcs\wingraph.cpp,72,6,30,2,0
0x198b1c,42,global,SetPlayerPaletteColors,wingraph.obj,E:\gamedcs\wingraph.cpp,83,6,34,2,0
