# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
class,offset,type,name
BINKSUMMARY,80,T_ULONG(0022),Slowest2FrameNum
BINKSUMMARY,84,T_ULONG(0022),AverageDataRate
BINKSUMMARY,88,T_ULONG(0022),AverageFrameSize
BINKSUMMARY,92,T_ULONG(0022),HighestMemAmount
BINKSUMMARY,96,T_ULONG(0022),TotalIOMemory
BINKSUMMARY,100,T_ULONG(0022),HighestIOUsed
BINKSUMMARY,104,T_ULONG(0022),Highest1SecRate
BINKSUMMARY,108,T_ULONG(0022),Highest1SecFrame
BinkManager::BinkManagerStruct,0,0x5549,bink
BinkManager::BinkManagerStruct,4,0x5549,bink2
BinkManager::BinkManagerStruct,8,T_32PUSHORT(0421),screen
BinkManager::BinkManagerStruct,12,T_INT4(0074),pitch
BinkManager::BinkManagerStruct,16,T_INT4(0074),height
BinkManager::BinkManagerStruct,20,T_INT4(0074),x
BinkManager::BinkManagerStruct,24,T_INT4(0074),y
BinkManager::BinkManagerStruct,28,T_INT4(0074),w
BinkManager::BinkManagerStruct,32,T_INT4(0074),h
BinkManager::BinkManagerStruct,36,T_INT4(0074),id
BinkManager::BinkManagerStruct,40,T_INT4(0074),loop
BinkManager::BinkManagerStruct,44,T_INT4(0074),paused
Bitmap16Bit,28,T_INT4(0074),DataSize
Bitmap16Bit,32,T_INT4(0074),ImageSize
Bitmap16Bit,36,T_INT4(0074),Width
Bitmap16Bit,40,T_INT4(0074),Height
Bitmap16Bit,44,T_INT4(0074),Pitch
Bitmap16Bit,48,T_32PUSHORT(0421),map
Bitmap16Bit,52,_DDSURFACEDESC2,ddsd
Bitmap16Bit,176,0x1073,ddsurf
Bitmap16Bit,180,T_UCHAR(0020),referenced
Bitmap816,28,T_INT4(0074),DataSize
Bitmap816,32,T_INT4(0074),ImageSize
Bitmap816,36,T_INT4(0074),Width
Bitmap816,40,T_INT4(0074),Height
Bitmap816,44,T_INT4(0074),Pitch
Bitmap816,48,T_32PUCHAR(0420),map
Bitmap816,52,_DDSURFACEDESC2,ddsd
Bitmap816,176,0x1E2F,ddsurf
Bitmap816,180,0x17D0,Palette
Bitmap816,184,0x2400,Palette24
Bitmap8Bit,28,T_INT4(0074),DataSize
Bitmap8Bit,32,T_INT4(0074),ImageSize
Bitmap8Bit,36,T_INT4(0074),Width
Bitmap8Bit,40,T_INT4(0074),Height
Bitmap8Bit,44,T_32PUCHAR(0420),map
Bitmap8Bit,48,TPalette24,palette
BlackBoxData,72,T_UCHAR(0020),HasCustomTreasure
BlackBoxData,76,T_INT4(0074),ExperienceBonus
BlackBoxData,80,T_INT4(0074),ManaBonus
BlackBoxData,84,T_RCHAR(0070),MoraleBonus
BlackBoxData,85,T_RCHAR(0070),LuckBonus
BlackBoxData,88,0x1BF8,ResQty
BlackBoxData,116,0x25B1,PrimarySkillBonus
BlackBoxData,120,"std::vector<SecondarySkillData,std::allocator<SecondarySkillData>",SecondarySkills
BlackBoxData,132,std::vector<enum,Artifacts
BlackBoxData,144,std::vector<enum,Spells
BlackBoxData,156,armyGroup,Creatures
BlackBoxInfo,0,0x2F63,index
Buffer,0,T_ULONG(0022),offset
Buffer,4,T_ULONG(0022),bufCount
Buffer,8,T_32PUCHAR(0420),saveBuf
Buffer,12,T_ULONG(0022),bufStart
Buffer,16,T_ULONG(0022),bufSize
CAdvPopup,76,T_INT4(0074),exitId
CAdvPopup,80,T_INT4(0074),exitCodeX
CAdvPopup,84,T_INT4(0074),exitCommand
CAnimatedDlg,80,T_ULONG(0022),m_lastTick
CAnimatedDlg,84,T_INT4(0074),m_spriteX
CAnimatedDlg,88,T_INT4(0074),m_spriteY
CAnimatedDlg,92,T_INT4(0074),m_spriteFrame
CAnimatedDlg,96,T_INT4(0074),m_seq
CAnimatedDlg,100,0x1001,m_sSprite
CAnimatedDlg,104,T_UCHAR(0020),m_palUpdated
CAnimatedDlg,108,0x1A63,m_pSprite
CAutoArray<CDPlayAddressElement>,4,T_ULONG(0022),step
CAutoArray<CDPlayAddressElement>,8,T_32PULONG(0422),pArray
CAutoArray<CDPlayAddressElement>,12,T_ULONG(0022),allocSize
CAutoArray<CDPlayAddressElement>,16,T_ULONG(0022),size
CAutoArray<CDPlayConnection>,4,T_ULONG(0022),step
CAutoArray<CDPlayConnection>,8,T_32PULONG(0422),pArray
CAutoArray<CDPlayConnection>,12,T_ULONG(0022),allocSize
CAutoArray<CDPlayConnection>,16,T_ULONG(0022),size
CAutoArray<CDPlayGroup>,4,T_ULONG(0022),step
CAutoArray<CDPlayGroup>,8,T_32PULONG(0422),pArray
CAutoArray<CDPlayGroup>,12,T_ULONG(0022),allocSize
CAutoArray<CDPlayGroup>,16,T_ULONG(0022),size
CAutoArray<CDPlayPlayer>,4,T_ULONG(0022),step
CAutoArray<CDPlayPlayer>,8,T_32PULONG(0422),pArray
CAutoArray<CDPlayPlayer>,12,T_ULONG(0022),allocSize
CAutoArray<CDPlayPlayer>,16,T_ULONG(0022),size
CAutoArray<CDPlaySession>,4,T_ULONG(0022),step
CAutoArray<CDPlaySession>,8,T_32PULONG(0422),pArray
CAutoArray<CDPlaySession>,12,T_ULONG(0022),allocSize
CAutoArray<CDPlaySession>,16,T_ULONG(0022),size
CBadVersionMsg,20,0x248F,m_version
CBadVersionMsg,40,0x2563,m_errText
CChatManager,0,0x3DDA,msgArray
CChatManager,4,T_INT4(0074),currMsg
CChatManager,8,T_INT4(0074),msgCount
CChatManager,12,T_32PRCHAR(0470),widgetText
CChatManager,16,T_ULONG(0022),pauseTime
CChatManager,20,T_UCHAR(0020),changed
CChatManager,24,0x1744,lastWidget
CChatManager,28,T_INT4(0074),maxLines
CChatManager,32,T_INT4(0074),position
CChatManager,36,T_UCHAR(0020),chatKilled
CChatManager,37,T_UCHAR(0020),isSysMsg
CChatManager,40,0x1C9B,g_chatSample
CChatManager,44,0x1C9B,g_playerDropSample
CChatManager,48,0x1C9B,g_sysMsgSample
CChatManager,52,0x1C9B,g_turnDurSample
CChatManager,56,0x1C9B,g_playerEnterSample
CChatManager::CChatStr,0,0x256D,sText
CChatManager::CChatStr,128,T_ULONG(0022),killTime
CChatManager::CChatStr,132,T_UCHAR(0020),isSystem
CChatMsg,20,0x256D,m_sMsg
CClickMsg,20,T_INT4(0074),m_widgetId
CCombatInitMsg,20,type_point,m_point
CCombatInitMsg,24,T_UCHAR(0020),m_leftHero
CCombatInitMsg,25,T_UCHAR(0020),m_rightTown
CCombatInitMsg,26,T_UCHAR(0020),m_rightHero
CCombatInitMsg,28,T_INT4(0074),m_seed
CCombatInitMsg,32,T_INT4(0074),m_winner
CCombatInitMsg,36,T_UCHAR(0020),m_retreatWin
CCombatInitMsg,37,T_UCHAR(0020),m_combatSurrender
CCombatInitMsg,40,T_INT4(0074),m_leftOwner
CCombatInitMsg,44,T_INT4(0074),m_leftGold
CCombatInitMsg,48,T_INT4(0074),m_rightOwner
CCombatInitMsg,52,T_INT4(0074),m_rightGold
CCombatInitMsg,56,armyGroup,m_leftArmyGroup
CCombatInitMsg,112,armyGroup,m_rightArmyGroup
CCombatInitMsg,168,town,m_town
CCombatInitMsg,520,hero,m_leftHeroData
CCombatInitMsg,1660,hero,m_rightHeroData
CCombatMainMsg,20,T_INT4(0074),m_nextAction
