# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
seg,offset,scope,type,name,module
3,0x1afa8,static,T_INT4(0074),indexToCastOn,spells.obj
3,0x1afac,static,T_INT4(0074),army_hex,spells.obj
3,0x1afb0,static,T_INT4(0074),previous_hex,spells.obj
3,0x1afb8,static,T_INT4(0074),previous_hex,spells.obj
3,0x1afb4,static,T_INT4(0074),destination_hex,spells.obj
2,0x5d4c,static,0x1F10,radius,spells.obj
2,0x5d5c,static,0x1F10,max_affected,spells.obj
2,0x5d6c,static,0x206F,iOff,spells.obj
3,0x32a04,static,0x20CA,aDescAutoStrs,spelldefs.obj
3,0x32f04,static,0x20CB,aNameAutoStrs,spelldefs.obj
3,0x328c4,static,0x20CB,aAbbNameAutoStrs,spelldefs.obj
3,0x17de4,static,0x20D3,level_strings,spellbookwindow.obj
2,0x59d0,static,0x20D5,level_sprites,spellbookwindow.obj
2,0x59f4,static,0x2116,tab_id_offset_map,spellbookwindow.obj
2,0x59e0,static,0x2116,tab_map,spellbookwindow.obj
3,0x17aec,global,T_NOTYPE(0000),`string',smackmgr.obj
3,0x327e8,static,T_INT4(0074),RedBits,smackmgr.obj
3,0x327ec,static,T_INT4(0074),RedShift,smackmgr.obj
3,0x316dc,global,0x227F,SoundHeader,smackmgr.obj
3,0x17ae0,static,T_INT4(0074),insideNextFrame,smackmgr.obj
3,0x316e0,global,0x227F,SoundHeaderCD,smackmgr.obj
3,0x327f0,static,T_INT4(0074),BlueShift,smackmgr.obj
3,0x17ae8,global,T_UCHAR(0020),SmackManager::PlayingSmacker,smackmgr.obj
3,0x327f4,static,T_UCHAR(0020),bSmackNum,smackmgr.obj
3,0x327f8,static,T_INT4(0074),gbPlayedThrough,smackmgr.obj
3,0x17ae4,static,T_INT4(0074),bSmackSound,smackmgr.obj
3,0x327fc,global,T_UCHAR(0020),SmackManager::updateScreen,smackmgr.obj
3,0x32800,global,T_UCHAR(0020),SmackManager::needsUpdate,smackmgr.obj
3,0x32804,static,T_UCHAR(0020),bMainDone,smackmgr.obj
3,0x17ad4,global,T_INT4(0074),videoPauseStack,smackmgr.obj
3,0x16be8,global,T_32PVOID(0403),SoundFileCD,smackmgr.obj
3,0x2e3b8,global,0x230B,gpSoundManager,smackmgr.obj
3,0x16be4,global,T_32PVOID(0403),SoundFile,smackmgr.obj
3,0x32808,global,0x2316,AnimHeader,smackmgr.obj
3,0x3280c,static,T_INT4(0074),GreenBits,smackmgr.obj
3,0x17adc,global,T_32PVOID(0403),AnimFile,smackmgr.obj
3,0x17ad8,global,T_32PVOID(0403),VideoFile,smackmgr.obj
3,0x32810,static,T_INT4(0074),BlueBits,smackmgr.obj
3,0x32814,global,T_INT4(0074),numVideo,smackmgr.obj
3,0x32818,global,T_INT4(0074),numAnim,smackmgr.obj
3,0x3281c,static,T_INT4(0074),GreenShift,smackmgr.obj
3,0x32820,global,0x2316,VideoHeader,smackmgr.obj
3,0x17a90,global,T_NOTYPE(0000),`string',slider.obj
3,0x17a9c,global,T_NOTYPE(0000),`string',slider.obj
3,0x16df4,global,0x184E,`string',slider.obj
3,0x17aa8,global,0x184E,`string',slider.obj
3,0x17ab8,global,T_NOTYPE(0000),`string',slider.obj
3,0x17ac4,global,0x184E,`string',slider.obj
3,0x2e250,global,0x2404,gpMouseManager,slider.obj
3,0x17a8c,static,T_INT4(0074),iLeftRightSave,slider.obj
3,0x2e270,global,0x241D,gpWindowManager,slider.obj
3,0x2e4d8,global,0x241E,gpInputManager,slider.obj
2,0x5998,global,T_NOTYPE(0000),slider::`vftable',slider.obj
3,0x2dab4,global,0x244F,glTimers,slider.obj
3,0x1709c,static,T_INT4(0074),lastIMHoverID,singleselectionwindow.obj
3,0x170a0,static,T_INT4(0074),lastIMHoverID,singleselectionwindow.obj
3,0x31b48,static,0x182E,SeerNameCounter,seerhut.obj
2,0x5274,static,0x2713,row_start,sacrifice_window.obj
2,0x529c,static,0x2714,row_size,sacrifice_window.obj
2,0x51e4,static,0x2715,slot_definitions,sacrifice_window.obj
3,0x16c78,static,0x2718,const_source_sizes,sacrifice_window.obj
3,0x16c88,static,0x2718,const_creature_offerings,sacrifice_window.obj
3,0x16c68,static,0x2718,const_creature_sources,sacrifice_window.obj
3,0xb5c,static,0x100B,$S439,ResSw.obj
3,0x31a50,global,T_SHORT(0011),SCREEN_HEIGHT,ResSw.obj
3,0x31a54,global,T_SHORT(0011),SCREEN_WIDTH,ResSw.obj
3,0x31a58,global,T_SHORT(0011),MAX_SCREEN_Y,ResSw.obj
3,0x31a5c,global,T_SHORT(0011),MAX_SCREEN_X,ResSw.obj
2,0x51e0,global,T_NOTYPE(0000),ResolutionSwitch::`vftable',ResSw.obj
3,0x31a60,global,0x286E,ResSw,ResSw.obj
3,0x16c20,static,T_INT4(0074),count,resourcemanager.obj
3,0x16c24,static,T_INT4(0074),count,resourcemanager.obj
2,0x51a4,static,0x293D,slot_order,resourcedisplay.obj
2,0x51c0,static,0x293D,slot_order,resourcedisplay.obj
2,0x51a0,global,T_NOTYPE(0000),resource::`vftable',resource.obj
3,0x16794,static,T_UCHAR(0020),__inside__,remote.obj
3,0x16798,static,T_ULONG(0022),lastActiveUpdate,remote.obj
3,0xf30,global,T_NOTYPE(0000),`string',remote.obj
3,0x1679c,global,T_NOTYPE(0000),`string',remote.obj
3,0x1388c,global,T_NOTYPE(0000),`string',remote.obj
3,0x167a8,global,T_NOTYPE(0000),`string',remote.obj
3,0x167d8,global,T_NOTYPE(0000),`string',remote.obj
3,0x167f4,global,T_NOTYPE(0000),`string',remote.obj
3,0x1680c,global,0x16C5,`string',remote.obj
3,0x1682c,global,0x16C5,`string',remote.obj
3,0x1684c,global,T_NOTYPE(0000),`string',remote.obj
3,0x16858,global,0x184E,`string',remote.obj
3,0x16868,global,T_NOTYPE(0000),`string',remote.obj
3,0x16874,global,0x184E,`string',remote.obj
3,0x16884,global,0x184E,`string',remote.obj
3,0x159ec,global,T_NOTYPE(0000),`string',remote.obj
3,0x16894,global,0x2D13,`string',remote.obj
3,0x16898,global,0x25B1,`string',remote.obj
