# every stored comment (HD-pressing addresses); kind r=repeatable, n=normal.
hd_va,kind,text
0x401bad,n,normal
0x401bb3,n,id
0x401bb5,n,h
0x401bb7,n,w
0x401bb9,n,y
0x401bbe,n,x
0x401bc3,n,this
0x401bd7,n,a4
0x401bd8,n,count
0x401bda,n,pos
0x401bdb,n,this
0x401c09,n,allocation_size
0x401c1e,n,style
0x401c26,n,image
0x401c28,n,id
0x401c29,n,h
0x401c2b,n,w
0x401c2d,n,y
0x401c2e,n,x
0x401c33,n,this
0x401c47,n,a4
0x401c4d,n,count
0x401c4f,n,pos
0x401c50,n,this
0x401c80,n,allocation_size
0x401c95,n,style
0x401c9d,n,image
0x401c9f,n,id
0x401ca0,n,h
0x401ca2,n,w
0x401ca4,n,y
0x401ca5,n,x
0x401caa,n,this
0x401cbe,n,a4
0x401cc4,n,count
0x401cc6,n,pos
0x401cc7,n,this
0x401cf5,n,allocation_size
0x401d0a,n,style
0x401d0c,n,back_color
0x401d0e,n,flipped
0x401d10,n,sequence
0x401d12,n,frame
0x401d19,n,id
0x401d1a,n,h
0x401d1c,n,w
0x401d1e,n,y
0x401d1f,n,x
0x401d24,n,this
0x401d38,n,a4
0x401d39,n,count
0x401d3b,n,pos
0x401d3c,n,this
0x401d65,n,allocation_size
0x401d7a,n,style
0x401d7c,n,back_color
0x401d7e,n,flipped
0x401d80,n,sequence
0x401d82,n,frame
0x401d89,n,id
0x401d8a,n,h
0x401d8c,n,w
0x401d8e,n,y
0x401d8f,n,x
0x401d94,n,this
0x401da8,n,a4
0x401da9,n,count
0x401dab,n,pos
0x401dac,n,this
0x401dc4,n,allocation_size
0x401dd9,n,style
0x401ddb,n,hotkey
0x401ddd,n,end
0x401ddf,n,selected
0x401de1,n,normal
0x401de8,n,id
0x401dea,n,h
0x401dec,n,w
0x401dee,n,y
0x401df3,n,x
0x401df8,n,this
0x401e0c,n,a4
0x401e0d,n,count
0x401e0f,n,pos
0x401e10,n,this
0x401e1b,n,allocation_size
0x401e30,n,style
0x401e32,n,hotkey
0x401e34,n,end
0x401e36,n,selected
0x401e38,n,normal
0x401e3f,n,id
0x401e41,n,h
0x401e43,n,w
0x401e45,n,y
