# NH3API v2.1 IDB functions; hd_va is the HD pressing; retail_rva only where the hdmap
# masked-identity bridge lands (crossbuild-verified correspondence, name still external).
hd_va,name,readable,prototype,retail_rva
0x403560,?UpdateHeroLocator@TAdventureMapWindow@@QAAXH_N0@Z,TAdventureMapWindow_UpdateHeroLocator,"void (__thiscall ?UpdateHeroLocator@TAdventureMapWindow@@QAAXH_N0@Z)(TAdventureMapWindow* this, int iWhich, bool drawWinSect, bool updateFlag)",0x3560
0x4037a0,?UpdateTownLocator@TAdventureMapWindow@@QAAXH_N0@Z,TAdventureMapWindow_UpdateTownLocator,"void (__thiscall ?UpdateTownLocator@TAdventureMapWindow@@QAAXH_N0@Z)(TAdventureMapWindow* this, int iWhich, bool drawWinSect, bool updateFlag)",0x37a0
0x4038c0,?HighlightLocators@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_HighlightLocators,"void (__thiscall ?HighlightLocators@TAdventureMapWindow@@QAAX_N@Z)(TAdventureMapWindow* this, bool update)",0x38c0
0x4039b0,?UpdateQuestLogButton@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_UpdateQuestLogButton,"void (__thiscall ?UpdateQuestLogButton@TAdventureMapWindow@@QAAX_N@Z)(TAdventureMapWindow* this, bool update)",0x39b0
0x403ba0,?UpdateSleepButton@TAdventureMapWindow@@QAAXPBVhero@@@Z,TAdventureMapWindow_UpdateSleepButton,"void (__thiscall ?UpdateSleepButton@TAdventureMapWindow@@QAAXPBVhero@@@Z)(TAdventureMapWindow* this, hero* this_hero)",0x3ba0
0x403bf0,?UpdateSpellButton@TAdventureMapWindow@@QAAXPBVhero@@@Z,TAdventureMapWindow_UpdateSpellButton,"void (__thiscall ?UpdateSpellButton@TAdventureMapWindow@@QAAXPBVhero@@@Z)(TAdventureMapWindow* this, hero* this_hero)",0x3bf0
0x403c40,?SetElevationToggleImage@TAdventureMapWindow@@QAA_NH@Z,TAdventureMapWindow_SetElevationToggleImage,"bool (__thiscall ?SetElevationToggleImage@TAdventureMapWindow@@QAA_NH@Z)(TAdventureMapWindow* this, int level)",0x3c40
0x403cc0,?SetSleepImage@TAdventureMapWindow@@QAAXH@Z,TAdventureMapWindow_SetSleepImage,"void (__thiscall ?SetSleepImage@TAdventureMapWindow@@QAAXH@Z)(TAdventureMapWindow* this, int image)",0x3cc0
0x403ee0,?ClearBottomView@TAdventureMapWindow@@QAAXXZ,TAdventureMapWindow_ClearBottomView,void (__thiscall ?ClearBottomView@TAdventureMapWindow@@QAAXXZ)(TAdventureMapWindow* this),0x3ee0
0x403f00,?UpdateResourceDisplay@TAdventureMapWindow@@QAAX_N0@Z,TAdventureMapWindow_UpdateResourceDisplay,"void (__thiscall ?UpdateResourceDisplay@TAdventureMapWindow@@QAAX_N0@Z)(TAdventureMapWindow* this, bool draw, bool update)",0x3f00
0x403f20,?DrawChatText@TAdventureMapWindow@@QAAX_N@Z,TAdventureMapWindow_DrawChatText,"void (__thiscall ?DrawChatText@TAdventureMapWindow@@QAAX_N@Z)(TAdventureMapWindow* this, bool update)",0x3f20
0x403f60,?UpdateButtons@TAdventureMapWindow@@QAAX_N0@Z,TAdventureMapWindow_UpdateButtons,"void (__thiscall ?UpdateButtons@TAdventureMapWindow@@QAAX_N0@Z)(TAdventureMapWindow* this, bool draw, bool update)",0x3f60
0x4040b0,TAdventureMapWindow::sleep,,"void (__thiscall TAdventureMapWindow::sleep)(TAdventureMapWindow* this, bool arg)",
0x4040f0,??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,std_D_DU_char_traits_basic_string_dtor,void (__thiscall ??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ)(std::string* this),
0x404130,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,std_D_DU_char_traits_basic_string_Tidy,"void (__thiscall ?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z)(std::string* this, bool destroy)",
0x404180,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,std_D_DU_char_traits_basic_string_assign,"std::string* (__thiscall ?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z)(std::string* this, int8* src, unsigned int num)",
0x404230,?set_hotkey@button@@QAAXH@Z,button_set_hotkey,"void (__thiscall ?set_hotkey@button@@QAAXH@Z)(button* this, int key)",0x4200
0x404440,std::_Xpos,,,
0x404510,??0logic_error@std@@QAE@ABV01@@Z,std_logic_error_ctor,"std::length_error* (__thiscall ??0logic_error@std@@QAE@ABV01@@Z)(std::length_error* this, std::length_error* other)",
0x404670,j_?_Doraise@logic_error@std@@MBEXXZ,,void (__thiscall j_?_Doraise@logic_error@std@@MBEXXZ)(std::logic_error* this),
0x404690,?_Doraise@out_of_range@std@@MBEXXZ,std_out_of_range_Doraise,void (__thiscall ?_Doraise@out_of_range@std@@MBEXXZ)(std::out_of_range* this),
0x4046b0,??0out_of_range@std@@QAE@ABV01@@Z,std_out_of_range_ctor,"std::exception* (__thiscall ??0out_of_range@std@@QAE@ABV01@@Z)(std::exception* this, std::out_of_range* src)",
0x404810,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z,std_D_DU_char_traits_basic_string_append,"std::string* (__thiscall ?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z)(std::string* this, std::string* str, uint subpos, uint sublen)",
0x404a20,?_Eos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,std_D_DU_char_traits_basic_string_Eos,"void (__thiscall ?_Eos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z)(std::string* this, uint _X)",
0x404a40,?_Grow@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAE_NI_N@Z,std_D_DU_char_traits_basic_string_Grow,"bool (__thiscall ?_Grow@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAE_NI_N@Z)(std::string* this, unsigned int N, bool Trim)",
0x404b70,?max_size@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ,std_D_DU_char_traits_basic_string_max_size,uint (__thiscall ?max_size@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ)(std::string* this),
0x404b80,?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,std_D_DU_char_traits_basic_string_Copy,"void (__thiscall ?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z)(std::string* this, unsigned int _N)",
