# every name in the IDB (HD-pressing addresses).
hd_va,kind,name,readable
0x404a20,mangled,?_Eos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,std_D_DU_char_traits_basic_string_Eos
0x404a40,mangled,?_Grow@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAE_NI_N@Z,std_D_DU_char_traits_basic_string_Grow
0x404b70,mangled,?max_size@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ,std_D_DU_char_traits_basic_string_max_size
0x404b80,mangled,?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,std_D_DU_char_traits_basic_string_Copy
0x404c90,mangled,?_Split@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXXZ,std_D_DU_char_traits_basic_string_Split
0x404d70,user,init_bitset_404D70,
0x404d90,user,init_bitset_404D90,
0x404df0,user,init_bitset_404DF0,
0x404e50,user,init_bitset_404E50,
0x404ec0,user,init_bitset_404EC0,
0x404f20,user,init_bitset_404F20,
0x404f80,user,init_bitset_404F80,
0x404fe0,user,init_bitset_404FE0,
0x405040,user,init_bitset_405040,
0x4050a0,user,init_bitset_4050A0,
0x405100,user,init_bitset_405100,
0x405160,mangled,??0TAdventureOptionsWindow@@QAA@XZ,TAdventureOptionsWindow_ctor
0x405610,mangled,?handle_message@CHeroWindowEx@@UAAHAAUmessage@@@Z,CHeroWindowEx_handle_message
0x405620,mangled,??_GTAdventureOptionsWindow@@UAAPAXI@Z,op_GTAdventureOptionsWindow
0x405650,mangled,??1TAdventureOptionsWindow@@UAA@XZ,TAdventureOptionsWindow_dtor
0x4056c0,mangled,?WindowHandler@TAdventureOptionsWindow@@UAAHAAUmessage@@@Z,TAdventureOptionsWindow_WindowHandler
0x405716,user,b405894_case_Item1,
0x40571a,user,b405894_case_Item2,
0x405721,user,b405894_case_Item3,
0x405728,user,b405894_case_Item4,
0x40572f,user,b405894_case_Item5,
0x405760,user,def_40570F,
0x40586c,user,def_405807,
0x405894,user,jpt_40570F,
0x4058a8,user,jpt_405807,
0x4058c0,user,init_bitset_4058C0,
0x4058e0,user,init_bitset_4058E0,
0x405940,user,init_bitset_405940,
0x4059a0,user,init_bitset_4059A0,
0x405a10,user,init_bitset_405A10,
0x405a70,user,init_bitset_405A70,
0x405ad0,user,init_bitset_405AD0,
0x405b30,user,init_bitset_405B30,
0x405b90,user,init_bitset_405B90,
0x405bf0,user,init_bitset_405BF0,
0x405c50,user,init_bitset_405C50,
0x405cb0,mangled,?InitializeCreatureGeneratorNames@@YA_NXZ,InitializeCreatureGeneratorNames
0x405d10,mangled,?InitializeExtraInfoText@@YA_NXZ,InitializeExtraInfoText
0x405d40,user,init_405D40,
