# ??_7 vtable names (HD-pressing addresses).
hd_va,name,class
0x640704,??_7TQuickTownWindow@@6B@,TQuickTownWindow
0x6409dc,??_7type_random_map@@6B@,type_random_map
0x640a84,??_7type_object@@6B@,type_object
0x640a94,??_7type_monster@@6B@,type_monster
0x640b74,??_7type_treasure_def@@6B@,type_treasure_def
0x640b80,??_7type_artifact_def@@6B@,type_artifact_def
0x640b8c,??_7type_black_box_creature_def@@6B@,type_black_box_creature_def
0x640b98,??_7type_black_box_experience_def@@6B@,type_black_box_experience_def
0x640ba4,??_7type_black_box_gold_def@@6B@,type_black_box_gold_def
0x640bb0,??_7type_black_box_spells_def@@6B@,type_black_box_spells_def
0x640bc8,??_7type_map_dwelling_def@@6B@,type_map_dwelling_def
0x640bd4,??_7type_resource_lump_def@@6B@,type_resource_lump_def
0x640be0,??_7type_prison_def@@6B@,type_prison_def
0x640bec,??_7type_scholar_def@@6B@,type_scholar_def
0x640bf8,??_7type_shrine_def@@6B@,type_shrine_def
0x640c04,??_7type_witch_hut_def@@6B@,type_witch_hut_def
0x640c10,??_7type_quest_creature_def@@6B@,type_quest_creature_def
0x640c1c,??_7type_quest_experience_def@@6B@,type_quest_experience_def
0x640c28,??_7type_quest_gold_def@@6B@,type_quest_gold_def
0x640c34,??_7type_spell_scroll_def@@6B@,type_spell_scroll_def
0x640c40,??_7type_key_tent_def@@6B@,type_key_tent_def
0x640c4c,??_7t_abstract_random_generator@@6B@,t_abstract_random_generator
0x640c54,??_7type_random_map_generator@@6B@,type_random_map_generator
0x640c5c,??_7TRecruitWindow@@6B@,TRecruitWindow
0x640c80,??_7recruitUnit@@6B@,recruitUnit
0x640c8c,??_7TRecruitQuickWindow@@6B@,TRecruitQuickWindow
0x640d14,??_7CDPlayHeroes@@6B@,CDPlayHeroes
0x640e40,??_7CChatEdit@@6B@,CChatEdit
0x640ea4,??_7CAnimatedDlg@@6B@,CAnimatedDlg
0x640f14,??_7CNetMsgHandlerPause@@6B@,CNetMsgHandlerPause
0x640f24,??_7CNetMsgHandler@@6B@,CNetMsgHandler
0x640f34,??_7?$CAutoArray@VCDPlayPlayer@@@@6B@,?$CAutoArray@VCDPlayPlayer
0x640f50,??_7CWaitForRemoteBattleDlg@@6B@,CWaitForRemoteBattleDlg
0x640fcc,??_7CGameTransferDlg@@6B@,CGameTransferDlg
0x64100c,??_7resource@@6B@,resource
0x641034,??_7TResourceDisplay@@6B@,TResourceDisplay
