# GENERATED by full `homm3 build`. Do not hand-edit.
# retail_va	unit	mac_section	mac_offset	cur	max	hist	source_hash
0x004e51c0	hero	0	0x106188	100.0000	100.0000	100.0000	6a9f1ee42afa60cea10697281de1ce9a2309edb3845ba358dae7c0e11fac6858
0x004e56e0	hero	0	0x10671c	100.0000	100.0000	100.0000	9eabd2cd6fcca8525e0bfe003798d1829967a22abd9d44030b9b7f346225b5e9
0x004f0490	kb	0	0x11171c	91.1017	91.1017	91.1017	8db7d3da2a03ec856de1d74f0c20c41c8bd081c17521c4045b205bf905bdb292
0x004f15e0	kb	0	0x113208	18.8998	18.8998	18.9179	f701bd2aa2acd9f191784261e62b7582629142263db2302d3ea6a97b820a9d42
0x004f2960	kb	0	0x114924	43.2773	43.2773	43.2773	f6514bf32bec97e63e42bc97e161eafb74b3431c44c16899d7e965c0988c57df
0x004f3f60	kb	0	0x115c34	19.2647	19.2647	19.2647	ac9ae4462f94be2fced339f907d9146ada6ffeb20f0d6c467984d54c80f1ab40
0x004f4ba0	kb	0	0x1163f0	100.0000	100.0000	100.0000	b7e792aae57abb9e9cf501de794f73f86dea5afeefa4102f2566f552dece7101
0x004f4eb0	kb	0	0x1167a0	51.1989	51.1989	51.1989	5d3532b555a9a23a1753dd4bc3b17d50ee24456186468c02e5de223553672c5f
0x004f5d80	kb	0	0x117220	13.1111	13.1111	13.1111	804cf17616d22c90b02d25a3edb2c46dc30c10843d203108d10049bd299d4073
0x004f6570	kb	0	0x117f10	23.9051	23.9051	23.9051	e444e667d9fc7741de78cea61c72e103ead7f66c0ae2355f1721e3b90d86c329
0x004f7690	kb	0	0x1194d8	23.6577	23.6577	23.6577	32c6e38557bca8449251aed548fd93a719a282e68ba98fbde93a7e543a8cc86c
0x005013b0	mapcell	0	0x123b10	64.0688	64.0688	64.0688	95fb273a30a9600b7dda8e637d3b5c53b36c8d7667ef70f848d62f1d869951c1
0x005042c0	mapcell	0	0x1270c0	94.7727	94.7727	94.7727	41c01dd26c463ceb5a324ff12fb378705149954223734bd21fe4e8012cc034c9
0x00524400	philai	0	0x13dce4	95.4545	95.4545	95.4545	dc19f7d818e11957a70c2a6d3437df935b3b87751d309287ce94c43dda5cd404
0x00524690	philai	0	0x13e158	98.2659	98.2659	99.1329	73b4c287a1be3bdc95698ebae656aa8a68edb348f509a1534c1d4052f36acbf2
0x00525120	philai	0	0x13f074	58.2386	58.2386	58.2386	1d7be6c4055cf79447cec532f61f9f0ea3595609d6d47862eb78f13b0fc7de64
0x005253d0	philai	0	0x13f8dc	95.5275	95.5275	95.5275	7870053dc8ee948dda12df2d7be17f051e7811d5cf48fdde2d5c4decfc7ba3c1
0x005261f0	philai	0	0x14057c	97.8507	97.8507	97.8507	c2e43bb99b43659fc28b3bddabb60cd3d809681bcf3b8564762249f4d84c3d1c
0x00527960	philai	0	0x141bf8	88.7019	88.7019	88.7019	f1190eed3a5a3450d2275554e0271b0daef0a1be2bd13345f265f2c94c896437
0x005503a0	recruit	0	0x14f46c	58.2210	58.2210	58.2210	c565a7dc0ee87a1994754974d4996d2d7ad560d5df938be23bde30dfa3942451
0x00551350	recruit	0	0x1507b8	100.0000	100.0000	100.0000	9078c2cbcd3336a98da5bf5704af7c51fd2c948d54f5ae619e3b744b4da564c5
0x00551460	recruit	0	0x15087c	100.0000	100.0000	100.0000	0b2f2a236ae8f2fb09122dabe1e054ce518faa9eadea5cd5735acd8e2b6bea6b
0x0055a250	resourcemanager	0	0x152924	68.3712	68.3712	68.3712	8f2de24556ec25c60f7e7249d0737688f7aa02dd36da074575788235da5b0fdc
0x0055c7b0	resourcemanager	0	0x153fcc	10.3846	10.3846	10.3846	23fff950c4c81d27dec7b323f1b7d919bc12d434a9720ae7bff861a59353a3f6
0x0055d070	resourcemanager	0	0x1546a0	91.9118	91.9118	91.9118	72198d69b23aee201191427dc0ccf67354e1e217115669dc6c5c037a644189d1
0x0056dd60	seerhut	0	0x165154	100.0000	100.0000	100.0000	87a33591101d1bd1cfb19cfe36fb2348216ff924f6d9758c4a93a34436da3577
0x005be600	town	0	0x1b3abc	21.8373	21.8373	21.8373	04a0cd51387c03d97b364a823235891325dca631e8351cde7ffebe7059d6983b
0x005bede0	town	0	0x1b43ac	40.4494	40.4494	40.4494	2ace0e632d8c0f554fdf3fbb7c056bcf8a75ab7f3186de2b906d68f409214b66
0x005c0400	town	0	0x1b5970	22.9779	22.9779	22.9779	58b07a47562e37cc293bbcc4476ab5f60cf398e958ada33fe014c64fbd838fd3
0x005c0d20	town	0	0x1b67f8	27.1845	27.1845	27.1845	72612dd8699c698321491a3dfce5040fd712384a462cd5b7e1f162d980345bf5
