# MANUALLY MANAGED - reviewed rows; hand-owned after admission.
# Every verified function span in the pinned PEF code section; names
# come from source MAC_ADDRESS claims, the runtime maps and glue map.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	size
0x24df8	0x22c
0x25024	0xdc
0x25100	0x2d4
0x253d4	0x170
0x25544	0x4bc
0x25a00	0x64
0x25a64	0x184
0x25be8	0xbc
0x25ca4	0x3c
0x25ce0	0x1c0
0x25ea0	0xcc
0x25f6c	0x10c
0x26078	0x15c
0x261d4	0x54
0x26228	0x140
0x26368	0x48
0x263b0	0x218
0x265c8	0x5c
0x26624	0x8
0x2662c	0x48c
0x26ab8	0x138
0x26bf0	0x64
0x26c54	0x130
0x26d84	0x64
0x26de8	0x110
0x26ef8	0xb4
0x26fac	0xb8
0x27064	0x12c
0x27190	0xc4
0x27254	0xc8
0x2731c	0x130
0x2744c	0x4c
0x27498	0xa0
0x27538	0x84
0x275bc	0xbc
0x27678	0xa8
0x27720	0x160
0x27880	0xd8
0x27958	0x114
0x27a6c	0xb8
0x27b24	0x64
0x27b88	0x3c0
0x27f48	0xa8
0x27ff0	0x140
0x28130	0x120
0x28250	0x74
0x282c4	0xf4
0x283b8	0x13c
0x284f4	0x84
0x28578	0x8c
0x28604	0x84
0x28688	0x124
0x287ac	0x2d0
0x28a7c	0x60
0x28adc	0x8
0x28ae4	0x14
0x28af8	0x4
0x28afc	0xf4
0x28bf0	0xdc
0x28ccc	0x130
0x28dfc	0x204
0x29000	0x158
0x29158	0x144
0x2929c	0x450
0x296ec	0x24
0x29710	0x80
0x29790	0x280
0x29a10	0xc4
0x29ad4	0xd0
0x29ba4	0x64
0x29c08	0x3a4
0x2a348	0x418
0x2a760	0x20
0x2a780	0x12c
0x2a8ac	0x128
0x2a9d4	0x14
0x2a9e8	0x38
0x2aa20	0x1c0
0x2abe0	0x238
0x2ae18	0x10
0x2ae28	0x1d0
0x2aff8	0x44
0x2b03c	0x1ac
0x2b1e8	0x8
0x2b1f0	0x10
0x2b200	0x38
0x2b238	0x4
0x2b23c	0x8
0x2b244	0xc0
0x2b304	0x68
0x2b36c	0x78
0x2b3e4	0x58
0x2b43c	0x704
0x2bb40	0x5c
0x2bb9c	0x8
0x2bba4	0x3a8
0x2bf4c	0x6e0
0x2c62c	0x1c4
0x2c7f0	0x1b0
0x2c9a0	0x38
0x2c9d8	0x2ac
0x2cc84	0x138
0x2cdbc	0x190
0x2cf4c	0xf0
0x2d03c	0x3a8
0x2d3e4	0x94
0x2d478	0x1bc
0x2d634	0x40
0x2d674	0x124
0x2d798	0x17c
0x2d914	0x1b8
0x2dacc	0x290
0x2dd5c	0x10c
0x2de68	0xf4
0x2df5c	0x13c
0x2e098	0x11c
0x2e1b4	0x284
0x2e438	0x148
0x2e580	0x424
0x2e9a4	0x124
0x2eac8	0x290
0x2ed58	0x420
0x2f178	0x94
0x2f20c	0x60
0x2f26c	0x3f4
0x2f660	0x214
0x2f874	0x100
0x2f974	0x1c
0x2f990	0x78
0x2fa08	0xc8
0x2fad0	0xe0
0x2fbb0	0x190
0x2fd40	0x5c
0x2fd9c	0xc4
0x2fe60	0x19c
0x2fffc	0x11c
0x30118	0x198
0x302b0	0x3d4
0x30684	0xe8
0x3076c	0x5c
0x307c8	0x8
0x307d0	0x90
0x30860	0x94
0x308f4	0xa8
0x3099c	0x6c
0x30a08	0x2a0
0x30ca8	0xa4
0x30d4c	0x194
0x30ee0	0x94
0x30f74	0x1dc
0x31150	0xf8
0x31248	0x258
0x314a0	0x60
0x31500	0x1f4
0x316f4	0x118
0x3180c	0x4b4
0x31cc0	0x2bc
0x31f7c	0x558
0x324d4	0x5bc
0x32a90	0x454
0x32ee4	0x414
0x332f8	0x71c
0x33a14	0x5c
0x33a70	0x8
0x33a78	0x80
0x33af8	0x300
0x33df8	0x1a8
0x33fa0	0x104
0x340a4	0x574
0x34618	0xbc
0x346d4	0x938
0x3500c	0x5c
0x35068	0x8
0x35070	0x770
0x357e0	0x84
0x35864	0xa8
0x3590c	0x528
0x35e34	0x84
0x35eb8	0xc4
0x35f7c	0x14c
0x360c8	0x12c
0x361f4	0x240
0x36434	0x314
0x36748	0x4b4
0x36bfc	0xc
0x36c08	0x48
0x36c50	0x48
0x36c98	0x28
0x36cc0	0x48
0x36d08	0x50
0x36d58	0x38
0x36d90	0x60
0x36df0	0x60
0x36e50	0x38
0x36e88	0x20
0x36ea8	0x38
0x36ee0	0x20
0x36f00	0x38
0x36f38	0xfc
0x37034	0x38
0x3706c	0x6c
0x370d8	0x34
0x3710c	0x38
0x37144	0x54
0x37198	0x38
0x371d0	0x78
0x37248	0x38
0x37280	0xc4
0x37344	0x38
0x3737c	0xc4
0x37440	0x38
0x37478	0x6c
0x374e4	0x20
0x37504	0x4c
0x37550	0x1e4
0x37734	0x48
0x3777c	0x110
0x3788c	0x38
0x378c4	0xe4
0x379a8	0x38
0x379e0	0xe4
0x37ac4	0x4c
0x37b10	0x130
0x37c40	0x58
0x37c98	0x64
0x37cfc	0x58
0x37d54	0x278
0x37fcc	0x48
0x38014	0xd4
0x380e8	0x38
0x38120	0x70
0x38190	0x3c
0x381cc	0x6c
0x38238	0x26c
0x384a4	0x3c
0x384e0	0x104
0x385e4	0x58
0x3863c	0x160
0x3879c	0x428
0x38bc4	0x130
0x38cf4	0xc4
0x38db8	0x244
0x38ffc	0x100
0x390fc	0x248
0x39344	0xb8
0x393fc	0x164
0x39560	0xc4
0x39624	0x64
0x39688	0x88
0x39710	0x60
0x39770	0x60
0x397d0	0x78
0x39848	0x78
0x398c0	0x6c
0x3992c	0x60
0x3998c	0x60
0x399ec	0x60
0x39a4c	0x6c
0x39ab8	0x60
0x39b18	0x60
0x39b78	0x60
0x39bd8	0x78
0x39c50	0x78
0x39cc8	0x6c
0x39d34	0x6c
0x39da0	0x6c
0x39e0c	0x6c
0x39e78	0x78
0x39ef0	0x6c
0x39f5c	0x60
0x39fbc	0x228
0x3a1e4	0x1d0
0x3a3b4	0x408
0x3a7bc	0xcc
0x3a888	0x394
0x3ac1c	0xb0
0x3accc	0x98
0x3ad64	0xa8
0x3ae0c	0xf0
0x3aefc	0xb0
0x3afac	0xc0
0x3b06c	0x3c
0x3b0a8	0x64
0x3b10c	0x3c
0x3b148	0x64
0x3b1ac	0x64
0x3b210	0xe4
0x3b2f4	0xe4
0x3b3d8	0x1dc
0x3b5b4	0x1bc
0x3b770	0xcc
0x3bd98	0x2b0
0x3c048	0x20
0x3c068	0x7c
0x3c0e4	0xb8
0x3c19c	0xb8
0x3c254	0x108
0x3c35c	0x14
0x3c370	0x100
0x3c470	0x14
0x3c484	0x148
0x3c5cc	0x14
0x3c5e0	0x118
0x3c6f8	0x14
0x3c70c	0x38
0x3c744	0x1f0
0x3c934	0x30
0x3c964	0x84
0x3c9e8	0x40
0x3ca28	0x4
0x3ca2c	0xd8
0x3cb04	0x1a0
0x3cca4	0x28
0x3cccc	0x28
0x3ccf4	0x184
0x3ce78	0x160
0x3cfd8	0x44
0x3d01c	0xc0
0x3d0dc	0x19c
0x3d278	0x108
0x3d380	0x7c
0x3d3fc	0x1dc
0x3d5d8	0x144
0x3d71c	0x290
0x3d9ac	0xe4
0x3da90	0x1f0
0x3dc80	0x6c
0x3dcec	0x384
0x3e070	0x1a0
0x3e210	0x1c
0x3e22c	0x28
0x3e254	0x58
0x3e2ac	0x48
0x3e2f4	0x3c
0x3e330	0xec
0x3e41c	0x84
0x3e4a0	0x88
0x3e528	0xd8
0x3e600	0x1d4
0x3e7d4	0x234
0x3ea08	0x84
0x3ea8c	0x98
0x3eb24	0xc4
0x3ebe8	0x100
0x3ece8	0x100
0x3ede8	0x148
0x3ef30	0xe8
0x3f018	0xc0
0x3f0d8	0x58
0x3f130	0x148
0x3f278	0x9c
0x3f314	0xe8
0x3f3fc	0x174
0x3f570	0x598
0x3fb08	0x74
0x3fb7c	0x68
0x3fbe4	0x68
0x3fc4c	0xd0
0x3fd1c	0x14c
0x3fe68	0x1e8
0x40050	0x1a0
0x401f0	0x1d0
0x403c0	0x5a0
0x40960	0x174
0x40ad4	0xcc
0x40ba0	0xd0
0x40c70	0xd4
0x40d44	0xd4
0x40e18	0xe8
0x40f00	0x50
0x40f50	0x1c4
0x41114	0x114
0x41228	0x1c0
0x413e8	0x1d8
0x415c0	0x8c
0x4164c	0x330
0x4197c	0x8c
0x41a08	0x16c
0x41b74	0x64
0x41bd8	0x2d8
0x41eb0	0x58
0x41f08	0x58
0x41f60	0x6c
0x41fcc	0x6c
0x42038	0x94
0x420cc	0x18c
0x42258	0x4f0
0x42748	0x61c
0x42d64	0x538
0x4329c	0x520
0x437bc	0x20c
0x439c8	0x1ac
0x43b74	0xf0
0x43c64	0xdc
0x43d40	0x228
0x43f68	0x2cc
0x44234	0x1dc
0x44410	0x218
0x44628	0x2e0
0x44908	0x274
0x44b7c	0x134
0x44cb0	0xe4
0x44d94	0x1f8
0x44f8c	0x1e0
0x4516c	0x8
0x45174	0x500
0x45674	0x330
0x459a4	0xb0
0x45a54	0x22c
0x45c80	0x190
0x45e10	0x84
0x45e94	0xa0
0x45f34	0x244
0x46178	0xd8
0x46250	0x140
0x46390	0x198
0x46528	0xb0
0x465d8	0x8c
0x46664	0x350
0x469b4	0x54
0x46a08	0x1e8
0x46bf0	0x1c
0x46c0c	0x10
0x46c1c	0x240
0x46e5c	0x3c
0x46e98	0x60
0x46ef8	0x5c
0x46f54	0x100
0x47054	0x278
0x472cc	0x204
0x474d0	0x18c
0x4765c	0xdc
0x47738	0x114
0x4784c	0xdc
0x47928	0x1c
0x47944	0x10
0x47954	0x114
0x47a68	0x1c8
0x47c30	0x28
0x47c58	0x348
0x47fa0	0x9c4
0x48964	0x14
0x48978	0x1c0
0x48b38	0x1ac
0x48ce4	0xc
0x48cf0	0x140
0x48e30	0x2c
0x48e5c	0x68
0x48ec4	0x68
0x48f2c	0x6c
0x48f98	0x70
0x49008	0x100
0x49108	0x1d8
0x492e0	0x13c
0x4941c	0x774
0x49b90	0x150
0x49ce0	0x1f4
0x49ed4	0x810
0x4a6e4	0xcc
0x4a7b0	0xdc
0x4a88c	0x78
0x4a904	0x180
0x4aa84	0xa8
0x4ab2c	0xc4
