# MANUALLY MANAGED - INITIALLY GENERATED by `homm3 mac migrate` from the
# reviewed config/mac TOML inventories and hand-owned after admission.
# Library, runtime and compiler-support code: label only; the extent
# is the functions.tsv row at the same offset. Not game functions.
# exe: Heroes PEF sha256=650be8880cfda81ffa7704ce3bcdb9c5a6528f67afdf77c0c0c63e8259250d86 size=3418835
# Offsets are relative to PEF code section 0; lowercase 0x hex.
offset	name
0x9ab44	.mac_implicit_hero_copy_assign_9ab44
0x9cb7c	.mac_vector_hero_erase_one_9cb7c
0x9cfb4	.mac_vector_hero_push_back_9cfb4
0x9d524	.set__Q23std11bitset<145>FUlb
0x9d60c	.set__Q23std9bitset<8>FUlb
0xa11f0	.msl_vector_word_resize_a11f0
0xb931c	.mac_vector_ctor_b931c
0xbe4d4	.mac_vector_string_push_back_be4d4
0xbe6e4	.mac_vector_deleting_dtor_be6e4
0xbe748	.mac_event_vector_deleting_dtor_be748
0xc5528	.mac_pathcell_empty_dtor_c5528
0xd82b8	.msl_vector_default_init_d82b8
0xd8ea0	.msl_map_member_address_d8ea0
0xe728c	.__ct__Q23std9bitset<8>Fv
0xe7298	.flip__Q23std9bitset<8>Fv
0xe7378	.reset__Q23std10bitset<70>Fv
0xe73a8	.reset__Q23std10bitset<48>Fv
0xe73b8	.mac_msl_vector_bool_set_e73b8
0xe7d24	.push_back__Q23std21vector<11CObjectType>FRC11CObjectType
0xe8010	.mac_vector_word_append_e8010
0xe8460	.resize__Q23std13vector<4mine>FUl
0xe9214	.mac_vector_word_clear_e9214
0xe924c	.mac_vector_word_deleting_dtor_e924c
0xe97d4	.test__Q23std9bitset<4>CFUl
0xe98b8	.set__Q23std10bitset<48>FUlb
0xe99a0	.test__Q23std10bitset<70>CFUl
0xe9a84	.set__Q23std10bitset<70>FUlb
0xe9bcc	.test__Q23std10bitset<12>CFUl
0xe9cb0	.set__Q23std10bitset<12>FUlb
0xe9d98	.test__Q23std9bitset<8>CFUl
0xe9f60	.set__Q23std11bitset<156>FUlb
0x107450	.mac_bitset_144_any_107450
0x107484	.mac_bitset_144_none_107484
0x1074b8	.mac_bitset_19_count_1074b8
0x107520	.mac_bitset_word_count_107520
0x10c220	.mac_msl_string_char_array_data_10c220
0x10e518	.msl_bitset_test_10e518
0x1283f8	.msl_vector_backing_pointer_1283f8
0x128400	.msl_vector_member_address_128400
0x129618	.push_back__Q23std21vector<11MonsterData>FRC11MonsterData
0x12b128	.test__Q23std10bitset<10>CFUl
0x152b34	.pop_back__Q23std9vector<i>Fv
0x152b94	.__ct__Q23std19__vector_deleter<i>FUl
0x154660	.mac_sprite_resource_forwarder_154660
0x154680	.mac_bitmap_resource_forwarder_154680
0x154954	.reserve__Q23std9vector<i>FUl
0x154a58	.__dt__Q23std9vector<i>Fv
0x16468c	.msl_string_concat_16468c
0x166538	.msl_vector_storage_init_166538
0x16fe1c	.msl_vector_member_address_16fe1c
0x17566c	.msl_vector_storage_init_17566c
0x177ad0	.generated_CAutoArray_CDPlayPlayer_destroy_177ad0
0x17cde8	.msl_sort_int_entries_17cde8
0x187ccc	.mac_selection_preview_vector_dtor_187ccc
0x1b43a4	.mac_msl_vector_data_slot_1b43a4
0x1b88b4	.mac_msl_vector_data_slot_1b88b4
0x20bb2c	.mac_msl_widget_vector_begin_20bb2c
0x20bb34	.mac_msl_widget_vector_end_20bb34
0x20ef58	._strrev
0x20efc4	.mac_ascii_stricmp_20efc4
0x20f01c	.mac_ascii_strnicmp_20f01c
0x20f084	.mac_timer_refresh_20f084
0x20f0b0	.mac_platform_message_dialog_20f0b0
0x211154	.mac_network_host_flag_211154
0x26897c	.__nw__FUl
0x268b2c	.__dl__FPv
0x268c14	.__nwa__FUl
0x268c34	.__dla__FPv
0x26aab0	.mac_handle_buffer_init_26aab0
0x26aac0	.mac_handle_buffer_deleting_dtor_26aac0
0x26ab14	.mac_handle_buffer_allocate_26ab14
0x26ac00	.mac_handle_buffer_release_26ac00
0x26ad3c	.bzero
0x26ae40	.mac_terminating_string_copy_26ae40
0x26ae5c	.mac_stream_integer_formatter_26ae5c
0x26afa4	.mac_crt_strcat_26afa4
0x277b60	.mac_file_adapter_ctor_277b60
0x277b70	.mac_file_adapter_deleting_dtor_277b70
0x277bc4	.mac_file_adapter_open_path_277bc4
0x277dd0	.mac_file_adapter_close_277dd0
0x277e28	.mac_file_adapter_open_handle_277e28
0x277f10	.mac_file_adapter_read_277f10
0x27e888	.__copy
0x27fc44	.__throw
0x27fcf4	.__end__catch
0x27fd40	.__register_global_object
0x28022c	.__construct_array
0x28032c	.__destroy_arr
0x280548	.__cvt_fp2unsigned
0x288778	.abs
0x2887a0	.mac_crt_abs_2887a0
0x28aa6c	.memcpy
0x28b040	.memset
0x28b11c	.mac_memcmp_28b11c
0x28df60	.mac_varargs_format_wrapper_28df60
0x28dfa8	.sprintf
0x28e00c	.rand
0x28e048	.srand
0x28e1dc	.strlen
0x28e218	.strcpy
0x28e250	.strncpy
0x28e2b0	.strcat
0x28e2f8	.strcmp
0x28e3f8	.strtok
0x28f66c	.atof
0x28fb1c	.atoi
0x2a3310	.__ptr_glue
